Date,mining_profitability30mom
2011/05/14,39939
2011/05/15,31167
2011/05/16,37881
2011/05/17,35518
2011/05/18,33802
2011/05/19,8670
2011/05/20,14924
2011/05/21,13253
2011/05/22,11465
2011/05/23,14426
2011/05/24,12991
2011/05/25,13980
2011/05/26,11358
2011/05/27,-4585
2011/05/28,-4089
2011/05/29,-7616
2011/05/30,-10830
2011/05/31,-9378
2011/06/01,-5800
2011/06/02,-7114
2011/06/03,-2730
2011/06/04,8588
2011/06/05,8663
2011/06/06,4180
2011/06/07,-1349
2011/06/08,15261
2011/06/09,29396
2011/06/10,10166
2011/06/11,1849
2011/06/12,-22598
2011/06/13,-17480
2011/06/14,-6035
2011/06/15,-22631
2011/06/16,-32626
2011/06/17,-26830
2011/06/18,-2886
2011/06/19,-6358
2011/06/20,-5517
2011/06/21,-6221
2011/06/22,-12022
2011/06/23,-11668
2011/06/24,-19264
2011/06/25,-18343
2011/06/26,-2382
2011/06/27,-5258
2011/06/28,-8642
2011/06/29,-6341
2011/06/30,-7004
2011/07/01,-13145
2011/07/02,-12112
2011/07/03,-18094
2011/07/04,-29614
2011/07/05,-31829
2011/07/06,-25699
2011/07/07,-26054
2011/07/08,-37961
2011/07/09,-47267
2011/07/10,-38193
2011/07/11,-28145
2011/07/12,-19475
2011/07/13,-23268
2011/07/14,-28506
2011/07/15,-19548
2011/07/16,-8365
2011/07/17,-9557
2011/07/18,-10706
2011/07/19,-13213
2011/07/20,-11110
2011/07/21,-12593
2011/07/22,-11121
2011/07/23,-11263
2011/07/24,-5371
2011/07/25,-2587
2011/07/26,-3384
2011/07/27,-5205
2011/07/28,-5032
2011/07/29,-4176
2011/07/30,-4795
2011/07/31,-2287
2011/08/01,-3993
2011/08/02,-4457
2011/08/03,-5377
2011/08/04,-3865
2011/08/05,-4464
2011/08/06,-4600
2011/08/07,-7038
2011/08/08,-4197
2011/08/09,-3901
2011/08/10,-4682
2011/08/11,-3671
2011/08/12,-5214
2011/08/13,-2934
2011/08/14,-3271
2011/08/15,-2910
2011/08/16,-2442
2011/08/17,-2962
2011/08/18,-1504
2011/08/19,-2803
2011/08/20,-1122
2011/08/21,-1415
2011/08/22,-1969
2011/08/23,-2904
2011/08/24,-2677
2011/08/25,-3004
2011/08/26,-2898
2011/08/27,-3138
2011/08/28,-3457
2011/08/29,-2510
2011/08/30,-3351
2011/08/31,-2056
2011/09/01,-2296
2011/09/02,-686.947
2011/09/03,-64.392
2011/09/04,-1082
2011/09/05,737.873
2011/09/06,251.21
2011/09/07,-788.222
2011/09/08,-1132
2011/09/09,-1443
2011/09/10,-2638
2011/09/11,-2231
2011/09/12,-1337
2011/09/13,-2541
2011/09/14,-2162
2011/09/15,-3648
2011/09/16,-3489
2011/09/17,-2925
2011/09/18,-3078
2011/09/19,-4208
2011/09/20,-3202
2011/09/21,-2656
2011/09/22,-2470
2011/09/23,-2751
2011/09/24,-2581
2011/09/25,-1939
2011/09/26,-1384
2011/09/27,-2118
2011/09/28,-2416
2011/09/29,-2411
2011/09/30,-2050
2011/10/01,-877.189
2011/10/02,-2421
2011/10/03,-1482
2011/10/04,-2176
2011/10/05,-1390
2011/10/06,-1535
2011/10/07,-685.386
2011/10/08,-1673
2011/10/09,-1062
2011/10/10,-79.778
2011/10/11,-746.452
2011/10/12,-1067
2011/10/13,-951.455
2011/10/14,-224.258
2011/10/15,-689.877
2011/10/16,-46.425
2011/10/17,-878.596
2011/10/18,-1188
2011/10/19,-1068
2011/10/20,-2070
2011/10/21,-1753
2011/10/22,-1358
2011/10/23,-679.046
2011/10/24,-1035
2011/10/25,-1236
2011/10/26,-1179
2011/10/27,-937.218
2011/10/28,-868.15
2011/10/29,-350.908
2011/10/30,-245.036
2011/10/31,-732.31
2011/11/01,256.957
2011/11/02,-512.22
2011/11/03,-135.82
2011/11/04,-487.235
2011/11/05,-154.215
2011/11/06,-478.562
2011/11/07,285.508
2011/11/08,147.177
2011/11/09,118.259
2011/11/10,201.325
2011/11/11,-251.21
2011/11/12,304.983
2011/11/13,-557.142
2011/11/14,-318.787
2011/11/15,-383.504
2011/11/16,-185.708
2011/11/17,342.125
2011/11/18,134.186
2011/11/19,51.698
2011/11/20,618.5
2011/11/21,-202.025
2011/11/22,-204.942
2011/11/23,-267.472
2011/11/24,78.781
2011/11/25,459.392
2011/11/26,218.542
2011/11/27,-216.261
2011/11/28,-22.048
2011/11/29,-183.497
2011/11/30,223.775
2011/12/01,-20.578
2011/12/02,-349.334
2011/12/03,555.313
2011/12/04,-453.951
2011/12/05,295.03
2011/12/06,449.372
2011/12/07,-23.294
2011/12/08,365.967
2011/12/09,118.982
2011/12/10,314.491
2011/12/11,901.089
2011/12/12,-145.19
2011/12/13,406.521
2011/12/14,738.165
2011/12/15,343.64
2011/12/16,809.656
2011/12/17,1122
2011/12/18,841.203
2011/12/19,1572
2011/12/20,794.486
2011/12/21,1834
2011/12/22,1487
2011/12/23,1287
2011/12/24,1685
2011/12/25,1678
2011/12/26,1498
2011/12/27,1075
2011/12/28,1507
2011/12/29,945.601
2011/12/30,1115
2011/12/31,915.325
2012/01/01,2030
2012/01/02,1642
2012/01/03,1906
2012/01/04,1525
2012/01/05,2802
2012/01/06,3564
2012/01/07,2994
2012/01/08,3061
2012/01/09,2898
2012/01/10,1530
2012/01/11,2928
2012/01/12,2276
2012/01/13,2526
2012/01/14,2981
2012/01/15,2359
2012/01/16,3180
2012/01/17,2016
2012/01/18,879.097
2012/01/19,2512
2012/01/20,1919
2012/01/21,1511
2012/01/22,1183
2012/01/23,1664
2012/01/24,744.373
2012/01/25,1026
2012/01/26,1352
2012/01/27,347.973
2012/01/28,819.807
2012/01/29,559.573
2012/01/30,445.218
2012/01/31,-581.899
2012/02/01,-194.838
2012/02/02,717.699
2012/02/03,74.052
2012/02/04,-1145
2012/02/05,-2005
2012/02/06,-2037
2012/02/07,-1795
2012/02/08,-1118
2012/02/09,-422.77
2012/02/10,-1600
2012/02/11,-670.652
2012/02/12,-1399
2012/02/13,-1810
2012/02/14,-1365
2012/02/15,-3116
2012/02/16,-1610
2012/02/17,-587.676
2012/02/18,-2230
2012/02/19,-2438
2012/02/20,-2136
2012/02/21,-1218
2012/02/22,-1846
2012/02/23,-1186
2012/02/24,-788.956
2012/02/25,-876.116
2012/02/26,-758.478
2012/02/27,-496.163
2012/02/28,-926.204
2012/02/29,-644.337
2012/03/01,-441.642
2012/03/02,-1298
2012/03/03,-1965
2012/03/04,-924.292
2012/03/05,-1061
2012/03/06,-887.238
2012/03/07,-468.543
2012/03/08,-664.925
2012/03/09,-823.882
2012/03/10,-1247
2012/03/11,-805.102
2012/03/12,-1035
2012/03/13,-658.186
2012/03/14,-222.24
2012/03/15,-251.51
2012/03/16,737.247
2012/03/17,639.156
2012/03/18,-30.456
2012/03/19,-233.999
2012/03/20,473.078
2012/03/21,223.677
2012/03/22,13.485
2012/03/23,-415.489
2012/03/24,107.693
2012/03/25,-952.414
2012/03/26,-514.766
2012/03/27,-73.109
2012/03/28,-487.409
2012/03/29,-820.009
2012/03/30,-454.615
2012/03/31,-245.398
2012/04/01,-228.147
2012/04/02,-480.603
2012/04/03,-181.628
2012/04/04,-475.192
2012/04/05,-230.001
2012/04/06,-205.407
2012/04/07,-380.268
2012/04/08,-306.944
2012/04/09,-210.597
2012/04/10,-65.706
2012/04/11,-617.254
2012/04/12,-613.704
2012/04/13,-260.413
2012/04/14,-76.841
2012/04/15,-1169
2012/04/16,-44.519
2012/04/17,-342.962
2012/04/18,187.953
2012/04/19,133.144
2012/04/20,54.9
2012/04/21,320.992
2012/04/22,182.218
2012/04/23,-688.199
2012/04/24,613.342
2012/04/25,50.459
2012/04/26,332.491
2012/04/27,191.831
2012/04/28,473.285
2012/04/29,476.874
2012/04/30,262.459
2012/05/01,352.858
2012/05/02,501.746
2012/05/03,220.881
2012/05/04,371.274
2012/05/05,668.076
2012/05/06,-75.787
2012/05/07,522.369
2012/05/08,86.133
2012/05/09,245.636
2012/05/10,-643.328
2012/05/11,507.421
2012/05/12,-227.511
2012/05/13,-42.633
2012/05/14,-487.353
2012/05/15,-3.065
2012/05/16,-617.418
2012/05/17,-231.266
2012/05/18,-66.511
2012/05/19,-436.334
2012/05/20,-300.965
2012/05/21,-801.386
2012/05/22,-281.33
2012/05/23,245.73
2012/05/24,-449.058
2012/05/25,187.837
2012/05/26,-130.584
2012/05/27,-25.976
2012/05/28,-218.067
2012/05/29,-561.492
2012/05/30,-37.623
2012/05/31,-75.253
2012/06/01,545.692
2012/06/02,-62.363
2012/06/03,-222.038
2012/06/04,-227.179
2012/06/05,253.521
2012/06/06,-89.018
2012/06/07,240.754
2012/06/08,407.085
2012/06/09,1334
2012/06/10,182.641
2012/06/11,421.898
2012/06/12,1025
2012/06/13,567.556
2012/06/14,1251
2012/06/15,867.567
2012/06/16,1303
2012/06/17,858.359
2012/06/18,1319
2012/06/19,327.615
2012/06/20,1683
2012/06/21,1038
2012/06/22,881.537
2012/06/23,926.955
2012/06/24,-72.717
2012/06/25,442.26
2012/06/26,432.827
2012/06/27,772.876
2012/06/28,629.992
2012/06/29,610.627
2012/06/30,585.35
2012/07/01,333.243
2012/07/02,543.278
2012/07/03,952.166
2012/07/04,190.858
2012/07/05,201.022
2012/07/06,660.346
2012/07/07,465.474
2012/07/08,156.751
2012/07/09,214.698
2012/07/10,506.369
2012/07/11,828.728
2012/07/12,565.063
2012/07/13,1130
2012/07/14,312.727
2012/07/15,57.307
2012/07/16,642.838
2012/07/17,1079
2012/07/18,294.643
2012/07/19,1145
2012/07/20,588.252
2012/07/21,694.488
2012/07/22,850.406
2012/07/23,476.503
2012/07/24,1614
2012/07/25,806.003
