Date,mining_profitability14std
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,183779
2010/07/31,159451
2010/08/01,157356
2010/08/02,134819
2010/08/03,120230
2010/08/04,76616
2010/08/05,78444
2010/08/06,97078
2010/08/07,96201
2010/08/08,90645
2010/08/09,89852
2010/08/10,89864
2010/08/11,91045
2010/08/12,87629
2010/08/13,84164
2010/08/14,70365
2010/08/15,74432
2010/08/16,76574
2010/08/17,78737
2010/08/18,66000
2010/08/19,65803
2010/08/20,64897
2010/08/21,68295
2010/08/22,67355
2010/08/23,67773
2010/08/24,64545
2010/08/25,60134
2010/08/26,54747
2010/08/27,54804
2010/08/28,29270
2010/08/29,31229
2010/08/30,33114
2010/08/31,33992
2010/09/01,35892
2010/09/02,36240
2010/09/03,29817
2010/09/04,29460
2010/09/05,25588
2010/09/06,23248
2010/09/07,19299
2010/09/08,15645
2010/09/09,15044
2010/09/10,14968
2010/09/11,16470
2010/09/12,16448
2010/09/13,16796
2010/09/14,15163
2010/09/15,16582
2010/09/16,16435
2010/09/17,16914
2010/09/18,15290
2010/09/19,19674
2010/09/20,21930
2010/09/21,22859
2010/09/22,23260
2010/09/23,23092
2010/09/24,22878
2010/09/25,24074
2010/09/26,23654
2010/09/27,23341
2010/09/28,21519
2010/09/29,26797
2010/09/30,24256
2010/10/01,25074
2010/10/02,24211
2010/10/03,24454
2010/10/04,24430
2010/10/05,25452
2010/10/06,24511
2010/10/07,20897
2010/10/08,19785
2010/10/09,20630
2010/10/10,22688
2010/10/11,21973
2010/10/12,22822
2010/10/13,24170
2010/10/14,26953
2010/10/15,26359
2010/10/16,26465
2010/10/17,25742
2010/10/18,24614
2010/10/19,21201
2010/10/20,19773
2010/10/21,22282
2010/10/22,24459
2010/10/23,26246
2010/10/24,26198
2010/10/25,27646
2010/10/26,27729
2010/10/27,27470
2010/10/28,28216
2010/10/29,29655
2010/10/30,31212
2010/10/31,32168
2010/11/01,32088
