Date,difficulty30rsi
2010/07/17,99.914
2010/07/18,99.914
2010/07/19,99.914
2010/07/20,99.914
2010/07/21,99.914
2010/07/22,99.914
2010/07/23,99.914
2010/07/24,99.914
2010/07/25,99.914
2010/07/26,99.914
2010/07/27,99.943
2010/07/28,99.944
2010/07/29,99.944
2010/07/30,99.944
2010/07/31,99.944
2010/08/01,99.944
2010/08/02,99.944
2010/08/03,99.944
2010/08/04,99.944
2010/08/05,99.95
2010/08/06,99.97
2010/08/07,99.97
2010/08/08,99.97
2010/08/09,99.97
2010/08/10,99.97
2010/08/11,99.97
2010/08/12,99.97
2010/08/13,99.97
2010/08/14,99.97
2010/08/15,99.975
2010/08/16,99.985
2010/08/17,99.985
2010/08/18,99.985
2010/08/19,99.985
2010/08/20,99.985
2010/08/21,99.985
2010/08/22,99.985
2010/08/23,99.985
2010/08/24,99.985
2010/08/25,99.985
2010/08/26,99.985
2010/08/27,99.99
2010/08/28,99.99
2010/08/29,99.99
2010/08/30,99.99
2010/08/31,99.99
2010/09/01,99.99
2010/09/02,99.99
2010/09/03,99.99
2010/09/04,99.99
2010/09/05,99.99
2010/09/06,99.99
2010/09/07,99.99
2010/09/08,99.992
2010/09/09,99.993
2010/09/10,99.993
2010/09/11,99.993
2010/09/12,99.993
2010/09/13,99.993
2010/09/14,99.993
2010/09/15,99.993
2010/09/16,99.993
2010/09/17,99.993
2010/09/18,99.993
2010/09/19,99.996
2010/09/20,99.996
2010/09/21,99.996
2010/09/22,99.996
2010/09/23,99.996
2010/09/24,99.996
2010/09/25,99.996
2010/09/26,99.996
2010/09/27,99.996
2010/09/28,99.997
2010/09/29,99.998
2010/09/30,99.998
2010/10/01,99.998
2010/10/02,99.998
2010/10/03,99.998
2010/10/04,99.998
2010/10/05,99.998
2010/10/06,99.998
2010/10/07,99.998
2010/10/08,99.998
2010/10/09,99.998
2010/10/10,99.998
2010/10/11,99.998
2010/10/12,99.999
2010/10/13,99.999
2010/10/14,99.999
2010/10/15,99.999
2010/10/16,99.999
2010/10/17,99.999
2010/10/18,99.999
2010/10/19,99.999
2010/10/20,99.999
2010/10/21,99.999
2010/10/22,100
2010/10/23,100
2010/10/24,100
2010/10/25,100
2010/10/26,100
2010/10/27,100
2010/10/28,100
2010/10/29,100
2010/10/30,100
2010/10/31,100
2010/11/01,100
2010/11/02,100
2010/11/03,100
2010/11/04,100
2010/11/05,100
2010/11/06,100
2010/11/07,100
2010/11/08,100
2010/11/09,100
2010/11/10,100
2010/11/11,100
2010/11/12,100
2010/11/13,100
2010/11/14,100
2010/11/15,100
2010/11/16,100
2010/11/17,100
2010/11/18,100
2010/11/19,100
2010/11/20,100
2010/11/21,100
2010/11/22,100
2010/11/23,100
2010/11/24,100
2010/11/25,100
2010/11/26,100
2010/11/27,100
2010/11/28,100
2010/11/29,100
2010/11/30,100
2010/12/01,100
2010/12/02,100
2010/12/03,100
2010/12/04,100
2010/12/05,100
2010/12/06,100
2010/12/07,100
2010/12/08,100
2010/12/09,100
2010/12/10,100
2010/12/11,100
2010/12/12,100
2010/12/13,100
2010/12/14,100
2010/12/15,100
2010/12/16,100
2010/12/17,100
2010/12/18,100
2010/12/19,100
2010/12/20,100
2010/12/21,100
2010/12/22,100
2010/12/23,100
2010/12/24,100
2010/12/25,100
2010/12/26,100
2010/12/27,100
2010/12/28,100
2010/12/29,100
2010/12/30,100
2010/12/31,100
2011/01/01,100
2011/01/02,100
2011/01/03,100
2011/01/04,100
2011/01/05,100
2011/01/06,100
2011/01/07,100
2011/01/08,100
2011/01/09,100
2011/01/10,100
2011/01/11,100
2011/01/12,100
2011/01/13,100
2011/01/14,100
2011/01/15,100
2011/01/16,100
2011/01/17,100
2011/01/18,100
2011/01/19,100
2011/01/20,100
2011/01/21,100
2011/01/22,100
2011/01/23,100
2011/01/24,100
2011/01/25,100
2011/01/26,100
2011/01/27,100
2011/01/28,100
2011/01/29,100
2011/01/30,100
2011/01/31,100
2011/02/01,100
2011/02/02,100
2011/02/03,100
2011/02/04,100
2011/02/05,100
2011/02/06,100
2011/02/07,100
2011/02/08,100
2011/02/09,100
2011/02/10,100
2011/02/11,100
2011/02/12,100
2011/02/13,100
2011/02/14,100
2011/02/15,100
2011/02/16,100
2011/02/17,100
2011/02/18,100
2011/02/19,100
2011/02/20,100
2011/02/21,100
2011/02/22,100
2011/02/23,100
2011/02/24,100
2011/02/25,100
2011/02/26,100
2011/02/27,100
2011/02/28,100
2011/03/01,100
2011/03/02,100
2011/03/03,100
2011/03/04,100
2011/03/05,100
2011/03/06,100
2011/03/07,100
2011/03/08,100
2011/03/09,100
2011/03/10,100
2011/03/11,100
2011/03/12,100
2011/03/13,100
2011/03/14,100
2011/03/15,100
2011/03/16,100
2011/03/17,100
2011/03/18,100
2011/03/19,100
2011/03/20,100
2011/03/21,100
2011/03/22,100
2011/03/23,100
2011/03/24,100
2011/03/25,79.51
2011/03/26,77.941
2011/03/27,77.941
2011/03/28,77.941
2011/03/29,77.941
2011/03/30,77.941
2011/03/31,77.941
2011/04/01,77.941
2011/04/02,77.941
2011/04/03,77.941
2011/04/04,77.941
2011/04/05,78.845
2011/04/06,86.304
2011/04/07,86.304
2011/04/08,86.304
2011/04/09,86.304
2011/04/10,86.304
2011/04/11,86.304
2011/04/12,86.304
2011/04/13,86.304
2011/04/14,86.304
2011/04/15,86.304
2011/04/16,86.304
2011/04/17,86.304
2011/04/18,89.489
2011/04/19,90.432
2011/04/20,90.432
2011/04/21,90.432
2011/04/22,90.432
2011/04/23,90.432
2011/04/24,90.432
2011/04/25,90.432
2011/04/26,90.432
2011/04/27,90.432
2011/04/28,90.432
2011/04/29,90.432
2011/04/30,94.324
2011/05/01,94.622
2011/05/02,94.622
2011/05/03,94.622
2011/05/04,94.622
2011/05/05,94.622
2011/05/06,94.622
2011/05/07,94.622
2011/05/08,94.622
2011/05/09,95.511
2011/05/10,97.994
2011/05/11,97.994
2011/05/12,97.994
2011/05/13,97.994
2011/05/14,97.994
2011/05/15,97.994
2011/05/16,97.994
2011/05/17,97.994
2011/05/18,98.157
2011/05/19,99.213
2011/05/20,99.213
2011/05/21,99.213
2011/05/22,99.213
2011/05/23,99.213
2011/05/24,99.213
2011/05/25,99.213
2011/05/26,99.394
2011/05/27,99.713
2011/05/28,99.713
2011/05/29,99.713
2011/05/30,99.713
2011/05/31,99.713
2011/06/01,99.713
2011/06/02,99.713
2011/06/03,99.713
2011/06/04,99.713
2011/06/05,99.713
2011/06/06,99.767
2011/06/07,99.825
2011/06/08,99.825
2011/06/09,99.825
2011/06/10,99.825
2011/06/11,99.825
2011/06/12,99.825
2011/06/13,99.825
2011/06/14,99.825
2011/06/15,99.881
2011/06/16,99.922
2011/06/17,99.922
2011/06/18,99.922
2011/06/19,99.922
2011/06/20,99.922
2011/06/21,99.922
2011/06/22,99.922
2011/06/23,99.922
2011/06/24,99.946
2011/06/25,99.965
2011/06/26,99.965
2011/06/27,99.965
2011/06/28,99.965
2011/06/29,99.965
2011/06/30,99.965
2011/07/01,99.965
2011/07/02,99.965
2011/07/03,99.965
2011/07/04,99.965
2011/07/05,99.965
2011/07/06,99.966
2011/07/07,99.973
2011/07/08,99.973
2011/07/09,99.973
2011/07/10,99.973
2011/07/11,99.973
2011/07/12,99.973
2011/07/13,99.973
2011/07/14,99.973
2011/07/15,99.973
2011/07/16,99.973
2011/07/17,99.973
2011/07/18,99.973
2011/07/19,99.974
2011/07/20,99.978
2011/07/21,99.978
2011/07/22,99.978
2011/07/23,99.978
2011/07/24,99.978
2011/07/25,99.978
2011/07/26,99.978
2011/07/27,99.978
2011/07/28,99.978
2011/07/29,99.978
2011/07/30,99.978
2011/07/31,99.978
2011/08/01,99.983
2011/08/02,99.985
2011/08/03,99.985
2011/08/04,99.985
2011/08/05,99.985
2011/08/06,99.985
2011/08/07,99.985
2011/08/08,99.985
2011/08/09,99.985
2011/08/10,99.985
2011/08/11,99.985
2011/08/12,99.985
2011/08/13,99.985
2011/08/14,99.985
2011/08/15,99.653
2011/08/16,81.81
2011/08/17,81.81
2011/08/18,81.81
2011/08/19,81.81
2011/08/20,81.81
2011/08/21,81.81
2011/08/22,81.81
2011/08/23,81.81
2011/08/24,81.81
2011/08/25,81.81
2011/08/26,81.81
2011/08/27,81.81
2011/08/28,81.81
2011/08/29,81.81
2011/08/30,75.791
2011/08/31,74.447
2011/09/01,74.447
2011/09/02,74.447
2011/09/03,74.447
2011/09/04,74.447
2011/09/05,74.447
2011/09/06,74.447
2011/09/07,74.447
2011/09/08,74.447
2011/09/09,74.447
2011/09/10,74.447
2011/09/11,74.447
2011/09/12,74.447
2011/09/13,69.916
2011/09/14,66.664
2011/09/15,66.664
2011/09/16,66.664
2011/09/17,66.664
2011/09/18,66.664
2011/09/19,66.664
2011/09/20,66.664
2011/09/21,66.664
2011/09/22,66.664
2011/09/23,66.664
2011/09/24,66.664
2011/09/25,66.664
2011/09/26,66.664
2011/09/27,65.696
2011/09/28,44.266
2011/09/29,44.266
2011/09/30,44.266
