Date,transactionvalue7smaUSD
2011/03/28,72.986
2011/03/29,67.346
2011/03/30,68.606
2011/03/31,61.851
2011/04/01,49.517
2011/04/02,43.591
2011/04/03,41.677
2011/04/04,42.821
2011/04/05,43.875
2011/04/06,40.916
2011/04/07,40.627
2011/04/08,42.899
2011/04/09,45.573
2011/04/10,45.721
2011/04/11,44.049
2011/04/12,46.186
2011/04/13,50.84
2011/04/14,50.774
2011/04/15,50.116
2011/04/16,64.663
2011/04/17,148.384
2011/04/18,150.518
2011/04/19,266.812
2011/04/20,524.789
2011/04/21,555.654
2011/04/22,562.607
2011/04/23,555.297
2011/04/24,477.357
2011/04/25,479.014
2011/04/26,367.354
2011/04/27,114.031
2011/04/28,90.48
2011/04/29,156.321
2011/04/30,181.949
2011/05/01,190.176
2011/05/02,198.944
2011/05/03,216.75
2011/05/04,251.66
2011/05/05,259.399
2011/05/06,220.855
2011/05/07,208.283
2011/05/08,287.149
2011/05/09,293.559
2011/05/10,387.112
2011/05/11,384.025
2011/05/12,414.052
2011/05/13,488.217
2011/05/14,902.329
2011/05/15,886.882
2011/05/16,931.73
2011/05/17,860.089
2011/05/18,846.649
2011/05/19,832.139
2011/05/20,780.38
2011/05/21,449.501
2011/05/22,519.346
2011/05/23,529.564
2011/05/24,540.299
2011/05/25,576.937
2011/05/26,611.527
2011/05/27,683.519
2011/05/28,625.366
2011/05/29,539.67
2011/05/30,522.961
2011/05/31,517.96
2011/06/01,503.039
2011/06/02,502.41
2011/06/03,495.569
2011/06/04,568.959
2011/06/05,666.343
2011/06/06,818.912
2011/06/07,937.028
2011/06/08,1138
2011/06/09,1333
2011/06/10,1513
2011/06/11,1758
2011/06/12,1944
2011/06/13,2038
2011/06/14,2165
2011/06/15,2839
2011/06/16,4365
2011/06/17,4380
2011/06/18,4262
2011/06/19,4889
2011/06/20,4868
2011/06/21,5393
2011/06/22,4743
2011/06/23,3329
2011/06/24,4067
2011/06/25,6497
2011/06/26,6503
2011/06/27,6593
2011/06/28,7305
2011/06/29,7697
2011/06/30,7684
2011/07/01,6857
2011/07/02,4410
2011/07/03,3577
2011/07/04,3495
2011/07/05,2041
2011/07/06,1478
2011/07/07,1219
2011/07/08,1058
2011/07/09,1362
2011/07/10,1817
2011/07/11,1720
2011/07/12,1897
2011/07/13,2100
2011/07/14,2435
2011/07/15,2509
2011/07/16,2243
2011/07/17,1768
2011/07/18,2269
2011/07/19,2586
2011/07/20,2396
2011/07/21,2274
2011/07/22,2462
2011/07/23,2345
2011/07/24,2346
2011/07/25,1949
2011/07/26,1649
2011/07/27,1844
2011/07/28,2342
2011/07/29,2187
2011/07/30,2129
2011/07/31,2140
2011/08/01,1962
2011/08/02,1762
2011/08/03,1527
2011/08/04,764.414
2011/08/05,681.01
2011/08/06,644.657
2011/08/07,559.744
2011/08/08,595.241
2011/08/09,856.191
2011/08/10,970.911
2011/08/11,1005
2011/08/12,970.587
2011/08/13,963.541
2011/08/14,997.263
2011/08/15,899.494
2011/08/16,616.721
2011/08/17,487.085
2011/08/18,482.136
2011/08/19,535.538
2011/08/20,529.552
2011/08/21,491.339
2011/08/22,484.412
2011/08/23,519.556
2011/08/24,572.455
2011/08/25,563.948
2011/08/26,494.337
2011/08/27,952.243
2011/08/28,942.133
2011/08/29,924.433
2011/08/30,868.637
2011/08/31,794.349
2011/09/01,772.273
2011/09/02,768.101
2011/09/03,304.829
2011/09/04,548.158
2011/09/05,871.891
2011/09/06,1249
2011/09/07,1294
2011/09/08,1299
2011/09/09,1301
2011/09/10,1285
2011/09/11,1120
2011/09/12,839.735
2011/09/13,469.715
2011/09/14,419.554
2011/09/15,394.562
2011/09/16,424.039
2011/09/17,436.731
2011/09/18,351.772
2011/09/19,308.31
2011/09/20,297.851
2011/09/21,301.38
2011/09/22,306.868
2011/09/23,274.491
2011/09/24,261.835
2011/09/25,266.077
2011/09/26,264.464
2011/09/27,277.807
2011/09/28,275.656
2011/09/29,276.552
2011/09/30,269.134
2011/10/01,293.996
2011/10/02,300.294
2011/10/03,308.508
2011/10/04,310.789
2011/10/05,319.195
2011/10/06,340.561
2011/10/07,348.75
2011/10/08,323.394
2011/10/09,309.876
2011/10/10,296.656
2011/10/11,277.473
2011/10/12,259.407
2011/10/13,233.3
2011/10/14,216.023
2011/10/15,223.254
2011/10/16,218.745
2011/10/17,224.062
2011/10/18,217.06
2011/10/19,206.13
2011/10/20,191.536
2011/10/21,204.026
2011/10/22,211.398
2011/10/23,229.3
2011/10/24,217.832
2011/10/25,220.359
2011/10/26,232.401
2011/10/27,256.409
2011/10/28,257.449
2011/10/29,249.744
2011/10/30,225.095
2011/10/31,234.699
2011/11/01,249.727
2011/11/02,248.62
2011/11/03,229.489
2011/11/04,217.493
2011/11/05,200.953
2011/11/06,199.321
2011/11/07,185.261
2011/11/08,223.255
2011/11/09,257.405
2011/11/10,254.38
2011/11/11,252.285
2011/11/12,253.515
2011/11/13,254.253
2011/11/14,255.949
2011/11/15,194.53
2011/11/16,246.728
2011/11/17,451.408
2011/11/18,728.732
2011/11/19,969.239
2011/11/20,1044
2011/11/21,1135
2011/11/22,1332
2011/11/23,1308
2011/11/24,1183
2011/11/25,950.739
2011/11/26,806.66
2011/11/27,838.029
2011/11/28,967.168
2011/11/29,984.226
2011/11/30,1283
2011/12/01,1325
2011/12/02,1638
2011/12/03,1781
2011/12/04,1876
2011/12/05,1826
2011/12/06,1959
2011/12/07,1959
2011/12/08,2151
2011/12/09,1921
2011/12/10,1744
2011/12/11,1598
2011/12/12,1474
2011/12/13,1139
2011/12/14,780.151
2011/12/15,486.032
2011/12/16,375.673
2011/12/17,323.387
2011/12/18,281.547
2011/12/19,251.748
2011/12/20,266.777
2011/12/21,289.803
2011/12/22,288.782
2011/12/23,272.542
2011/12/24,276.983
2011/12/25,277.84
2011/12/26,311.3
2011/12/27,340.747
2011/12/28,316.01
2011/12/29,332.77
2011/12/30,339.81
2011/12/31,335.489
2012/01/01,351.003
2012/01/02,313.659
2012/01/03,272.492
2012/01/04,291.211
2012/01/05,321.004
2012/01/06,376.549
2012/01/07,394.412
2012/01/08,400.305
2012/01/09,434.099
2012/01/10,453.684
2012/01/11,453.845
2012/01/12,418.496
2012/01/13,385.339
2012/01/14,381.375
2012/01/15,368.928
2012/01/16,359.821
2012/01/17,363.779
2012/01/18,358.15
2012/01/19,356.43
2012/01/20,349.266
2012/01/21,345.116
2012/01/22,348.525
2012/01/23,330.161
2012/01/24,320.733
2012/01/25,319.845
2012/01/26,319.536
2012/01/27,313.603
2012/01/28,303.708
2012/01/29,300.414
2012/01/30,299.814
2012/01/31,291.104
2012/02/01,300.865
2012/02/02,295.611
2012/02/03,299.39
2012/02/04,308.572
2012/02/05,307.958
2012/02/06,308.022
2012/02/07,305.568
2012/02/08,285.654
2012/02/09,270.287
2012/02/10,255.491
2012/02/11,261.884
2012/02/12,256.6
2012/02/13,256.167
2012/02/14,318.9
2012/02/15,374.14
2012/02/16,447.539
2012/02/17,504.82
2012/02/18,522.328
2012/02/19,526.344
2012/02/20,527.911
2012/02/21,466.719
2012/02/22,444.07
2012/02/23,399.017
2012/02/24,369.894
2012/02/25,350.108
2012/02/26,350.449
2012/02/27,346.936
2012/02/28,348.288
2012/02/29,315.051
2012/03/01,324.825
2012/03/02,315.67
2012/03/03,318.738
2012/03/04,347.728
2012/03/05,346.546
2012/03/06,347.633
2012/03/07,353.537
2012/03/08,341.335
2012/03/09,354.378
2012/03/10,354.95
2012/03/11,342.141
2012/03/12,372.776
2012/03/13,384.689
2012/03/14,411.51
2012/03/15,415.543
2012/03/16,407.262
2012/03/17,408.093
2012/03/18,397.619
2012/03/19,377.741
2012/03/20,375.267
2012/03/21,358.446
2012/03/22,376.792
2012/03/23,419.257
2012/03/24,454.031
2012/03/25,452.062
2012/03/26,456.004
2012/03/27,464.16
2012/03/28,479.018
2012/03/29,510.353
2012/03/30,511.939
2012/03/31,525.244
2012/04/01,557.855
2012/04/02,580.715
2012/04/03,598.248
2012/04/04,608.425
2012/04/05,593.224
2012/04/06,555.599
2012/04/07,495.704
2012/04/08,562.693
2012/04/09,658.131
2012/04/10,650.619
2012/04/11,709.772
2012/04/12,724.53
2012/04/13,745.871
2012/04/14,794.518
2012/04/15,773.229
2012/04/16,735.657
2012/04/17,771.275
2012/04/18,723.941
2012/04/19,679.017
2012/04/20,854.397
2012/04/21,896.147
2012/04/22,885.16
2012/04/23,831.71
2012/04/24,798.386
2012/04/25,809.44
2012/04/26,879.665
2012/04/27,769.44
2012/04/28,725.899
2012/04/29,703.952
2012/04/30,706.47
2012/05/01,712.152
2012/05/02,691.893
2012/05/03,620.998
2012/05/04,530.603
2012/05/05,511.823
2012/05/06,464.521
2012/05/07,468.972
2012/05/08,552.592
2012/05/09,573.137
2012/05/10,581.923
2012/05/11,580.586
2012/05/12,637.183
2012/05/13,666.92
2012/05/14,638.161
2012/05/15,599.899
2012/05/16,639.04
2012/05/17,715.566
2012/05/18,714.947
2012/05/19,616.937
2012/05/20,591.618
2012/05/21,621.802
2012/05/22,626.95
2012/05/23,537.624
2012/05/24,420.284
2012/05/25,426.054
2012/05/26,552.066
2012/05/27,561.149
2012/05/28,525.521
2012/05/29,477.629
2012/05/30,498.122
2012/05/31,634.95
2012/06/01,655.333
2012/06/02,620.515
2012/06/03,603.102
2012/06/04,626.458
2012/06/05,626.534
2012/06/06,680.281
2012/06/07,627.531
2012/06/08,728.688
2012/06/09,645.743
2012/06/10,670.97
2012/06/11,668.996
2012/06/12,705.137
2012/06/13,618.459
2012/06/14,569.641
2012/06/15,442.603
2012/06/16,491.95
2012/06/17,457.289
2012/06/18,441.035
2012/06/19,380.587
2012/06/20,394.875
2012/06/21,365.698
2012/06/22,400.678
2012/06/23,443.136
2012/06/24,491.409
2012/06/25,491.043
2012/06/26,489.051
2012/06/27,499.253
2012/06/28,586.021
2012/06/29,599.262
2012/06/30,532.45
2012/07/01,521.418
2012/07/02,509.32
2012/07/03,517.204
2012/07/04,547.963
2012/07/05,511.597
2012/07/06,462.029
2012/07/07,558.15
2012/07/08,530.184
2012/07/09,568.679
2012/07/10,571.701
2012/07/11,518.567
2012/07/12,491.975
2012/07/13,547.689
2012/07/14,510.098
2012/07/15,527.707
2012/07/16,521.761
2012/07/17,547.726
2012/07/18,572.553
2012/07/19,562.271
2012/07/20,507.278
2012/07/21,475.538
2012/07/22,480.23
2012/07/23,482.508
2012/07/24,468.668
2012/07/25,452.288
2012/07/26,496.857
2012/07/27,543.183
2012/07/28,520.433
2012/07/29,500.141
2012/07/30,456.288
2012/07/31,475.639
2012/08/01,529.707
2012/08/02,511.667
2012/08/03,488.998
2012/08/04,502.455
2012/08/05,554.638
2012/08/06,605.903
2012/08/07,615.591
2012/08/08,580.638
2012/08/09,579.938
2012/08/10,596.05
2012/08/11,597.763
2012/08/12,582.189
2012/08/13,559.827
2012/08/14,531.801
2012/08/15,527.685
2012/08/16,536.331
2012/08/17,563.463
2012/08/18,582.389
2012/08/19,729.765
2012/08/20,1011
2012/08/21,1119
2012/08/22,1346
2012/08/23,1601
2012/08/24,1985
2012/08/25,2087
2012/08/26,2033
2012/08/27,1980
2012/08/28,2152
2012/08/29,2534
2012/08/30,2721
2012/08/31,2545
2012/09/01,2654
2012/09/02,2740
2012/09/03,2590
2012/09/04,2476
2012/09/05,2150
2012/09/06,2434
2012/09/07,2975
2012/09/08,3052
2012/09/09,2990
2012/09/10,3737
2012/09/11,4344
2012/09/12,4625
2012/09/13,5071
2012/09/14,5024
2012/09/15,5066
2012/09/16,5702
2012/09/17,5719
2012/09/18,5552
2012/09/19,6648
2012/09/20,6296
2012/09/21,6981
2012/09/22,7737
2012/09/23,7392
2012/09/24,6967
2012/09/25,6411
2012/09/26,4783
2012/09/27,3965
2012/09/28,2595
2012/09/29,1508
2012/09/30,1144
2012/10/01,778.795
2012/10/02,761.473
2012/10/03,754.507
2012/10/04,736.268
2012/10/05,728.665
2012/10/06,742.001
2012/10/07,708.473
2012/10/08,670.992
2012/10/09,625.848
2012/10/10,587.386
2012/10/11,597.624
2012/10/12,622.405
2012/10/13,652.738
2012/10/14,648.583
2012/10/15,616.544
2012/10/16,686.231
2012/10/17,814.932
2012/10/18,941.196
2012/10/19,963.936
2012/10/20,972.74
2012/10/21,983.802
2012/10/22,1025
2012/10/23,1026
2012/10/24,947.747
2012/10/25,830.924
2012/10/26,722.286
2012/10/27,724.309
2012/10/28,706.174
2012/10/29,690.169
2012/10/30,762.186
2012/10/31,878.949
2012/11/01,963.696
2012/11/02,938.334
2012/11/03,908.456
2012/11/04,971.845
2012/11/05,1010
2012/11/06,893.82
2012/11/07,757.902
2012/11/08,650.102
2012/11/09,658.3
2012/11/10,562.747
2012/11/11,449.013
2012/11/12,370.541
2012/11/13,328.286
2012/11/14,317.183
2012/11/15,365.389
2012/11/16,465.681
2012/11/17,577.506
2012/11/18,650.926
2012/11/19,682.49
2012/11/20,704.569
2012/11/21,676.227
2012/11/22,644.568
2012/11/23,552.686
2012/11/24,486.009
2012/11/25,424.006
2012/11/26,416.617
2012/11/27,435.515
2012/11/28,484.749
2012/11/29,461.668
2012/11/30,447.289
2012/12/01,410.926
2012/12/02,459.7
2012/12/03,547.8
2012/12/04,600.875
2012/12/05,671.979
2012/12/06,781.32
2012/12/07,857.786
2012/12/08,882.57
2012/12/09,878.754
2012/12/10,789.892
2012/12/11,731.475
2012/12/12,761.194
2012/12/13,771.309
2012/12/14,793.719
