Date,top100cap14sma
2010/07/17,25.964
2010/07/18,25.941
2010/07/19,25.906
2010/07/20,25.868
2010/07/21,25.825
2010/07/22,25.783
2010/07/23,25.735
2010/07/24,25.683
2010/07/25,25.629
2010/07/26,25.66
2010/07/27,25.715
2010/07/28,25.778
2010/07/29,25.832
2010/07/30,25.883
2010/07/31,25.922
2010/08/01,25.959
2010/08/02,25.998
2010/08/03,26.047
2010/08/04,26.085
2010/08/05,26.13
2010/08/06,26.179
2010/08/07,26.225
2010/08/08,26.271
2010/08/09,26.272
2010/08/10,26.265
2010/08/11,26.271
2010/08/12,26.267
2010/08/13,26.27
2010/08/14,26.273
2010/08/15,26.273
2010/08/16,26.287
2010/08/17,26.308
2010/08/18,26.334
2010/08/19,26.354
2010/08/20,26.381
2010/08/21,26.406
2010/08/22,26.434
2010/08/23,26.448
2010/08/24,26.47
2010/08/25,26.472
2010/08/26,26.484
2010/08/27,26.494
2010/08/28,26.503
2010/08/29,26.508
2010/08/30,26.499
2010/08/31,26.486
2010/09/01,26.474
2010/09/02,26.463
2010/09/03,26.447
2010/09/04,26.436
2010/09/05,26.428
2010/09/06,26.419
2010/09/07,26.405
2010/09/08,26.392
2010/09/09,26.376
2010/09/10,26.355
2010/09/11,26.338
2010/09/12,26.331
2010/09/13,26.316
2010/09/14,26.29
2010/09/15,26.263
2010/09/16,26.244
2010/09/17,26.267
2010/09/18,26.292
2010/09/19,26.322
2010/09/20,26.358
2010/09/21,26.394
2010/09/22,26.43
2010/09/23,26.483
2010/09/24,26.541
2010/09/25,26.611
2010/09/26,26.682
2010/09/27,26.79
2010/09/28,26.985
2010/09/29,27.183
2010/09/30,27.368
2010/10/01,27.509
2010/10/02,27.686
2010/10/03,27.853
2010/10/04,27.996
2010/10/05,28.146
2010/10/06,28.297
2010/10/07,28.47
2010/10/08,28.654
2010/10/09,28.846
2010/10/10,29.047
2010/10/11,29.215
2010/10/12,29.301
2010/10/13,29.398
2010/10/14,29.513
2010/10/15,29.624
2010/10/16,29.708
2010/10/17,29.795
2010/10/18,29.914
2010/10/19,30.015
2010/10/20,30.123
2010/10/21,30.193
2010/10/22,30.251
2010/10/23,30.292
2010/10/24,30.317
2010/10/25,30.349
2010/10/26,30.393
2010/10/27,30.434
2010/10/28,30.457
2010/10/29,30.479
2010/10/30,30.484
2010/10/31,30.494
2010/11/01,30.49
2010/11/02,30.502
2010/11/03,30.506
2010/11/04,30.511
2010/11/05,30.518
2010/11/06,30.529
2010/11/07,30.536
2010/11/08,30.591
2010/11/09,30.631
2010/11/10,30.653
2010/11/11,30.675
2010/11/12,30.703
2010/11/13,30.725
2010/11/14,30.748
2010/11/15,30.768
2010/11/16,30.783
2010/11/17,30.807
2010/11/18,30.828
2010/11/19,30.842
2010/11/20,30.86
2010/11/21,30.883
2010/11/22,30.856
2010/11/23,30.838
2010/11/24,30.84
2010/11/25,30.852
2010/11/26,30.866
2010/11/27,30.887
2010/11/28,30.9
2010/11/29,30.915
2010/11/30,30.942
2010/12/01,30.977
2010/12/02,31.035
2010/12/03,31.112
2010/12/04,31.184
2010/12/05,31.259
2010/12/06,31.319
2010/12/07,31.369
2010/12/08,31.411
2010/12/09,31.443
2010/12/10,31.478
2010/12/11,31.516
2010/12/12,31.551
2010/12/13,31.609
2010/12/14,31.654
2010/12/15,31.68
2010/12/16,31.686
2010/12/17,31.673
2010/12/18,31.653
2010/12/19,31.62
2010/12/20,31.607
2010/12/21,31.579
2010/12/22,31.555
2010/12/23,31.534
2010/12/24,31.507
2010/12/25,31.48
2010/12/26,31.455
2010/12/27,31.418
2010/12/28,31.38
2010/12/29,31.331
2010/12/30,31.281
2010/12/31,31.223
2011/01/01,31.164
2011/01/02,31.114
2011/01/03,31.06
2011/01/04,31.022
2011/01/05,30.985
2011/01/06,30.945
2011/01/07,30.905
2011/01/08,30.863
2011/01/09,30.825
2011/01/10,30.768
2011/01/11,30.723
2011/01/12,30.69
2011/01/13,30.667
2011/01/14,30.656
2011/01/15,30.644
2011/01/16,30.644
2011/01/17,30.644
2011/01/18,30.642
2011/01/19,30.628
2011/01/20,30.619
2011/01/21,30.614
2011/01/22,30.607
2011/01/23,30.614
2011/01/24,30.628
2011/01/25,30.631
2011/01/26,30.627
2011/01/27,30.822
2011/01/28,31.012
2011/01/29,31.203
2011/01/30,31.384
2011/01/31,31.559
2011/02/01,31.747
2011/02/02,31.931
2011/02/03,32.119
2011/02/04,32.303
2011/02/05,32.49
2011/02/06,32.652
2011/02/07,32.83
2011/02/08,33.003
2011/02/09,33.193
2011/02/10,33.175
2011/02/11,33.153
2011/02/12,33.128
2011/02/13,33.105
2011/02/14,33.081
2011/02/15,33.051
2011/02/16,33.028
2011/02/17,32.997
2011/02/18,32.964
2011/02/19,32.926
2011/02/20,32.904
2011/02/21,32.866
2011/02/22,32.826
2011/02/23,32.777
2011/02/24,32.726
2011/02/25,32.679
2011/02/26,32.634
2011/02/27,32.628
2011/02/28,32.61
2011/03/01,32.606
2011/03/02,32.426
2011/03/03,32.242
2011/03/04,32.056
2011/03/05,31.875
2011/03/06,31.688
2011/03/07,31.504
2011/03/08,31.327
2011/03/09,31.149
2011/03/10,30.966
2011/03/11,30.773
2011/03/12,30.573
2011/03/13,30.334
2011/03/14,30.117
2011/03/15,29.881
2011/03/16,29.829
2011/03/17,29.79
2011/03/18,29.763
2011/03/19,29.731
2011/03/20,29.696
2011/03/21,29.667
2011/03/22,29.633
2011/03/23,29.606
2011/03/24,29.584
2011/03/25,29.571
2011/03/26,29.567
2011/03/27,29.559
2011/03/28,29.542
2011/03/29,29.529
2011/03/30,29.503
2011/03/31,29.467
2011/04/01,29.425
2011/04/02,29.372
2011/04/03,29.317
2011/04/04,29.253
2011/04/05,29.195
2011/04/06,29.134
2011/04/07,29.078
2011/04/08,29.023
2011/04/09,28.958
2011/04/10,28.898
2011/04/11,28.842
2011/04/12,28.779
2011/04/13,28.721
2011/04/14,28.701
2011/04/15,28.681
2011/04/16,28.671
2011/04/17,28.642
2011/04/18,28.613
2011/04/19,28.675
2011/04/20,28.733
2011/04/21,28.769
2011/04/22,28.803
2011/04/23,28.823
2011/04/24,28.836
2011/04/25,28.848
2011/04/26,28.865
2011/04/27,28.885
2011/04/28,28.86
2011/04/29,28.813
2011/04/30,28.852
2011/05/01,28.912
2011/05/02,28.975
2011/05/03,28.956
2011/05/04,28.953
2011/05/05,28.969
2011/05/06,28.969
2011/05/07,28.995
2011/05/08,29.02
2011/05/09,29.043
2011/05/10,29.067
2011/05/11,29.115
2011/05/12,29.185
2011/05/13,29.305
2011/05/14,29.343
2011/05/15,29.409
2011/05/16,29.484
2011/05/17,29.549
2011/05/18,29.611
2011/05/19,29.668
2011/05/20,29.735
2011/05/21,29.86
2011/05/22,29.99
2011/05/23,30.1
2011/05/24,30.204
2011/05/25,30.28
2011/05/26,30.341
2011/05/27,30.388
2011/05/28,30.431
2011/05/29,30.45
2011/05/30,30.465
2011/05/31,30.481
2011/06/01,30.489
2011/06/02,30.511
2011/06/03,30.55
2011/06/04,30.524
2011/06/05,30.507
2011/06/06,30.493
2011/06/07,30.474
2011/06/08,30.409
2011/06/09,30.341
2011/06/10,30.247
2011/06/11,30.165
2011/06/12,30.222
2011/06/13,30.288
2011/06/14,30.304
2011/06/15,30.31
2011/06/16,30.291
2011/06/17,30.25
2011/06/18,30.208
2011/06/19,30.213
2011/06/20,30.234
2011/06/21,30.261
2011/06/22,30.335
2011/06/23,30.46
2011/06/24,30.594
2011/06/25,30.698
2011/06/26,30.648
2011/06/27,30.607
2011/06/28,30.599
2011/06/29,30.58
2011/06/30,30.562
2011/07/01,30.565
2011/07/02,30.57
2011/07/03,30.518
2011/07/04,30.467
2011/07/05,30.425
2011/07/06,30.386
2011/07/07,30.299
2011/07/08,30.218
2011/07/09,30.154
2011/07/10,30.094
2011/07/11,30.012
2011/07/12,29.947
2011/07/13,29.897
2011/07/14,29.862
2011/07/15,29.819
2011/07/16,29.778
2011/07/17,29.739
2011/07/18,29.722
2011/07/19,29.694
2011/07/20,29.665
2011/07/21,29.633
2011/07/22,29.599
2011/07/23,29.567
2011/07/24,29.539
2011/07/25,29.509
2011/07/26,29.479
2011/07/27,29.446
2011/07/28,29.405
2011/07/29,29.366
2011/07/30,29.326
2011/07/31,29.279
2011/08/01,29.204
2011/08/02,29.134
2011/08/03,29.064
2011/08/04,29.011
2011/08/05,28.958
2011/08/06,28.933
2011/08/07,28.917
2011/08/08,28.928
2011/08/09,28.935
2011/08/10,28.947
2011/08/11,28.966
2011/08/12,28.986
2011/08/13,29.003
2011/08/14,29.023
2011/08/15,29.054
2011/08/16,29.083
2011/08/17,29.141
2011/08/18,29.184
2011/08/19,29.233
2011/08/20,29.252
2011/08/21,29.262
2011/08/22,29.25
2011/08/23,29.243
2011/08/24,29.243
2011/08/25,29.199
2011/08/26,29.156
2011/08/27,29.149
2011/08/28,29.147
2011/08/29,29.14
2011/08/30,29.136
2011/08/31,29.103
2011/09/01,29.075
2011/09/02,29.046
2011/09/03,29.015
2011/09/04,28.987
2011/09/05,28.958
2011/09/06,28.928
2011/09/07,28.924
2011/09/08,28.966
2011/09/09,29.013
2011/09/10,29.031
2011/09/11,29.12
2011/09/12,29.227
2011/09/13,29.333
2011/09/14,29.437
2011/09/15,29.535
2011/09/16,29.635
2011/09/17,29.738
2011/09/18,29.84
2011/09/19,29.94
2011/09/20,30.036
2011/09/21,30.137
2011/09/22,30.234
2011/09/23,30.32
2011/09/24,30.406
2011/09/25,30.415
2011/09/26,30.408
2011/09/27,30.401
2011/09/28,30.396
2011/09/29,30.394
2011/09/30,30.39
2011/10/01,30.386
2011/10/02,30.38
2011/10/03,30.377
2011/10/04,30.377
2011/10/05,30.34
2011/10/06,30.306
2011/10/07,30.284
2011/10/08,30.26
2011/10/09,30.241
2011/10/10,30.224
2011/10/11,30.207
2011/10/12,30.187
2011/10/13,30.171
2011/10/14,30.154
2011/10/15,30.136
2011/10/16,30.118
2011/10/17,30.095
2011/10/18,30.068
2011/10/19,30.043
2011/10/20,30.016
2011/10/21,29.987
2011/10/22,29.951
2011/10/23,29.916
2011/10/24,29.883
2011/10/25,29.848
2011/10/26,29.816
2011/10/27,29.781
2011/10/28,29.747
2011/10/29,29.736
2011/10/30,29.725
2011/10/31,29.718
2011/11/01,29.715
2011/11/02,29.708
2011/11/03,29.716
2011/11/04,29.717
2011/11/05,29.723
2011/11/06,29.726
2011/11/07,29.731
2011/11/08,29.727
2011/11/09,29.718
2011/11/10,29.711
2011/11/11,29.704
2011/11/12,29.676
2011/11/13,29.647
2011/11/14,29.619
2011/11/15,29.591
2011/11/16,29.57
2011/11/17,29.533
2011/11/18,29.487
2011/11/19,29.451
2011/11/20,29.409
2011/11/21,29.364
2011/11/22,29.328
2011/11/23,29.294
2011/11/24,29.261
2011/11/25,29.226
2011/11/26,29.19
2011/11/27,29.154
2011/11/28,29.154
2011/11/29,29.156
2011/11/30,29.141
2011/12/01,29.132
2011/12/02,29.128
2011/12/03,29.112
2011/12/04,29.102
2011/12/05,29.091
2011/12/06,29.073
2011/12/07,29.051
2011/12/08,28.888
2011/12/09,28.501
2011/12/10,28.11
2011/12/11,27.704
2011/12/12,27.252
2011/12/13,26.799
2011/12/14,26.358
2011/12/15,25.916
2011/12/16,25.478
2011/12/17,25.044
2011/12/18,24.611
2011/12/19,24.18
2011/12/20,23.787
2011/12/21,23.398
2011/12/22,23.147
2011/12/23,23.121
2011/12/24,23.1
2011/12/25,23.094
2011/12/26,23.1
2011/12/27,23.103
2011/12/28,23.106
2011/12/29,23.109
2011/12/30,23.112
2011/12/31,23.115
2012/01/01,23.119
2012/01/02,23.123
2012/01/03,23.098
2012/01/04,23.074
2012/01/05,23.056
2012/01/06,23.034
2012/01/07,23.01
2012/01/08,22.988
2012/01/09,22.993
2012/01/10,23
2012/01/11,23.007
2012/01/12,23.014
2012/01/13,23.025
2012/01/14,23.043
2012/01/15,23.059
2012/01/16,23.075
2012/01/17,23.092
2012/01/18,23.113
2012/01/19,23.152
2012/01/20,23.194
2012/01/21,23.24
2012/01/22,23.29
2012/01/23,23.309
2012/01/24,23.329
2012/01/25,23.356
2012/01/26,23.382
2012/01/27,23.404
2012/01/28,23.422
2012/01/29,23.446
2012/01/30,23.472
2012/01/31,23.5
2012/02/01,23.523
2012/02/02,23.529
2012/02/03,23.534
2012/02/04,23.544
2012/02/05,23.551
2012/02/06,23.558
2012/02/07,23.565
2012/02/08,23.565
2012/02/09,23.568
2012/02/10,23.57
2012/02/11,23.564
2012/02/12,23.553
2012/02/13,23.558
2012/02/14,23.601
2012/02/15,23.563
2012/02/16,23.505
2012/02/17,23.444
2012/02/18,23.37
2012/02/19,23.297
2012/02/20,23.223
2012/02/21,23.157
2012/02/22,23.089
2012/02/23,23.019
2012/02/24,22.947
2012/02/25,22.921
2012/02/26,22.895
2012/02/27,22.851
2012/02/28,22.776
2012/02/29,22.773
2012/03/01,22.79
2012/03/02,22.815
2012/03/03,22.836
2012/03/04,22.854
2012/03/05,22.874
2012/03/06,22.887
2012/03/07,22.905
2012/03/08,22.924
2012/03/09,22.944
2012/03/10,22.926
2012/03/11,22.908
2012/03/12,22.888
2012/03/13,22.856
2012/03/14,22.839
2012/03/15,22.827
2012/03/16,22.812
2012/03/17,22.806
2012/03/18,22.804
2012/03/19,22.802
2012/03/20,22.8
2012/03/21,22.795
2012/03/22,22.784
2012/03/23,22.78
2012/03/24,22.773
2012/03/25,22.795
2012/03/26,22.823
2012/03/27,22.849
2012/03/28,22.878
2012/03/29,22.899
2012/03/30,22.917
2012/03/31,22.935
2012/04/01,22.952
2012/04/02,22.977
2012/04/03,22.994
2012/04/04,23.03
2012/04/05,23.08
2012/04/06,23.147
2012/04/07,23.217
2012/04/08,23.256
2012/04/09,23.264
2012/04/10,23.275
2012/04/11,23.278
2012/04/12,23.285
2012/04/13,23.286
2012/04/14,23.288
2012/04/15,23.297
2012/04/16,23.32
2012/04/17,23.368
2012/04/18,23.399
2012/04/19,23.431
2012/04/20,23.453
2012/04/21,23.476
2012/04/22,23.507
2012/04/23,23.569
2012/04/24,23.631
2012/04/25,23.682
2012/04/26,23.739
2012/04/27,23.804
2012/04/28,23.869
2012/04/29,23.914
2012/04/30,23.935
2012/05/01,23.94
2012/05/02,23.942
2012/05/03,23.937
2012/05/04,23.912
2012/05/05,23.893
2012/05/06,23.909
2012/05/07,23.931
2012/05/08,23.95
2012/05/09,23.986
2012/05/10,24.02
2012/05/11,24.08
2012/05/12,24.134
2012/05/13,24.202
2012/05/14,24.269
2012/05/15,24.344
2012/05/16,24.432
2012/05/17,24.539
2012/05/18,24.651
2012/05/19,24.755
2012/05/20,24.818
2012/05/21,24.879
2012/05/22,24.96
2012/05/23,25.039
2012/05/24,25.118
2012/05/25,25.174
2012/05/26,25.237
2012/05/27,25.299
2012/05/28,25.361
2012/05/29,25.418
2012/05/30,25.468
2012/05/31,25.481
2012/06/01,25.455
2012/06/02,25.43
2012/06/03,25.406
2012/06/04,25.373
2012/06/05,25.319
2012/06/06,25.262
2012/06/07,25.197
2012/06/08,25.129
2012/06/09,25.089
2012/06/10,25.043
2012/06/11,24.988
2012/06/12,24.929
2012/06/13,24.886
