Date,mediantransactionvalue14rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,441.623
2010/08/01,740.62
2010/08/02,613.454
2010/08/03,-82.782
2010/08/04,-22.221
2010/08/05,182.524
2010/08/06,-68.523
2010/08/07,222.741
2010/08/08,-66.947
2010/08/09,34.722
2010/08/10,1668
2010/08/11,106712
2010/08/12,106381
2010/08/13,270.292
2010/08/14,147.056
2010/08/15,8.346
2010/08/16,50.278
2010/08/17,285.381
2010/08/18,15.609
2010/08/19,13.014
2010/08/20,1189
2010/08/21,129.375
2010/08/22,2064
2010/08/23,-8.33
2010/08/24,-5.862
2010/08/25,3.307
2010/08/26,-90.807
2010/08/27,-1.527
2010/08/28,-80.513
2010/08/29,-89.444
2010/08/30,-94.609
2010/08/31,-8.406
2010/09/01,-80.105
2010/09/02,-7.301
2010/09/03,86.462
2010/09/04,86.992
2010/09/05,-5.258
2010/09/06,-5.049
2010/09/07,-5.627
2010/09/08,-96.672
2010/09/09,863.285
2010/09/10,-90.481
2010/09/11,-62.069
2010/09/12,-77.429
2010/09/13,200.258
2010/09/14,-0.097
2010/09/15,212.387
2010/09/16,-0.78
2010/09/17,-51.364
2010/09/18,-51.346
2010/09/19,61.594
2010/09/20,-76.019
2010/09/21,-94.923
2010/09/22,-66.925
2010/09/23,-65.388
2010/09/24,290.684
2010/09/25,-78.436
2010/09/26,202.249
2010/09/27,-81.278
2010/09/28,-21.263
2010/09/29,200.616
2010/09/30,-61.13
2010/10/01,-74.342
2010/10/02,-95.891
2010/10/03,3.844
2010/10/04,2237
2010/10/05,9431
2010/10/06,8507
2010/10/07,1102
2010/10/08,949.01
2010/10/09,22934
2010/10/10,3941
2010/10/11,4405
2010/10/12,68.609
2010/10/13,-23.586
2010/10/14,7624
2010/10/15,7999
2010/10/16,96055
2010/10/17,389.756
2010/10/18,-11.533
2010/10/19,-73.437
2010/10/20,60.1
2010/10/21,-59.852
