Date,transactionfees7rsiUSD
2011/05/03,52.735
2011/05/04,62.54
2011/05/05,66.958
2011/05/06,58.699
2011/05/07,49.263
2011/05/08,63.296
2011/05/09,69.125
2011/05/10,70.269
2011/05/11,75.427
2011/05/12,63.331
2011/05/13,78.493
2011/05/14,83.24
2011/05/15,85.333
2011/05/16,75.146
2011/05/17,68.201
2011/05/18,70.207
2011/05/19,63.254
2011/05/20,60.162
2011/05/21,67.155
2011/05/22,57.002
2011/05/23,52.117
2011/05/24,65.139
2011/05/25,65.575
2011/05/26,62.226
2011/05/27,54.633
2011/05/28,49.631
2011/05/29,53.749
2011/05/30,70.39
2011/05/31,63.567
2011/06/01,73.676
2011/06/02,72.317
2011/06/03,79.916
2011/06/04,91.472
2011/06/05,67.902
2011/06/06,71.062
2011/06/07,79.486
2011/06/08,88.278
2011/06/09,89.001
2011/06/10,71.493
2011/06/11,49.861
2011/06/12,47.637
2011/06/13,49.929
2011/06/14,41.545
2011/06/15,50.714
2011/06/16,40.508
2011/06/17,40.041
2011/06/18,37.327
2011/06/19,36.399
2011/06/20,31.27
2011/06/21,32.393
2011/06/22,28.784
2011/06/23,27.188
2011/06/24,30.393
2011/06/25,52.307
2011/06/26,54.355
2011/06/27,47.424
2011/06/28,40.555
2011/06/29,44.51
2011/06/30,40.43
2011/07/01,37.321
2011/07/02,38.785
2011/07/03,33.947
2011/07/04,33.618
2011/07/05,42.97
2011/07/06,34.143
2011/07/07,34.378
2011/07/08,34.932
2011/07/09,38.874
2011/07/10,34.691
2011/07/11,32.034
2011/07/12,38.958
2011/07/13,41.819
2011/07/14,37.7
2011/07/15,60.863
2011/07/16,35.92
2011/07/17,41.506
2011/07/18,40.965
2011/07/19,48.589
2011/07/20,37.369
2011/07/21,35.092
2011/07/22,49.593
2011/07/23,38.151
2011/07/24,45.112
2011/07/25,46.677
2011/07/26,37.64
2011/07/27,44.058
2011/07/28,38.694
2011/07/29,40.079
2011/07/30,38.594
2011/07/31,35.825
2011/08/01,40.496
2011/08/02,35.484
2011/08/03,38.923
2011/08/04,33.321
2011/08/05,32.051
2011/08/06,76.648
2011/08/07,41.715
2011/08/08,43.849
2011/08/09,47.691
2011/08/10,50.1
2011/08/11,44.581
2011/08/12,42.919
2011/08/13,45.248
2011/08/14,55.534
2011/08/15,51.859
2011/08/16,48.866
2011/08/17,44.837
2011/08/18,42.964
2011/08/19,50.913
2011/08/20,43.828
2011/08/21,43.149
2011/08/22,50.883
2011/08/23,49.927
2011/08/24,57.825
2011/08/25,43.196
2011/08/26,36.209
2011/08/27,40.132
2011/08/28,42.282
2011/08/29,38.548
2011/08/30,57.696
2011/08/31,44.475
2011/09/01,43.067
2011/09/02,49.684
2011/09/03,41.526
2011/09/04,58.526
2011/09/05,49.061
2011/09/06,43.989
2011/09/07,50.101
2011/09/08,41.895
2011/09/09,45.515
2011/09/10,41.054
2011/09/11,40.518
2011/09/12,43.742
2011/09/13,39.738
2011/09/14,38.692
2011/09/15,51.437
2011/09/16,42.629
2011/09/17,46.218
2011/09/18,45.969
2011/09/19,47.516
2011/09/20,46.926
2011/09/21,42.209
2011/09/22,38.791
2011/09/23,41.365
2011/09/24,62.45
2011/09/25,41.81
2011/09/26,39.472
2011/09/27,46.918
2011/09/28,45.612
2011/09/29,41.725
2011/09/30,42.89
2011/10/01,47.073
2011/10/02,44.528
2011/10/03,69.619
2011/10/04,45.426
2011/10/05,46.772
2011/10/06,61.544
2011/10/07,46.613
2011/10/08,43.228
2011/10/09,41.752
2011/10/10,42.652
2011/10/11,50.055
2011/10/12,47.798
2011/10/13,49.788
2011/10/14,41.935
2011/10/15,43.084
2011/10/16,43.237
2011/10/17,42.187
2011/10/18,35.546
2011/10/19,35.729
2011/10/20,54.228
2011/10/21,39.073
2011/10/22,42.47
2011/10/23,44.294
2011/10/24,43.6
2011/10/25,40.579
2011/10/26,44.303
2011/10/27,45.161
2011/10/28,48.637
2011/10/29,53.219
2011/10/30,56.369
2011/10/31,49.673
2011/11/01,63.131
2011/11/02,45.257
2011/11/03,41.238
2011/11/04,41.788
2011/11/05,49.287
2011/11/06,41.162
2011/11/07,51.177
2011/11/08,55.078
2011/11/09,44.13
2011/11/10,43.2
2011/11/11,38.432
2011/11/12,45.323
2011/11/13,48.5
2011/11/14,40.059
2011/11/15,37.323
2011/11/16,50.098
2011/11/17,46.786
2011/11/18,47.24
2011/11/19,47.091
2011/11/20,57.084
2011/11/21,44.267
2011/11/22,42.539
2011/11/23,50.594
2011/11/24,62.734
2011/11/25,63.684
2011/11/26,47.288
2011/11/27,41.134
2011/11/28,42.729
2011/11/29,58.817
2011/11/30,49.906
2011/12/01,63.998
2011/12/02,65.705
2011/12/03,69.414
2011/12/04,43.768
2011/12/05,41.716
2011/12/06,46.845
2011/12/07,54.638
2011/12/08,43.549
2011/12/09,48.478
2011/12/10,46.692
2011/12/11,99.315
2011/12/12,87.06
2011/12/13,42.971
2011/12/14,42.918
2011/12/15,43.912
2011/12/16,42.893
2011/12/17,43.188
2011/12/18,43.117
2011/12/19,43.265
2011/12/20,44.027
2011/12/21,43.713
2011/12/22,43.214
2011/12/23,42.839
2011/12/24,42.944
2011/12/25,43.473
2011/12/26,43.668
2011/12/27,43.576
2011/12/28,44.209
2011/12/29,46.028
2011/12/30,44.732
2011/12/31,46.845
2012/01/01,47.204
2012/01/02,53.733
2012/01/03,50.92
2012/01/04,71.469
2012/01/05,48.765
2012/01/06,52.326
2012/01/07,48.576
2012/01/08,45.759
2012/01/09,54.022
2012/01/10,47.296
2012/01/11,49.402
2012/01/12,85.659
2012/01/13,49.133
2012/01/14,51.315
2012/01/15,53.109
2012/01/16,67.71
2012/01/17,45.734
2012/01/18,47.241
2012/01/19,56.284
2012/01/20,55.53
2012/01/21,43.251
2012/01/22,42.55
2012/01/23,43.975
2012/01/24,47.102
2012/01/25,44.726
2012/01/26,46.793
2012/01/27,58.769
2012/01/28,47.271
2012/01/29,89.018
2012/01/30,48.52
2012/01/31,45.54
2012/02/01,45.307
2012/02/02,46.54
2012/02/03,45.696
2012/02/04,46.042
2012/02/05,45.067
2012/02/06,45.169
2012/02/07,45.792
2012/02/08,45.283
2012/02/09,46.199
2012/02/10,44.636
2012/02/11,44.669
2012/02/12,44.801
2012/02/13,45.285
2012/02/14,50.138
2012/02/15,44.784
2012/02/16,46.947
2012/02/17,44.26
2012/02/18,44.137
2012/02/19,43.68
2012/02/20,45.708
2012/02/21,44.619
2012/02/22,44.059
2012/02/23,46.931
2012/02/24,47.775
2012/02/25,45.134
2012/02/26,47.054
2012/02/27,52.874
2012/02/28,46.656
2012/02/29,45.093
2012/03/01,56.799
2012/03/02,46.872
2012/03/03,44.148
2012/03/04,50.918
2012/03/05,51.965
2012/03/06,52.921
2012/03/07,47.362
2012/03/08,47.539
2012/03/09,48.416
2012/03/10,56.297
