Date,hashrate14rsi
2011/05/03,68.736
2011/05/04,67.403
2011/05/05,71.017
2011/05/06,71.612
2011/05/07,72.933
2011/05/08,67.42
2011/05/09,75.603
2011/05/10,82.112
2011/05/11,68.714
2011/05/12,64.356
2011/05/13,67.069
2011/05/14,74.603
2011/05/15,74.302
2011/05/16,73.779
2011/05/17,77.167
2011/05/18,80.661
2011/05/19,84.522
2011/05/20,82.311
2011/05/21,82.932
2011/05/22,86.661
2011/05/23,87.688
2011/05/24,89.779
2011/05/25,90.488
2011/05/26,92.759
2011/05/27,94.221
2011/05/28,63.754
2011/05/29,63.495
2011/05/30,63.294
2011/05/31,59.663
2011/06/01,62.904
2011/06/02,68.133
2011/06/03,69.241
2011/06/04,71.155
2011/06/05,71.497
2011/06/06,78.842
2011/06/07,69.642
2011/06/08,68.22
2011/06/09,73.263
2011/06/10,75.48
2011/06/11,76.295
2011/06/12,78.481
2011/06/13,72.799
2011/06/14,73.495
2011/06/15,83.904
2011/06/16,84.919
2011/06/17,66.693
2011/06/18,67.56
2011/06/19,71.515
2011/06/20,73.942
2011/06/21,75.171
2011/06/22,78.112
2011/06/23,70.853
2011/06/24,77.817
2011/06/25,64.519
2011/06/26,60.611
2011/06/27,61.81
2011/06/28,61.834
2011/06/29,65.075
2011/06/30,67.15
2011/07/01,68.671
2011/07/02,63.167
2011/07/03,60.106
2011/07/04,58.538
2011/07/05,55.866
2011/07/06,55.158
2011/07/07,57.98
2011/07/08,56.654
2011/07/09,63.47
2011/07/10,55.599
2011/07/11,57.785
2011/07/12,55.088
2011/07/13,62.854
2011/07/14,60.722
2011/07/15,57.278
2011/07/16,60.463
2011/07/17,56.472
2011/07/18,58.533
2011/07/19,60.079
2011/07/20,51.923
2011/07/21,57.104
2011/07/22,55.411
2011/07/23,55.292
2011/07/24,59.505
2011/07/25,61.207
2011/07/26,61.686
2011/07/27,67.474
2011/07/28,59.028
2011/07/29,54.586
2011/07/30,51.816
2011/07/31,57.429
2011/08/01,64.003
2011/08/02,57.108
2011/08/03,57.093
2011/08/04,51.719
2011/08/05,47.191
2011/08/06,46.874
2011/08/07,44.153
2011/08/08,46.46
2011/08/09,50.382
2011/08/10,58.998
2011/08/11,49.938
2011/08/12,47.614
