Date,activeaddresses7roc
2010/07/17,100
2010/07/18,56.218
2010/07/19,-72.627
2010/07/20,-54.655
2010/07/21,-88.038
2010/07/22,-70.332
2010/07/23,-61.871
2010/07/24,19.9
2010/07/25,132.497
2010/07/26,27.366
2010/07/27,-14.901
2010/07/28,-16.687
2010/07/29,-11.853
2010/07/30,-10.583
2010/07/31,-50.726
2010/08/01,-70.919
2010/08/02,-49.354
2010/08/03,26.329
2010/08/04,8.457
2010/08/05,55.114
2010/08/06,9.434
2010/08/07,8.211
2010/08/08,-5.806
2010/08/09,24.083
2010/08/10,-39.425
2010/08/11,-4.104
2010/08/12,-29.304
2010/08/13,32.759
2010/08/14,9.533
2010/08/15,-27.226
2010/08/16,-0.771
2010/08/17,-16.271
2010/08/18,3.566
2010/08/19,-18.826
2010/08/20,-22.55
2010/08/21,-6.217
2010/08/22,37.882
2010/08/23,-15.415
2010/08/24,27.935
2010/08/25,-31.267
2010/08/26,38.723
2010/08/27,-24.238
2010/08/28,-0.189
2010/08/29,-33.447
2010/08/30,-20.061
2010/08/31,16.139
2010/09/01,20.842
2010/09/02,-16.718
2010/09/03,0.604
2010/09/04,-14.421
2010/09/05,40.513
2010/09/06,-2.107
2010/09/07,-45.095
2010/09/08,-9.619
2010/09/09,-5.341
2010/09/10,8.2
2010/09/11,-3.991
2010/09/12,29.745
2010/09/13,40.509
2010/09/14,64.764
2010/09/15,21.468
2010/09/16,33.268
2010/09/17,85.397
2010/09/18,29.792
2010/09/19,-8.017
2010/09/20,-1.811
2010/09/21,83.133
2010/09/22,56.949
2010/09/23,53.139
2010/09/24,-19.541
2010/09/25,46.797
2010/09/26,-4.74
2010/09/27,80
2010/09/28,39.72
2010/09/29,15.303
2010/09/30,-39.18
2010/10/01,4.957
2010/10/02,-5.455
2010/10/03,7.865
2010/10/04,-34.752
2010/10/05,-58.564
2010/10/06,-42.237
2010/10/07,1.411
2010/10/08,-4.014
2010/10/09,-3.846
2010/10/10,-7.292
2010/10/11,-23.792
2010/10/12,-8.239
2010/10/13,33.815
2010/10/14,-2.009
2010/10/15,-28.536
2010/10/16,24.4
2010/10/17,20.706
2010/10/18,50.079
2010/10/19,117.957
2010/10/20,27.754
2010/10/21,56.782
2010/10/22,67.298
2010/10/23,-10.504
2010/10/24,13.165
2010/10/25,-20.591
2010/10/26,-38.494
2010/10/27,-5.579
2010/10/28,0.402
2010/10/29,-12.757
2010/10/30,-21.078
2010/10/31,-32.785
2010/11/01,-20.612
2010/11/02,-47.113
2010/11/03,-48.612
2010/11/04,-39.178
2010/11/05,-1.533
2010/11/06,-9.56
2010/11/07,20.629
2010/11/08,163.149
2010/11/09,41.485
2010/11/10,13.415
2010/11/11,-0.988
2010/11/12,-45.389
2010/11/13,-2.852
2010/11/14,30.58
