Date,sentinusd30smaUSD
2011/04/24,460997
2011/04/25,456962
2011/04/26,462992
2011/04/27,474523
2011/04/28,481747
2011/04/29,544420
2011/04/30,584098
2011/05/01,599748
2011/05/02,609830
2011/05/03,628417
2011/05/04,657014
2011/05/05,672038
2011/05/06,701657
2011/05/07,725085
2011/05/08,788180
2011/05/09,804201
2011/05/10,893112
2011/05/11,924116
2011/05/12,961184
2011/05/13,1065452
2011/05/14,1517002
2011/05/15,1586304
2011/05/16,1644295
2011/05/17,1651794
2011/05/18,1689310
2011/05/19,1626985
2011/05/20,1514623
2011/05/21,1627612
2011/05/22,1808615
2011/05/23,1905751
2011/05/24,1985992
2011/05/25,2081882
2011/05/26,2189182
2011/05/27,2327697
2011/05/28,2380716
2011/05/29,2388852
2011/05/30,2422937
2011/05/31,2487137
2011/06/01,2557436
2011/06/02,2655839
2011/06/03,2877282
2011/06/04,3121352
2011/06/05,3416366
2011/06/06,3876308
2011/06/07,4179612
2011/06/08,4863663
2011/06/09,5528852
2011/06/10,6307564
2011/06/11,7215441
2011/06/12,8120556
2011/06/13,8475297
2011/06/14,9403471
2011/06/15,12066284
2011/06/16,17341889
2011/06/17,18152988
2011/06/18,18800579
2011/06/19,21342127
2011/06/20,21967021
2011/06/21,23655347
2011/06/22,24298774
2011/06/23,25132326
2011/06/24,27736965
2011/06/25,33693149
2011/06/26,35828406
2011/06/27,36799192
2011/06/28,40580162
2011/06/29,42066938
2011/06/30,42806684
2011/07/01,43305238
2011/07/02,43630487
2011/07/03,43670072
2011/07/04,44069799
2011/07/05,43924998
2011/07/06,43701552
2011/07/07,43560700
2011/07/08,43004879
2011/07/09,43241368
2011/07/10,43612401
2011/07/11,43151197
2011/07/12,42638103
2011/07/13,42491530
2011/07/14,42387674
2011/07/15,39931800
2011/07/16,35174497
2011/07/17,34572933
2011/07/18,35350332
2011/07/19,33982549
2011/07/20,33477332
2011/07/21,32208151
2011/07/22,32164557
2011/07/23,31520521
2011/07/24,29064437
2011/07/25,23660366
2011/07/26,21920147
2011/07/27,21474103
2011/07/28,19167119
2011/07/29,17913118
2011/07/30,17237704
2011/07/31,16922585
2011/08/01,16716590
2011/08/02,16590074
2011/08/03,16073292
2011/08/04,15997704
2011/08/05,15903871
2011/08/06,15778103
2011/08/07,15718014
2011/08/08,14996459
2011/08/09,14548923
2011/08/10,14440511
2011/08/11,14096466
2011/08/12,13538794
2011/08/13,12741135
2011/08/14,12620958
2011/08/15,12169481
2011/08/16,12049153
2011/08/17,10700820
2011/08/18,9600975
2011/08/19,9559489
2011/08/20,9038603
2011/08/21,8424860
2011/08/22,8250407
2011/08/23,8160847
2011/08/24,7694626
2011/08/25,7273572
2011/08/26,6768186
2011/08/27,5976330
2011/08/28,5720159
2011/08/29,5645252
2011/08/30,5448982
2011/08/31,5285350
2011/09/01,5208648
2011/09/02,5135067
2011/09/03,5092542
2011/09/04,5405908
2011/09/05,5896637
2011/09/06,6568369
2011/09/07,6444535
2011/09/08,5797992
2011/09/09,5496015
2011/09/10,5381731
2011/09/11,5454686
2011/09/12,5479664
2011/09/13,5392524
2011/09/14,5327536
2011/09/15,5246591
2011/09/16,5236583
2011/09/17,5146698
2011/09/18,4986747
2011/09/19,4958709
2011/09/20,4933686
2011/09/21,4908533
2011/09/22,4804358
2011/09/23,4662934
2011/09/24,4576554
2011/09/25,4545762
2011/09/26,3836843
2011/09/27,3851818
2011/09/28,3837011
2011/09/29,3819098
2011/09/30,3791504
2011/10/01,3771569
2011/10/02,3753246
2011/10/03,3756571
2011/10/04,3343154
2011/10/05,2814921
2011/10/06,2139801
2011/10/07,2048819
2011/10/08,1998256
2011/10/09,1961227
2011/10/10,1960330
2011/10/11,1824233
2011/10/12,1742318
2011/10/13,1713842
2011/10/14,1693765
2011/10/15,1691957
2011/10/16,1615842
2011/10/17,1609290
2011/10/18,1588930
2011/10/19,1554278
2011/10/20,1509865
2011/10/21,1479839
2011/10/22,1477684
2011/10/23,1474633
2011/10/24,1467588
2011/10/25,1448796
2011/10/26,1440512
2011/10/27,1420280
2011/10/28,1410222
2011/10/29,1406821
2011/10/30,1383164
2011/10/31,1354560
2011/11/01,1358113
2011/11/02,1333488
2011/11/03,1301743
2011/11/04,1277125
2011/11/05,1221415
2011/11/06,1186817
2011/11/07,1174404
2011/11/08,1246229
2011/11/09,1301354
2011/11/10,1292118
2011/11/11,1279268
2011/11/12,1264860
2011/11/13,1253169
2011/11/14,1234684
2011/11/15,1229872
2011/11/16,1345988
2011/11/17,1581091
2011/11/18,1921972
2011/11/19,2185599
2011/11/20,2248995
2011/11/21,2318441
2011/11/22,2532359
2011/11/23,2616448
2011/11/24,2700632
2011/11/25,2747447
2011/11/26,2826533
2011/11/27,2924313
2011/11/28,3208806
2011/11/29,3530558
2011/11/30,4110131
2011/12/01,4263156
2011/12/02,4780662
2011/12/03,5083051
2011/12/04,5313952
2011/12/05,5562754
2011/12/06,6215492
2011/12/07,6747113
2011/12/08,7086377
2011/12/09,7182626
2011/12/10,7255597
2011/12/11,7312220
2011/12/12,7359494
2011/12/13,7368014
2011/12/14,7369644
2011/12/15,7385481
2011/12/16,7266879
2011/12/17,7036568
2011/12/18,6700844
2011/12/19,6461995
2011/12/20,6411594
2011/12/21,6357252
2011/12/22,6134835
2011/12/23,6045882
2011/12/24,5963379
2011/12/25,5911089
2011/12/26,5871119
2011/12/27,5810177
2011/12/28,5507659
2011/12/29,5226208
2011/12/30,4638034
2011/12/31,4460256
2012/01/01,3948660
2012/01/02,3646813
2012/01/03,3410905
2012/01/04,3195003
2012/01/05,2652099
2012/01/06,2205711
2012/01/07,1805260
2012/01/08,1676025
2012/01/09,1647961
2012/01/10,1627675
2012/01/11,1623620
2012/01/12,1653486
2012/01/13,1695116
2012/01/14,1713864
2012/01/15,1717989
2012/01/16,1766879
2012/01/17,1810401
2012/01/18,1821723
2012/01/19,1827587
2012/01/20,1819093
2012/01/21,1812311
2012/01/22,1821004
2012/01/23,1829873
2012/01/24,1859631
2012/01/25,1840473
2012/01/26,1822340
2012/01/27,1844162
2012/01/28,1814506
2012/01/29,1831593
2012/01/30,1844868
2012/01/31,1843798
2012/02/01,1877115
2012/02/02,1903246
2012/02/03,1903755
2012/02/04,1830184
2012/02/05,1775466
2012/02/06,1773570
2012/02/07,1756999
2012/02/08,1721996
2012/02/09,1694570
2012/02/10,1676462
2012/02/11,1689064
2012/02/12,1663503
2012/02/13,1667931
2012/02/14,1826962
2012/02/15,1934412
2012/02/16,2083230
2012/02/17,2156213
2012/02/18,2182725
2012/02/19,2169226
2012/02/20,2181365
2012/02/21,2191580
2012/02/22,2253306
2012/02/23,2288611
2012/02/24,2306070
2012/02/25,2296923
2012/02/26,2287991
2012/02/27,2304904
2012/02/28,2305188
2012/02/29,2304046
2012/03/01,2357849
2012/03/02,2369174
2012/03/03,2360485
2012/03/04,2396747
2012/03/05,2391945
2012/03/06,2385506
2012/03/07,2388589
2012/03/08,2417013
2012/03/09,2458391
2012/03/10,2472864
2012/03/11,2476974
2012/03/12,2485230
2012/03/13,2514180
2012/03/14,2541347
2012/03/15,2407934
2012/03/16,2298846
2012/03/17,2150013
2012/03/18,2073597
2012/03/19,2048113
2012/03/20,2071110
2012/03/21,2087405
2012/03/22,2149012
2012/03/23,2177599
2012/03/24,2197940
2012/03/25,2166952
2012/03/26,2185598
2012/03/27,2224479
2012/03/28,2276802
2012/03/29,2410956
2012/03/30,2517412
2012/03/31,2549759
2012/04/01,2559685
2012/04/02,2613495
2012/04/03,2644219
2012/04/04,2704187
2012/04/05,2799173
2012/04/06,2834725
2012/04/07,2805460
2012/04/08,2911042
2012/04/09,3114995
2012/04/10,3185251
2012/04/11,3337838
2012/04/12,3462230
2012/04/13,3499535
2012/04/14,3579194
2012/04/15,3703078
2012/04/16,3889056
2012/04/17,4012718
2012/04/18,4111498
2012/04/19,4150342
2012/04/20,4568923
2012/04/21,4668250
2012/04/22,4692677
2012/04/23,4698753
2012/04/24,4762312
2012/04/25,4853267
2012/04/26,5079267
2012/04/27,5217211
2012/04/28,5173583
2012/04/29,5176311
2012/04/30,5213402
2012/05/01,5291411
2012/05/02,5356628
2012/05/03,5423543
2012/05/04,5491626
2012/05/05,5540265
2012/05/06,5553826
2012/05/07,5865218
2012/05/08,6319999
2012/05/09,6446781
2012/05/10,6508462
2012/05/11,6513441
2012/05/12,6830811
2012/05/13,6939498
2012/05/14,7157165
2012/05/15,7571322
2012/05/16,7884225
2012/05/17,8279684
2012/05/18,8425226
2012/05/19,8517420
2012/05/20,8361907
2012/05/21,8792461
2012/05/22,9317836
2012/05/23,9494397
2012/05/24,9560158
2012/05/25,9802952
2012/05/26,10307495
2012/05/27,10401714
2012/05/28,10617183
2012/05/29,10998053
2012/05/30,11227501
2012/05/31,11871285
2012/06/01,12206952
2012/06/02,12348909
2012/06/03,12457958
2012/06/04,13067568
2012/06/05,13767013
2012/06/06,13854591
2012/06/07,14091011
2012/06/08,14720306
2012/06/09,14782687
2012/06/10,15136350
2012/06/11,15168557
2012/06/12,15405172
2012/06/13,15494603
2012/06/14,15824581
2012/06/15,15960011
2012/06/16,16211342
2012/06/17,16186912
2012/06/18,16498725
2012/06/19,16604970
2012/06/20,16326230
2012/06/21,15861831
2012/06/22,16049558
2012/06/23,16506649
2012/06/24,16491939
2012/06/25,16052505
2012/06/26,16072280
2012/06/27,16137569
2012/06/28,16360015
2012/06/29,16506887
2012/06/30,15991088
2012/07/01,15771622
2012/07/02,15680710
2012/07/03,15695076
2012/07/04,15373576
2012/07/05,15005366
2012/07/06,14853786
2012/07/07,14885924
2012/07/08,14047314
2012/07/09,14275983
2012/07/10,14183220
2012/07/11,13897189
2012/07/12,13744996
2012/07/13,13891232
2012/07/14,13551973
2012/07/15,13171322
