Date,mining_profitability7trx
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,-2.361
2010/08/06,-2.882
2010/08/07,-3.296
2010/08/08,-3.506
2010/08/09,-3.609
2010/08/10,-3.508
2010/08/11,-3.289
2010/08/12,-3.028
2010/08/13,-2.83
2010/08/14,-2.363
2010/08/15,-2.532
2010/08/16,-2.882
2010/08/17,-3.27
2010/08/18,-3.482
2010/08/19,-3.6
2010/08/20,-3.427
2010/08/21,-3.369
2010/08/22,-3.185
2010/08/23,-3.024
2010/08/24,-2.86
2010/08/25,-2.711
2010/08/26,-2.57
2010/08/27,-2.723
2010/08/28,-2.915
2010/08/29,-3.02
2010/08/30,-3.046
2010/08/31,-2.938
2010/09/01,-2.935
2010/09/02,-2.847
2010/09/03,-2.682
2010/09/04,-2.426
2010/09/05,-2.243
2010/09/06,-2.081
2010/09/07,-1.836
2010/09/08,-1.708
2010/09/09,-1.864
2010/09/10,-1.806
2010/09/11,-1.814
2010/09/12,-1.753
2010/09/13,-1.706
2010/09/14,-1.481
2010/09/15,-1.432
2010/09/16,-1.156
2010/09/17,-1.103
2010/09/18,-0.983
2010/09/19,-1.253
2010/09/20,-1.614
2010/09/21,-2.012
2010/09/22,-2.234
2010/09/23,-2.13
2010/09/24,-2.113
2010/09/25,-2.158
2010/09/26,-2.095
2010/09/27,-1.937
2010/09/28,-1.922
2010/09/29,-2.368
2010/09/30,-2.804
2010/10/01,-3.169
2010/10/02,-3.616
2010/10/03,-3.69
2010/10/04,-3.538
2010/10/05,-3.455
2010/10/06,-3.073
2010/10/07,-2.766
2010/10/08,-2.253
2010/10/09,-1.345
2010/10/10,-0.124
2010/10/11,0.746
2010/10/12,1.319
2010/10/13,1.89
2010/10/14,2.495
2010/10/15,2.579
2010/10/16,2.893
2010/10/17,2.775
2010/10/18,2.454
