Date,hashrate7mom
2011/04/09,48850153782
2011/04/10,80001905788
2011/04/11,36538067977
2011/04/12,21893618029
2011/04/13,102344212191
2011/04/14,87735404829
2011/04/15,-31583939623
2011/04/16,-18512439291
2011/04/17,29388035987
2011/04/18,55132845877
2011/04/19,-21657867476
2011/04/20,-85035483734
2011/04/21,7018453949
2011/04/22,146885809251
2011/04/23,135662547286
2011/04/24,73178350197
2011/04/25,81460025581
2011/04/26,258839847255
2011/04/27,185574977664
2011/04/28,35705540495
2011/04/29,136676273362
2011/04/30,240362001623
2011/05/01,226843253951
2011/05/02,250363455570
2011/05/03,158784588080
2011/05/04,181967552001
2011/05/05,398893316298
2011/05/06,278414699949
2011/05/07,169736911231
2011/05/08,138152063318
2011/05/09,316504593769
2011/05/10,589659595762
2011/05/11,399974667280
2011/05/12,235539508153
2011/05/13,315351151917
2011/05/14,625357115068
2011/05/15,673964661170
2011/05/16,441263777478
2011/05/17,320835566320
2011/05/18,758912235707
2011/05/19,1191767768302
2011/05/20,1052657818482
2011/05/21,766567306140
2011/05/22,1194882893180
2011/05/23,1353857522432
2011/05/24,1543308027751
2011/05/25,1459982939905
2011/05/26,1738214506617
2011/05/27,2404754539276
2011/05/28,979759999672
2011/05/29,541061515074
2011/05/30,379713700887
2011/05/31,-197589600027
2011/06/01,-54724060623
2011/06/02,-130443113350
2011/06/03,-620579073037
2011/06/04,981338307358
2011/06/05,1039325338452
2011/06/06,2190562442788
2011/06/07,1855653868754
2011/06/08,1472108722958
2011/06/09,1687268055647
2011/06/10,1963462844416
2011/06/11,1886676777735
2011/06/12,2290941508859
2011/06/13,800536994462
2011/06/14,1461231472211
2011/06/15,4323223602015
2011/06/16,3992679943312
2011/06/17,1809035800371
2011/06/18,1857077219001
2011/06/19,2427537739417
2011/06/20,3499296631697
2011/06/21,3770214159577
2011/06/22,2027553743261
2011/06/23,759509375639
2011/06/24,5127973785637
2011/06/25,2845479019765
2011/06/26,1101011940157
2011/06/27,730238539161
2011/06/28,347940241823
2011/06/29,239978876885
2011/06/30,1702896560870
2011/07/01,-407501432847
2011/07/02,825988346994
2011/07/03,1055856639478
2011/07/04,450105494245
2011/07/05,8318191184
2011/07/06,-1026679253290
2011/07/07,-1103938243779
2011/07/08,-1779779714214
2011/07/09,526309107266
2011/07/10,-198353821317
2011/07/11,531334673219
2011/07/12,528580812197
2011/07/13,2462820384560
2011/07/14,1560622853570
2011/07/15,1188649524138
2011/07/16,471444605900
2011/07/17,1037993749359
2011/07/18,1022424007793
2011/07/19,1808506203011
2011/07/20,-1374872008266
2011/07/21,94248009415
2011/07/22,362933813952
2011/07/23,-402401047292
2011/07/24,1152469306590
2011/07/25,1082482504154
2011/07/26,841361959052
2011/07/27,3640406478889
2011/07/28,1251268433645
2011/07/29,785208613817
2011/07/30,302225458978
2011/07/31,616940378828
2011/08/01,1995092360841
2011/08/02,605211418227
2011/08/03,-834037705248
2011/08/04,-637820644908
2011/08/05,-885234821437
2011/08/06,-454666723915
2011/08/07,-2285427787124
2011/08/08,-3626840581527
2011/08/09,-1588255505860
2011/08/10,428006129067
2011/08/11,-458166757262
2011/08/12,-24974803426
2011/08/13,454261458551
2011/08/14,-198295588761
2011/08/15,816283773920
2011/08/16,-1096358957120
2011/08/17,-2415951074949
2011/08/18,269310945214
2011/08/19,-66935724469
2011/08/20,-223707506177
2011/08/21,1821996636414
2011/08/22,2629238627638
2011/08/23,3153889623386
2011/08/24,288765481939
2011/08/25,-1365861728563
2011/08/26,800278223035
