Date,transactions90ema
2010/07/17,252.957
2010/07/18,252.849
2010/07/19,255.072
2010/07/20,258.543
2010/07/21,258.487
2010/07/22,257.663
2010/07/23,256.769
2010/07/24,266.62
2010/07/25,295.75
2010/07/26,294.173
2010/07/27,293.422
2010/07/28,326.357
2010/07/29,356.262
2010/07/30,351.575
2010/07/31,345.87
2010/08/01,341.015
2010/08/02,336.949
2010/08/03,338.796
2010/08/04,335.658
2010/08/05,334.808
2010/08/06,332.109
2010/08/07,327.404
2010/08/08,324.428
2010/08/09,322.44
2010/08/10,318.628
2010/08/11,315.56
2010/08/12,312.47
2010/08/13,312.218
2010/08/14,308.719
2010/08/15,304.308
2010/08/16,304.345
2010/08/17,301.81
2010/08/18,300.539
2010/08/19,298.11
2010/08/20,296.613
2010/08/21,293.808
2010/08/22,290.735
2010/08/23,287.774
2010/08/24,285.054
2010/08/25,282.064
2010/08/26,279.337
2010/08/27,275.901
2010/08/28,273.552
2010/08/29,269.693
2010/08/30,267.722
2010/08/31,267.486
2010/09/01,266.509
2010/09/02,264.278
2010/09/03,261.876
2010/09/04,258.164
2010/09/05,255.699
2010/09/06,252.717
2010/09/07,249.844
2010/09/08,248.177
2010/09/09,246.876
2010/09/10,245.473
2010/09/11,243.264
2010/09/12,242.358
2010/09/13,242.855
2010/09/14,242.375
2010/09/15,242.784
2010/09/16,242.261
2010/09/17,240.3
2010/09/18,238.579
2010/09/19,236.544
2010/09/20,237.104
2010/09/21,245.914
2010/09/22,251.477
2010/09/23,255.203
2010/09/24,255.594
2010/09/25,257.119
2010/09/26,255.754
2010/09/27,258.353
2010/09/28,258.806
2010/09/29,270.943
2010/09/30,269.801
2010/10/01,273.322
2010/10/02,276.128
2010/10/03,275.664
2010/10/04,275.187
2010/10/05,274.524
2010/10/06,273.677
2010/10/07,271.619
2010/10/08,270.242
2010/10/09,269.644
2010/10/10,267.783
2010/10/11,265.92
2010/10/12,264.405
2010/10/13,262.726
2010/10/14,260.512
2010/10/15,258.105
2010/10/16,256.455
2010/10/17,254.928
2010/10/18,256.578
2010/10/19,265.62
2010/10/20,269.651
2010/10/21,271.768
2010/10/22,275.641
2010/10/23,277.1
2010/10/24,278.636
2010/10/25,277.062
2010/10/26,277.06
2010/10/27,278.773
2010/10/28,278.515
2010/10/29,277.756
2010/10/30,275.476
2010/10/31,272.234
2010/11/01,270.075
2010/11/02,266.557
2010/11/03,264.149
2010/11/04,261.443
2010/11/05,260.598
2010/11/06,258.739
2010/11/07,257.667
2010/11/08,257.279
2010/11/09,255.844
2010/11/10,254.485
2010/11/11,252.76
2010/11/12,249.777
2010/11/13,246.924
2010/11/14,245.014
2010/11/15,342.288
2010/11/16,530.546
2010/11/17,523.017
2010/11/18,538.709
2010/11/19,735.265
2010/11/20,930.424
2010/11/21,1128
2010/11/22,1107
2010/11/23,1087
2010/11/24,1146
2010/11/25,1226
2010/11/26,1224
2010/11/27,1203
2010/11/28,1182
2010/11/29,1162
2010/11/30,1142
2010/12/01,1124
2010/12/02,1105
2010/12/03,1085
2010/12/04,1065
2010/12/05,1046
2010/12/06,1028
2010/12/07,1013
2010/12/08,996.924
2010/12/09,980.793
2010/12/10,964.205
2010/12/11,951.255
2010/12/12,940.722
2010/12/13,931.146
2010/12/14,921.274
2010/12/15,910.829
2010/12/16,898.679
2010/12/17,885.433
2010/12/18,873.401
2010/12/19,862.272
2010/12/20,860.31
2010/12/21,850.94
2010/12/22,843.271
2010/12/23,832.958
2010/12/24,823.068
2010/12/25,815.221
2010/12/26,806.952
2010/12/27,797.129
2010/12/28,790.423
2010/12/29,780.699
2010/12/30,772.86
2010/12/31,764.511
2011/01/01,758.214
2011/01/02,750.21
2011/01/03,755.084
2011/01/04,756.906
2011/01/05,765.678
2011/01/06,761.003
2011/01/07,763.091
2011/01/08,774.144
2011/01/09,780.427
2011/01/10,788.549
2011/01/11,797.372
2011/01/12,801.716
2011/01/13,807.788
2011/01/14,813.793
2011/01/15,813.599
2011/01/16,812.356
