Date,transactionvalue3rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,34.75
2010/07/21,-26.52
2010/07/22,-15.548
2010/07/23,-28.005
2010/07/24,-37.999
2010/07/25,-78.875
2010/07/26,247.85
2010/07/27,52.844
2010/07/28,50.522
2010/07/29,-93.296
2010/07/30,-5.369
2010/07/31,68.805
2010/08/01,6747
2010/08/02,138.011
2010/08/03,7.865
2010/08/04,-89.911
2010/08/05,-51.769
2010/08/06,-14.181
2010/08/07,21.329
2010/08/08,-66.413
2010/08/09,274.091
2010/08/10,23.962
2010/08/11,433.856
2010/08/12,-77.032
2010/08/13,-35.252
2010/08/14,-70.765
2010/08/15,28.516
2010/08/16,120.765
2010/08/17,330.685
2010/08/18,92.626
2010/08/19,-57.003
2010/08/20,-56.607
2010/08/21,9.004
2010/08/22,-13.509
2010/08/23,-31.779
2010/08/24,-51.53
2010/08/25,-21.741
2010/08/26,-20.926
2010/08/27,74.15
2010/08/28,10.73
2010/08/29,-14.588
2010/08/30,-56.716
2010/08/31,78.435
2010/09/01,121.92
2010/09/02,146.998
2010/09/03,0.922
2010/09/04,43.332
2010/09/05,306.553
2010/09/06,196.407
2010/09/07,-41.464
2010/09/08,-88.3
2010/09/09,-61.874
2010/09/10,-39.036
2010/09/11,-34.304
2010/09/12,-53.016
2010/09/13,590.253
2010/09/14,110.593
2010/09/15,88.397
2010/09/16,-70.709
2010/09/17,182.281
2010/09/18,15.005
2010/09/19,82.136
2010/09/20,-55.617
2010/09/21,-67.208
2010/09/22,-53.569
2010/09/23,116.655
2010/09/24,11.547
2010/09/25,-15.401
2010/09/26,-71.004
2010/09/27,43.307
2010/09/28,194.621
2010/09/29,71.374
2010/09/30,104.978
2010/10/01,-40.005
2010/10/02,649.361
2010/10/03,74.633
2010/10/04,1254
2010/10/05,-28.389
2010/10/06,50.748
2010/10/07,-70.852
2010/10/08,1.225
2010/10/09,120.583
2010/10/10,26.775
2010/10/11,-54.034
2010/10/12,-48.816
2010/10/13,-0.001
2010/10/14,235.522
2010/10/15,118.486
2010/10/16,46.088
2010/10/17,-51.621
2010/10/18,-15.695
