Date,activeaddresses3wma
2010/07/17,1309
2010/07/18,1012
2010/07/19,925.667
2010/07/20,929.833
2010/07/21,868.5
2010/07/22,720.167
2010/07/23,660.5
2010/07/24,799.167
2010/07/25,1496
2010/07/26,1490
2010/07/27,1154
2010/07/28,800.333
2010/07/29,617.167
2010/07/30,579.833
2010/07/31,519.833
2010/08/01,565.5
2010/08/02,599.333
2010/08/03,799.333
2010/08/04,794.667
2010/08/05,815.5
2010/08/06,713.833
2010/08/07,606.167
2010/08/08,569.667
2010/08/09,669.333
2010/08/10,651.667
2010/08/11,676.833
2010/08/12,621.5
2010/08/13,733.333
2010/08/14,660.333
2010/08/15,541.333
2010/08/16,621.5
2010/08/17,575.167
2010/08/18,656.333
2010/08/19,559.333
2010/08/20,605.667
2010/08/21,561
2010/08/22,578.333
2010/08/23,609.833
2010/08/24,631.333
2010/08/25,569
2010/08/26,597.667
2010/08/27,549
2010/08/28,537.833
2010/08/29,453.5
2010/08/30,478.833
2010/08/31,606
2010/09/01,633.167
2010/09/02,594.833
2010/09/03,531.5
2010/09/04,482.667
2010/09/05,507.667
2010/09/06,513.333
2010/09/07,463.167
2010/09/08,492
2010/09/09,505.833
2010/09/10,532.667
2010/09/11,482.5
2010/09/12,590
2010/09/13,668.167
2010/09/14,689.833
2010/09/15,672
2010/09/16,673.833
2010/09/17,840.167
2010/09/18,729.5
2010/09/19,681.5
2010/09/20,664.167
2010/09/21,952
2010/09/22,1042
2010/09/23,1074
2010/09/24,926.333
2010/09/25,856.333
2010/09/26,721
2010/09/27,979.667
2010/09/28,1376
2010/09/29,1377
2010/09/30,1002
2010/10/01,835.833
2010/10/02,778.667
2010/10/03,737.167
2010/10/04,768
2010/10/05,740
2010/10/06,718.667
2010/10/07,671.5
2010/10/08,737.5
2010/10/09,753.833
2010/10/10,697
2010/10/11,648.167
2010/10/12,637.167
2010/10/13,783.5
2010/10/14,733.333
2010/10/15,656.167
2010/10/16,765.833
2010/10/17,783.833
2010/10/18,879.667
2010/10/19,1145
2010/10/20,1219
2010/10/21,1126
2010/10/22,1015
2010/10/23,907.167
2010/10/24,865.833
2010/10/25,798.833
2010/10/26,825.5
2010/10/27,972.5
2010/10/28,1016
2010/10/29,942.833
2010/10/30,778.5
2010/10/31,647
2010/11/01,599
2010/11/02,523.333
2010/11/03,539.167
2010/11/04,571.167
2010/11/05,715.5
2010/11/06,677.5
2010/11/07,682.833
2010/11/08,1115
2010/11/09,962.667
2010/11/10,803.333
2010/11/11,625.5
2010/11/12,536.833
2010/11/13,541.667
2010/11/14,719.5
2010/11/15,2595
2010/11/16,3298
2010/11/17,2192
2010/11/18,1102
2010/11/19,643.667
2010/11/20,711
2010/11/21,747.167
2010/11/22,695.333
2010/11/23,664.333
2010/11/24,805.5
2010/11/25,887
2010/11/26,1063
2010/11/27,962
2010/11/28,826.5
2010/11/29,822.333
2010/11/30,816.167
2010/12/01,970.167
2010/12/02,908.5
2010/12/03,896
2010/12/04,793.5
2010/12/05,737.333
2010/12/06,720.167
2010/12/07,931.5
2010/12/08,954.5
2010/12/09,908.833
2010/12/10,746.833
2010/12/11,886.167
2010/12/12,1060
2010/12/13,1414
2010/12/14,1326
2010/12/15,1201
2010/12/16,1026
2010/12/17,895.167
2010/12/18,852.5
2010/12/19,962.667
2010/12/20,1236
2010/12/21,1213
2010/12/22,1212
2010/12/23,1094
2010/12/24,966.5
2010/12/25,991.333
2010/12/26,1015
2010/12/27,1092
2010/12/28,1066
2010/12/29,1028
2010/12/30,1047
2010/12/31,977.667
2011/01/01,1020
2011/01/02,1034
2011/01/03,1229
2011/01/04,1180
2011/01/05,1362
2011/01/06,1274
2011/01/07,1271
2011/01/08,1348
