Date,difficulty7var
2010/07/17,2640
2010/07/18,4070
2010/07/19,4481
2010/07/20,4198
2010/07/21,3347
2010/07/22,1739
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,408.545
2010/07/28,741.713
2010/07/29,914.575
2010/07/30,927.129
2010/07/31,779.376
2010/08/01,471.316
2010/08/02,2.949
2010/08/03,0
2010/08/04,0
2010/08/05,27.022
2010/08/06,1388
2010/08/07,2274
2010/08/08,2684
2010/08/09,2619
2010/08/10,2078
2010/08/11,1061
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,174.799
2010/08/16,3048
2010/08/17,4882
2010/08/18,5675
2010/08/19,5429
2010/08/20,4143
2010/08/21,1817
2010/08/22,0
2010/08/23,0
2010/08/24,0
2010/08/25,0
2010/08/26,2.802
2010/08/27,1506
2010/08/28,2502
2010/08/29,2988
2010/08/30,2966
2010/08/31,2436
2010/09/01,1397
2010/09/02,0
2010/09/03,0
2010/09/04,0
2010/09/05,0
2010/09/06,0
2010/09/07,0
2010/09/08,656.569
2010/09/09,1370
2010/09/10,1756
2010/09/11,1816
2010/09/12,1548
2010/09/13,953.782
2010/09/14,32.423
2010/09/15,0
2010/09/16,0
2010/09/17,0
2010/09/18,0
2010/09/19,3986
2010/09/20,7620
2010/09/21,9540
2010/09/22,9745
2010/09/23,8235
2010/09/24,5012
2010/09/25,73.59
2010/09/26,0
2010/09/27,0
2010/09/28,448.254
2010/09/29,19133
2010/09/30,31259
2010/10/01,36827
2010/10/02,35837
2010/10/03,28289
2010/10/04,14183
2010/10/05,0
2010/10/06,0
2010/10/07,0
2010/10/08,0
2010/10/09,0
2010/10/10,0
2010/10/11,0
2010/10/12,241.64
2010/10/13,565.448
2010/10/14,745.444
2010/10/15,781.629
2010/10/16,674.002
2010/10/17,422.564
2010/10/18,27.314
2010/10/19,0
2010/10/20,0
2010/10/21,41828
2010/10/22,96223
2010/10/23,126356
2010/10/24,132226
2010/10/25,113833
2010/10/26,71178
2010/10/27,4260
2010/10/28,0
2010/10/29,0
2010/10/30,171.362
2010/10/31,107554
2010/11/01,178662
2010/11/02,213497
2010/11/03,212057
2010/11/04,174344
2010/11/05,100357
2010/11/06,0
2010/11/07,0
2010/11/08,0
2010/11/09,41075
2010/11/10,262466
2010/11/11,398676
2010/11/12,449705
2010/11/13,415555
2010/11/14,296224
2010/11/15,91712
2010/11/16,0
2010/11/17,0
2010/11/18,17762
2010/11/19,646607
2010/11/20,1053760
2010/11/21,1239222
2010/11/22,1202992
2010/11/23,945071
2010/11/24,465458
2010/11/25,0
2010/11/26,0
2010/11/27,0
2010/11/28,0
2010/11/29,0
2010/11/30,11008
2010/12/01,175846
2010/12/02,280797
2010/12/03,325861
2010/12/04,311037
2010/12/05,236326
2010/12/06,101728
2010/12/07,0
2010/12/08,0
2010/12/09,2745
2010/12/10,2110377
2010/12/11,3506962
2010/12/12,4192500
2010/12/13,4166992
2010/12/14,3430437
2010/12/15,1982835
2010/12/16,0
2010/12/17,0
2010/12/18,0
2010/12/19,0
2010/12/20,0
2010/12/21,15419
2010/12/22,593197
2010/12/23,967605
2010/12/24,1138644
2010/12/25,1106313
2010/12/26,870613
2010/12/27,431544
2010/12/28,0
2010/12/29,0
2010/12/30,0
2010/12/31,0
2011/01/01,0
2011/01/02,0
2011/01/03,248956
2011/01/04,549897
2011/01/05,715154
2011/01/06,744726
2011/01/07,638614
2011/01/08,396817
2011/01/09,19336
2011/01/10,0
2011/01/11,0
2011/01/12,0
2011/01/13,0
2011/01/14,0
2011/01/15,98196
2011/01/16,575989
2011/01/17,868563
2011/01/18,975919
2011/01/19,898057
2011/01/20,634976
2011/01/21,186676
2011/01/22,0
2011/01/23,0
2011/01/24,0
2011/01/25,0
2011/01/26,0
2011/01/27,540081
2011/01/28,1798396
2011/01/29,2535130
2011/01/30,2750282
2011/01/31,2443853
2011/02/01,1615843
2011/02/02,266251
2011/02/03,0
2011/02/04,0
2011/02/05,0
2011/02/06,0
2011/02/07,0
2011/02/08,1094065
2011/02/09,2552818
2011/02/10,3363236
2011/02/11,3525320
2011/02/12,3039069
2011/02/13,1904483
2011/02/14,121563
2011/02/15,0
2011/02/16,0
2011/02/17,0
2011/02/18,8020495
2011/02/19,17966990
2011/02/20,23445991
2011/02/21,24457499
2011/02/22,21001514
2011/02/23,13078035
2011/02/24,687062
2011/02/25,0
2011/02/26,0
2011/02/27,8617003
2011/02/28,46876328
2011/03/01,70199213
2011/03/02,78585657
2011/03/03,72035660
2011/03/04,50549223
2011/03/05,14126346
2011/03/06,0
2011/03/07,0
2011/03/08,0
2011/03/09,6141943
2011/03/10,52164215
2011/03/11,80860455
2011/03/12,92230664
2011/03/13,86274840
2011/03/14,62992985
2011/03/15,22385098
2011/03/16,0
2011/03/17,0
2011/03/18,0
2011/03/19,0
2011/03/20,0
2011/03/21,0
2011/03/22,0
2011/03/23,0
2011/03/24,0
2011/03/25,5316550
2011/03/26,9750061
2011/03/27,12058926
2011/03/28,12243143
2011/03/29,10302715
2011/03/30,6237640
2011/03/31,47918
2011/04/01,0
2011/04/02,0
2011/04/03,0
2011/04/04,0
2011/04/05,113955
2011/04/06,21469185
2011/04/07,35530552
2011/04/08,42298054
2011/04/09,41771693
2011/04/10,33951468
2011/04/11,18837379
2011/04/12,0
2011/04/13,0
2011/04/14,0
2011/04/15,0
2011/04/16,0
2011/04/17,0
2011/04/18,6165658
2011/04/19,15518444
2011/04/20,20788007
2011/04/21,21974349
2011/04/22,19077468
2011/04/23,12097366
2011/04/24,1034041
2011/04/25,0
2011/04/26,0
2011/04/27,0
2011/04/28,0
2011/04/29,0
2011/04/30,28687174
2011/05/01,54608390
2011/05/02,68281831
2011/05/03,69707498
2011/05/04,58885390
2011/05/05,35815508
2011/05/06,497852
2011/05/07,0
2011/05/08,0
2011/05/09,4109928
2011/05/10,271967129
2011/05/11,446775098
2011/05/12,528533837
2011/05/13,517243345
2011/05/14,412903621
2011/05/15,215514667
2011/05/16,0
2011/05/17,0
2011/05/18,3206764
2011/05/19,905450384
2011/05/20,1500909869
2011/05/21,1789585219
2011/05/22,1771476433
2011/05/23,1446583512
2011/05/24,814906456
2011/05/25,0
2011/05/26,137522518
2011/05/27,4332637437
2011/05/28,7042400662
2011/05/29,8266812193
2011/05/30,8005872030
2011/05/31,6259580174
2011/06/01,3027936625
2011/06/02,0
2011/06/03,0
2011/06/04,0
2011/06/05,0
2011/06/06,299232319
2011/06/07,2178359101
2011/06/08,3342066699
2011/06/09,3790355115
2011/06/10,3523224347
2011/06/11,2540674396
2011/06/12,842705261
2011/06/13,0
2011/06/14,0
2011/06/15,1792420892
2011/06/16,12006549677
2011/06/17,18306197788
2011/06/18,20691365224
2011/06/19,19162051986
2011/06/20,13718258073
2011/06/21,4359983485
2011/06/22,0
2011/06/23,0
2011/06/24,4451374726
2011/06/25,31429724344
2011/06/26,48112449374
2011/06/27,54499549813
2011/06/28,50591025664
2011/06/29,36386876925
2011/06/30,11887103596
2011/07/01,0.001
2011/07/02,0.001
2011/07/03,0.002
2011/07/04,0.002
2011/07/05,0.002
2011/07/06,88811925
2011/07/07,4024965372
2011/07/08,6581707902
2011/07/09,7759039514
2011/07/10,7556960207
2011/07/11,5975469983
2011/07/12,3014568840
2011/07/13,-0.001
2011/07/14,-0.001
2011/07/15,-0.001
2011/07/16,-0.001
2011/07/17,-0.001
2011/07/18,-0.001
2011/07/19,52523854
2011/07/20,1946493658
2011/07/21,3173109338
2011/07/22,3732370893
2011/07/23,3624278323
2011/07/24,2848831629
2011/07/25,1406030811
2011/07/26,0
2011/07/27,-0.001
2011/07/28,-0.001
2011/07/29,-0.001
2011/07/30,-0.001
2011/07/31,-0.001
2011/08/01,1657228555
2011/08/02,5512764008
2011/08/03,7769899084
2011/08/04,8428633785
2011/08/05,7488968109
2011/08/06,4950902057
2011/08/07,814435630
2011/08/08,-0.001
2011/08/09,0
2011/08/10,0
2011/08/11,0
2011/08/12,0
2011/08/13,0
2011/08/14,0
2011/08/15,203184
2011/08/16,841132068
2011/08/17,1400295170
2011/08/18,1677692490
2011/08/19,1673324028
2011/08/20,1387189785
2011/08/21,819289759
2011/08/22,0
2011/08/23,0.001
2011/08/24,0.001
2011/08/25,0.001
2011/08/26,0
2011/08/27,0
2011/08/28,0
2011/08/29,0
2011/08/30,62379510
2011/08/31,132148032
2011/09/01,170084665
2011/09/02,176189411
2011/09/03,150462269
2011/09/04,92903238
2011/09/05,3512319
2011/09/06,0.002
2011/09/07,0.002
2011/09/08,0.002
2011/09/09,0.001
2011/09/10,0.001
2011/09/11,0.001
2011/09/12,0
2011/09/13,19412476
2011/09/14,69088193
2011/09/15,98376766
2011/09/16,107278195
2011/09/17,95792480
2011/09/18,63919621
2011/09/19,11659618
2011/09/20,0.001
2011/09/21,0.001
2011/09/22,0.001
2011/09/23,0
2011/09/24,0
2011/09/25,0
2011/09/26,0
2011/09/27,483788
2011/09/28,529980063
2011/09/29,881190250
2011/09/30,1054114350
2011/10/01,1048752363
2011/10/02,865104288
2011/10/03,503170125
2011/10/04,-0.001
2011/10/05,-0.001
2011/10/06,-0.001
2011/10/07,-0.001
2011/10/08,-0.001
2011/10/09,-0.001
2011/10/10,-0.001
2011/10/11,-0.001
2011/10/12,-0.001
2011/10/13,-0.001
2011/10/14,5400127652
2011/10/15,9492683073
2011/10/16,11589220236
2011/10/17,11689739141
2011/10/18,9794239788
2011/10/19,5902722178
2011/10/20,15186309
2011/10/21,-0.001
2011/10/22,-0.001
2011/10/23,-0.001
2011/10/24,0
2011/10/25,0
2011/10/26,0
2011/10/27,0
2011/10/28,0
2011/10/29,0
2011/10/30,0
2011/10/31,6613419405
2011/11/01,12683930001
2011/11/02,15893876252
2011/11/03,16243258156
2011/11/04,13732075716
2011/11/05,8360328929
2011/11/06,128017797
2011/11/07,0.001
2011/11/08,0.001
2011/11/09,0.001
2011/11/10,0
2011/11/11,0
2011/11/12,0
2011/11/13,0
2011/11/14,6772961
2011/11/15,18164647
2011/11/16,24649672
2011/11/17,26228038
2011/11/18,22899745
2011/11/19,14664791
2011/11/20,1523178
2011/11/21,0
2011/11/22,0
2011/11/23,0
2011/11/24,0
2011/11/25,0
2011/11/26,0
2011/11/27,0
2011/11/28,0
2011/11/29,224076103
2011/11/30,1314881771
2011/12/01,1982847039
2011/12/02,2227971908
2011/12/03,2050256378
2011/12/04,1449700449
2011/12/05,426304120
2011/12/06,0
2011/12/07,0
2011/12/08,0
2011/12/09,0
2011/12/10,0
2011/12/11,0
2011/12/12,13852056
2011/12/13,492548945
2011/12/14,802372209
2011/12/15,943321849
2011/12/16,915397863
2011/12/17,718600253
2011/12/18,352929019
2011/12/19,0
2011/12/20,0
2011/12/21,0
2011/12/22,0.001
2011/12/23,0.001
2011/12/24,0.001
2011/12/25,0.001
2011/12/26,164942
2011/12/27,2862643
2011/12/28,4583876
2011/12/29,5328640
2011/12/30,5096936
2011/12/31,3888763
2012/01/01,1704121
2012/01/02,0
2012/01/03,0
2012/01/04,0
2012/01/05,0
2012/01/06,0
2012/01/07,0
2012/01/08,43952098
2012/01/09,983890785
2012/01/10,1587104185
2012/01/11,1853592296
2012/01/12,1783355119
2012/01/13,1376392655
2012/01/14,632704902
2012/01/15,0
2012/01/16,0
2012/01/17,-0.001
2012/01/18,-0.001
2012/01/19,-0.001
2012/01/20,-0.001
2012/01/21,0
2012/01/22,284167853
2012/01/23,569574800
2012/01/24,722506167
2012/01/25,742961955
2012/01/26,630942164
2012/01/27,386446793
2012/01/28,9475843
2012/01/29,0
2012/01/30,0
2012/01/31,0
2012/02/01,0
2012/02/02,0
2012/02/03,0
2012/02/04,181302030
2012/02/05,701697441
2012/02/06,1010976367
2012/02/07,1109138809
2012/02/08,996184766
2012/02/09,672114239
2012/02/10,136927228
2012/02/11,0
2012/02/12,0
2012/02/13,0
2012/02/14,0
2012/02/15,0
2012/02/16,0
2012/02/17,0
2012/02/18,459272
2012/02/19,1565068
2012/02/20,2214122
2012/02/21,2406434
2012/02/22,2142005
2012/02/23,1420834
2012/02/24,242921
2012/02/25,-0.001
2012/02/26,-0.001
2012/02/27,0
2012/02/28,0
2012/02/29,0
2012/03/01,0
2012/03/02,588804596
2012/03/03,2030444004
2012/03/04,2877684395
2012/03/05,3130525768
2012/03/06,2788968124
2012/03/07,1853011462
2012/03/08,322655782
2012/03/09,0.001
2012/03/10,0.001
2012/03/11,0.001
2012/03/12,0.001
2012/03/13,0.001
2012/03/14,0.001
2012/03/15,0.001
2012/03/16,103681
2012/03/17,266252
2012/03/18,358160
2012/03/19,379405
2012/03/20,329987
2012/03/21,209906
2012/03/22,19162
2012/03/23,-0.002
2012/03/24,-0.002
2012/03/25,-0.002
2012/03/26,-0.002
2012/03/27,-0.002
2012/03/28,-0.002
2012/03/29,1117048539
2012/03/30,2631371211
2012/03/31,3474248925
2012/04/01,3645681680
2012/04/02,3145669477
2012/04/03,1974212316
2012/04/04,131310196
2012/04/05,0.001
2012/04/06,0.001
2012/04/07,0.001
2012/04/08,0.001
2012/04/09,0.001
2012/04/10,0.001
2012/04/11,0.001
2012/04/12,20763120
2012/04/13,284606818
2012/04/14,451885242
2012/04/15,522598395
2012/04/16,496746275
2012/04/17,374328882
2012/04/18,155346217
2012/04/19,-0.002
2012/04/20,-0.002
2012/04/21,-0.001
2012/04/22,-0.001
2012/04/23,-0.001
2012/04/24,-0.001
2012/04/25,-0.001
2012/04/26,-0.001
2012/04/27,303805753
2012/04/28,751329160
2012/04/29,1002697827
2012/04/30,1057911754
2012/05/01,916970941
2012/05/02,579875387
2012/05/03,46625094
2012/05/04,-0.001
2012/05/05,0
2012/05/06,0
2012/05/07,0
2012/05/08,0
2012/05/09,1162231086
2012/05/10,6446974751
2012/05/11,9672405157
2012/05/12,10838522304
2012/05/13,9945326191
2012/05/14,6992816820
2012/05/15,1980994189
2012/05/16,0
2012/05/17,0
2012/05/18,0
2012/05/19,0.001
2012/05/20,0.001
2012/05/21,0
2012/05/22,0
2012/05/23,0
2012/05/24,142483561
2012/05/25,2418262666
2012/05/26,3869484123
2012/05/27,4496147935
2012/05/28,4298254099
2012/05/29,3275802618
2012/05/30,1428793490
2012/05/31,-0.001
2012/06/01,-0.001
2012/06/02,-0.001
2012/06/03,-0.001
2012/06/04,-0.001
2012/06/05,-0.001
2012/06/06,-0.001
2012/06/07,404727
2012/06/08,7455175
2012/06/09,11960137
2012/06/10,13919612
2012/06/11,13333600
2012/06/12,10202103
2012/06/13,4525119
2012/06/14,-0.001
2012/06/15,-0.002
2012/06/16,-0.001
2012/06/17,-0.001
2012/06/18,0
