Date,hashrate7sma
2010/07/17,1344954424
2010/07/18,1535614211
2010/07/19,1688905054
2010/07/20,1730017467
2010/07/21,1784451935
2010/07/22,1831741354
2010/07/23,1809549057
2010/07/24,1650906920
2010/07/25,1701347873
2010/07/26,1797400559
2010/07/27,1909731126
2010/07/28,1942129153
2010/07/29,1997798753
2010/07/30,2065390773
2010/07/31,2151137342
2010/08/01,2260289426
2010/08/02,2368742354
2010/08/03,2437050876
2010/08/04,2550132650
2010/08/05,2699668881
2010/08/06,2843923244
2010/08/07,2892892464
2010/08/08,2958108527
2010/08/09,3025076561
2010/08/10,3084872979
2010/08/11,3230101952
2010/08/12,3335838358
2010/08/13,3438611161
2010/08/14,3665769782
2010/08/15,4046452555
2010/08/16,4085257921
2010/08/17,4117148923
2010/08/18,4055391705
2010/08/19,3994451380
2010/08/20,4023777653
2010/08/21,4088730166
2010/08/22,3971338722
2010/08/23,4212374495
2010/08/24,4481045717
2010/08/25,4811784437
2010/08/26,5097082700
2010/08/27,5342209701
2010/08/28,5468533016
2010/08/29,5478348762
2010/08/30,5377806595
2010/08/31,5360293253
2010/09/01,5318666111
2010/09/02,5234040743
2010/09/03,5107196572
2010/09/04,5082877036
2010/09/05,5127333355
2010/09/06,5182861954
2010/09/07,5108104517
2010/09/08,5129155689
2010/09/09,5210362935
2010/09/10,5310528783
2010/09/11,5395925170
2010/09/12,5508851770
2010/09/13,5671414519
2010/09/14,5926348825
2010/09/15,6062392143
2010/09/16,6269840014
2010/09/17,6571936576
2010/09/18,6851843165
2010/09/19,7394199592
2010/09/20,7858624991
2010/09/21,8154501931
2010/09/22,8350939820
2010/09/23,8671538185
2010/09/24,9093555444
2010/09/25,9404116931
2010/09/26,9301008302
2010/09/27,9390258989
2010/09/28,9698123840
2010/09/29,10377675314
2010/09/30,10450097103
2010/10/01,10397819753
2010/10/02,10133496004
2010/10/03,9853471125
2010/10/04,9713748453
2010/10/05,9450363671
2010/10/06,9032894432
2010/10/07,9234724610
2010/10/08,9261562226
2010/10/09,9544981491
2010/10/10,10074012181
2010/10/11,10354649124
2010/10/12,10631467884
2010/10/13,10878710266
2010/10/14,11133546998
2010/10/15,11517480574
2010/10/16,12166210039
2010/10/17,13340841289
2010/10/18,14308734401
2010/10/19,15085287426
2010/10/20,15948333991
2010/10/21,17480954331
2010/10/22,18072581137
2010/10/23,18561140228
2010/10/24,18567318395
2010/10/25,19220977728
2010/10/26,20352857646
2010/10/27,21387507439
2010/10/28,21255853382
2010/10/29,22275290348
2010/10/30,23344817084
2010/10/31,25337924809
2010/11/01,25999887508
2010/11/02,26418003590
2010/11/03,27036620215
2010/11/04,28073198367
2010/11/05,29194205077
2010/11/06,30137083002
2010/11/07,30662198958
2010/11/08,32367217414
2010/11/09,35209839851
2010/11/10,37291207272
2010/11/11,40285531041
2010/11/12,41783864367
2010/11/13,43441214935
2010/11/14,45988631812
2010/11/15,47574205308
2010/11/16,47042359902
2010/11/17,48258860497
2010/11/18,50086507437
2010/11/19,53796136384
2010/11/20,53570935094
2010/11/21,52316412849
2010/11/22,52632756049
2010/11/23,53780902781
2010/11/24,54391391099
2010/11/25,53077294491
2010/11/26,52879351070
2010/11/27,56242919839
2010/11/28,57909582654
2010/11/29,59865053654
2010/11/30,63514329012
2010/12/01,65876786027
2010/12/02,69299703497
2010/12/03,70599600133
2010/12/04,73441421598
2010/12/05,78530546728
2010/12/06,82939096675
2010/12/07,85168815533
2010/12/08,88537786369
2010/12/09,91880680780
2010/12/10,95828173447
2010/12/11,97730475680
2010/12/12,99778660853
2010/12/13,99939624085
2010/12/14,100231228516
2010/12/15,102128873099
2010/12/16,103799477746
2010/12/17,104190805898
2010/12/18,104068919145
2010/12/19,103460744073
2010/12/20,104962834752
2010/12/21,107461596988
2010/12/22,110155872526
2010/12/23,108839995458
2010/12/24,108858043635
2010/12/25,110995989052
2010/12/26,111750455972
2010/12/27,112257464556
2010/12/28,114173531265
2010/12/29,113173001479
2010/12/30,115025424351
2010/12/31,116870350683
2011/01/01,118557810391
2011/01/02,121487157494
2011/01/03,124930724322
2011/01/04,123864858562
2011/01/05,123557325025
2011/01/06,124903768384
2011/01/07,124705670670
2011/01/08,127296288092
2011/01/09,126980142654
2011/01/10,127360395711
2011/01/11,129347967712
2011/01/12,131773248031
2011/01/13,134227905016
2011/01/14,138026034835
2011/01/15,139156850134
2011/01/16,143324504221
2011/01/17,146263551691
2011/01/18,148506079995
2011/01/19,149972642249
2011/01/20,151997055919
2011/01/21,156074260054
2011/01/22,155410165509
2011/01/23,155928573854
2011/01/24,156022598861
2011/01/25,156509230949
2011/01/26,159464189702
2011/01/27,161991894306
2011/01/28,162003996387
2011/01/29,164989050169
2011/01/30,167695135736
2011/01/31,168684055879
2011/02/01,174933751254
2011/02/02,176212743599
2011/02/03,175532362239
2011/02/04,178499014438
2011/02/05,184512251454
2011/02/06,186859357348
2011/02/07,192505254075
2011/02/08,198405524926
2011/02/09,206207564712
2011/02/10,216378622670
2011/02/11,223165962550
2011/02/12,229173638197
2011/02/13,237611338390
2011/02/14,244620000460
2011/02/15,249283170448
2011/02/16,257410473269
2011/02/17,268269774218
2011/02/18,286500087739
2011/02/19,298013753124
2011/02/20,309467054391
2011/02/21,322952683343
2011/02/22,338205886021
2011/02/23,355038085435
2011/02/24,367823554339
2011/02/25,372400956016
2011/02/26,389314946065
2011/02/27,431356037236
2011/02/28,451841147940
2011/03/01,454296202172
2011/03/02,457729126761
2011/03/03,466739772105
2011/03/04,488937764564
2011/03/05,521583493448
2011/03/06,542424606977
2011/03/07,572076617832
2011/03/08,593848339552
2011/03/09,607678019518
2011/03/10,612747641786
2011/03/11,600317992215
2011/03/12,574015155074
2011/03/13,534296016736
