Date,mediantransactionvalue3rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,1962
2010/07/21,956.523
2010/07/22,145.52
2010/07/23,-84.046
2010/07/24,-88.39
2010/07/25,-56.545
2010/07/26,225.367
2010/07/27,-56.184
2010/07/28,-99.351
2010/07/29,-99.878
2010/07/30,353.163
2010/07/31,45006
2010/08/01,94113
2010/08/02,246.265
2010/08/03,-34.442
2010/08/04,-2.244
2010/08/05,-2.776
2010/08/06,-70.834
2010/08/07,-51.823
2010/08/08,-94.916
2010/08/09,1293
2010/08/10,139.983
2010/08/11,1997
2010/08/12,-3.365
2010/08/13,-5.072
2010/08/14,4.331
2010/08/15,-4.138
2010/08/16,40.528
2010/08/17,2.264
2010/08/18,4.309
2010/08/19,-26.884
2010/08/20,-2.435
2010/08/21,-4.413
2010/08/22,-2.675
2010/08/23,-0.976
2010/08/24,-1.509
2010/08/25,0.153
2010/08/26,-90.309
2010/08/27,-0.7
2010/08/28,-80.32
2010/08/29,10.067
2010/08/30,-92.306
2010/08/31,380.674
2010/09/01,96.599
2010/09/02,1157
2010/09/03,98.616
2010/09/04,798.414
2010/09/05,-0.53
2010/09/06,-49.575
2010/09/07,-50.292
2010/09/08,-96.482
2010/09/09,-1.681
2010/09/10,-89.984
2010/09/11,124.291
2010/09/12,-97.421
2010/09/13,142.678
2010/09/14,1166
2010/09/15,2621
2010/09/16,315.425
2010/09/17,-3.307
2010/09/18,39.926
2010/09/19,62.001
2010/09/20,-75.137
2010/09/21,-94.813
2010/09/22,-99.28
2010/09/23,41.906
2010/09/24,670.744
2010/09/25,46.234
2010/09/26,-77.479
2010/09/27,-88.371
2010/09/28,4523
2010/09/29,2606
2010/09/30,762.49
2010/10/01,-68.491
2010/10/02,-98.087
2010/10/03,332.801
2010/10/04,2164
2010/10/05,11931
2010/10/06,-40.318
2010/10/07,-26.979
2010/10/08,-15.173
2010/10/09,291.357
2010/10/10,-24.314
2010/10/11,-50.055
2010/10/12,-66.161
2010/10/13,-48.825
2010/10/14,1379
2010/10/15,1413
2010/10/16,2307
2010/10/17,-72.559
2010/10/18,-75.266
