Date,activeaddresses7wma
2010/07/17,2383
2010/07/18,1989
2010/07/19,1598
2010/07/20,1282
2010/07/21,981.357
2010/07/22,840.5
2010/07/23,763.607
2010/07/24,802.5
2010/07/25,1128
2010/07/26,1186
2010/07/27,1118
2010/07/28,1031
2010/07/29,911.536
2010/07/30,808.75
2010/07/31,681.429
2010/08/01,607.821
2010/08/02,589.964
2010/08/03,680.679
2010/08/04,703.393
2010/08/05,746.071
2010/08/06,733.107
2010/08/07,687.179
2010/08/08,657.357
2010/08/09,677.321
2010/08/10,644.893
2010/08/11,653.929
2010/08/12,633.536
2010/08/13,688.714
2010/08/14,665.429
2010/08/15,605.893
2010/08/16,638.786
2010/08/17,602.393
2010/08/18,627.429
2010/08/19,587.571
2010/08/20,598.107
2010/08/21,583.464
2010/08/22,584.571
2010/08/23,596.679
2010/08/24,607.786
2010/08/25,580.714
2010/08/26,600
2010/08/27,574.036
2010/08/28,561.25
2010/08/29,514.25
2010/08/30,507.25
2010/08/31,557.929
2010/09/01,572.214
2010/09/02,567.786
2010/09/03,556.5
2010/09/04,532.857
2010/09/05,536.179
2010/09/06,524.607
2010/09/07,486.429
2010/09/08,495.571
2010/09/09,499.036
2010/09/10,510.286
2010/09/11,493.071
2010/09/12,546
2010/09/13,594.857
2010/09/14,622.821
2010/09/15,640.964
2010/09/16,660.679
2010/09/17,753.786
2010/09/18,720.143
2010/09/19,704.893
2010/09/20,704.429
2010/09/21,832.179
2010/09/22,895.964
2010/09/23,948.786
2010/09/24,928.107
2010/09/25,918.929
2010/09/26,849.857
2010/09/27,943.393
2010/09/28,1124
2010/09/29,1163
2010/09/30,1055
2010/10/01,1015
2010/10/02,956.5
2010/10/03,872.571
2010/10/04,825.893
2010/10/05,763.964
2010/10/06,734.571
2010/10/07,712
2010/10/08,730.607
2010/10/09,734.679
2010/10/10,708.071
2010/10/11,685.214
2010/10/12,673.143
2010/10/13,733.143
2010/10/14,711.786
2010/10/15,677.643
2010/10/16,739.786
2010/10/17,750.143
2010/10/18,804.643
2010/10/19,963.107
2010/10/20,1038
2010/10/21,1057
2010/10/22,1057
2010/10/23,1009
2010/10/24,968.393
2010/10/25,899.607
2010/10/26,866.286
2010/10/27,915.071
2010/10/28,936.464
2010/10/29,920.214
2010/10/30,861.143
2010/10/31,786.607
2010/11/01,728.286
2010/11/02,640.75
