Date,mining_profitability7var
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,10829764146
2010/07/24,3827969803
2010/07/25,4456110026
2010/07/26,3548471243
2010/07/27,5116087166
2010/07/28,2293038928
2010/07/29,1974885538
2010/07/30,1746980870
2010/07/31,1385939738
2010/08/01,996143735
2010/08/02,913759455
2010/08/03,447615295
2010/08/04,369384239
2010/08/05,774952251
2010/08/06,2236179987
2010/08/07,1956190571
2010/08/08,1563899458
2010/08/09,1363708234
2010/08/10,1165872050
2010/08/11,379409216
2010/08/12,317660993
2010/08/13,60348803
2010/08/14,166138750
2010/08/15,889371436
2010/08/16,1293918891
2010/08/17,1514086864
2010/08/18,1413840717
2010/08/19,1250665967
2010/08/20,1104112790
2010/08/21,131487944
2010/08/22,110935547
2010/08/23,107839282
2010/08/24,94564499
2010/08/25,102268316
2010/08/26,112488007
2010/08/27,166653075
2010/08/28,239716212
2010/08/29,197357432
2010/08/30,177016123
2010/08/31,125691092
2010/09/01,97244888
2010/09/02,25406596
2010/09/03,20621677
2010/09/04,21469251
2010/09/05,24525132
2010/09/06,25310799
2010/09/07,16638551
2010/09/08,15351133
2010/09/09,78185013
2010/09/10,73518662
2010/09/11,68309791
2010/09/12,66559876
2010/09/13,64579146
2010/09/14,44706644
2010/09/15,48527483
2010/09/16,41697332
2010/09/17,44357490
2010/09/18,42658876
2010/09/19,109323939
2010/09/20,151284992
2010/09/21,158255113
2010/09/22,164423015
2010/09/23,86720487
2010/09/24,83097567
2010/09/25,28756620
2010/09/26,27799210
2010/09/27,27830351
2010/09/28,31278047
2010/09/29,126497183
2010/09/30,113694747
2010/10/01,125707171
2010/10/02,158299863
2010/10/03,115805958
2010/10/04,51961425
2010/10/05,24127925
2010/10/06,30032771
2010/10/07,30002714
2010/10/08,38723362
2010/10/09,54470468
2010/10/10,121144869
2010/10/11,125564521
2010/10/12,87553870
2010/10/13,96990751
2010/10/14,64669058
2010/10/15,32582065
2010/10/16,56515405
2010/10/17,57062348
2010/10/18,49162245
2010/10/19,39032717
2010/10/20,39188560
