Date,top100cap
2011/05/03,29.337
2011/05/04,29.509
2011/05/05,29.462
2011/05/06,29.191
2011/05/07,29.205
2011/05/08,29.059
2011/05/09,29.024
2011/05/10,29.007
2011/05/11,29.336
2011/05/12,29.486
2011/05/13,29.819
2011/05/14,29.831
2011/05/15,30.218
2011/05/16,30.298
2011/05/17,30.243
2011/05/18,30.38
2011/05/19,30.26
2011/05/20,30.126
2011/05/21,30.95
2011/05/22,30.889
2011/05/23,30.558
2011/05/24,30.47
2011/05/25,30.4
2011/05/26,30.337
2011/05/27,30.468
2011/05/28,30.441
2011/05/29,30.486
2011/05/30,30.505
2011/05/31,30.47
2011/06/01,30.483
2011/06/02,30.574
2011/06/03,30.668
2011/06/04,30.587
2011/06/05,30.649
2011/06/06,30.365
2011/06/07,30.205
2011/06/08,29.482
2011/06/09,29.39
2011/06/10,29.15
2011/06/11,29.29
2011/06/12,31.283
2011/06/13,31.437
2011/06/14,30.7
2011/06/15,30.558
2011/06/16,30.314
2011/06/17,30.092
2011/06/18,29.991
2011/06/19,30.724
2011/06/20,30.657
2011/06/21,30.581
2011/06/22,30.517
2011/06/23,31.152
2011/06/24,31.026
2011/06/25,30.738
2011/06/26,30.586
2011/06/27,30.868
2011/06/28,30.581
2011/06/29,30.299
2011/06/30,30.06
2011/07/01,30.128
2011/07/02,30.064
2011/07/03,29.995
2011/07/04,29.939
2011/07/05,29.991
2011/07/06,29.974
2011/07/07,29.943
2011/07/08,29.892
2011/07/09,29.835
2011/07/10,29.747
2011/07/11,29.721
2011/07/12,29.665
2011/07/13,29.603
2011/07/14,29.566
2011/07/15,29.527
2011/07/16,29.489
2011/07/17,29.454
2011/07/18,29.695
2011/07/19,29.611
2011/07/20,29.556
2011/07/21,29.499
2011/07/22,29.416
2011/07/23,29.388
2011/07/24,29.361
2011/07/25,29.297
2011/07/26,29.243
2011/07/27,29.144
2011/07/28,28.997
2011/07/29,28.98
2011/07/30,28.93
2011/07/31,28.797
2011/08/01,28.641
2011/08/02,28.627
2011/08/03,28.585
2011/08/04,28.755
2011/08/05,28.667
2011/08/06,29.039
2011/08/07,29.142
2011/08/08,29.439
2011/08/09,29.351
2011/08/10,29.304
2011/08/11,29.275
2011/08/12,29.249
2011/08/13,29.176
2011/08/14,29.076
2011/08/15,29.079
2011/08/16,29.022
2011/08/17,29.396
2011/08/18,29.367
2011/08/19,29.342
2011/08/20,29.312
2011/08/21,29.28
2011/08/22,29.275
2011/08/23,29.244
2011/08/24,29.314
2011/08/25,28.652
2011/08/26,28.651
2011/08/27,29.074
2011/08/28,29.05
2011/08/29,28.986
2011/08/30,28.957
2011/08/31,28.939
2011/09/01,28.973
2011/09/02,28.941
2011/09/03,28.88
2011/09/04,28.889
2011/09/05,28.858
2011/09/06,28.828
2011/09/07,29.257
2011/09/08,29.234
2011/09/09,29.318
2011/09/10,29.317
2011/09/11,30.301
2011/09/12,30.481
2011/09/13,30.449
2011/09/14,30.398
2011/09/15,30.341
2011/09/16,30.345
2011/09/17,30.316
2011/09/18,30.318
2011/09/19,30.251
2011/09/20,30.185
2011/09/21,30.669
2011/09/22,30.593
2011/09/23,30.511
2011/09/24,30.525
2011/09/25,30.428
2011/09/26,30.378
2011/09/27,30.353
2011/09/28,30.334
2011/09/29,30.309
2011/09/30,30.284
2011/10/01,30.261
2011/10/02,30.237
2011/10/03,30.208
2011/10/04,30.186
2011/10/05,30.156
2011/10/06,30.113
2011/10/07,30.208
2011/10/08,30.188
2011/10/09,30.163
2011/10/10,30.132
2011/10/11,30.113
2011/10/12,30.064
2011/10/13,30.085
2011/10/14,30.037
2011/10/15,30.014
2011/10/16,29.992
2011/10/17,29.882
2011/10/18,29.801
2011/10/19,29.809
2011/10/20,29.731
2011/10/21,29.8
2011/10/22,29.685
2011/10/23,29.686
2011/10/24,29.66
2011/10/25,29.629
2011/10/26,29.617
2011/10/27,29.584
2011/10/28,29.566
2011/10/29,29.859
2011/10/30,29.837
2011/10/31,29.789
2011/11/01,29.751
2011/11/02,29.718
2011/11/03,29.845
2011/11/04,29.809
2011/11/05,29.767
2011/11/06,29.731
2011/11/07,29.727
2011/11/08,29.575
2011/11/09,29.496
2011/11/10,29.489
2011/11/11,29.466
2011/11/12,29.459
2011/11/13,29.432
2011/11/14,29.397
2011/11/15,29.366
2011/11/16,29.415
2011/11/17,29.333
2011/11/18,29.171
2011/11/19,29.264
2011/11/20,29.138
2011/11/21,29.101
2011/11/22,29.06
2011/11/23,29.02
2011/11/24,29.03
2011/11/25,28.986
2011/11/26,28.953
2011/11/27,28.925
2011/11/28,29.4
2011/11/29,29.392
2011/11/30,29.208
2011/12/01,29.195
2011/12/02,29.122
2011/12/03,29.044
2011/12/04,29
2011/12/05,28.945
2011/12/06,28.802
2011/12/07,28.717
2011/12/08,26.739
2011/12/09,23.576
2011/12/10,23.479
2011/12/11,23.241
2011/12/12,23.07
2011/12/13,23.051
2011/12/14,23.028
2011/12/15,23.01
2011/12/16,22.987
2011/12/17,22.963
2011/12/18,22.942
2011/12/19,22.917
2011/12/20,23.304
2011/12/21,23.269
2011/12/22,23.226
2011/12/23,23.205
2011/12/24,23.187
2011/12/25,23.158
2011/12/26,23.147
2011/12/27,23.097
2011/12/28,23.074
2011/12/29,23.051
2011/12/30,23.032
2011/12/31,23.009
2012/01/01,22.998
2012/01/02,22.968
2012/01/03,22.957
2012/01/04,22.931
2012/01/05,22.976
2012/01/06,22.891
2012/01/07,22.858
2012/01/08,22.839
2012/01/09,23.22
2012/01/10,23.196
2012/01/11,23.173
2012/01/12,23.144
2012/01/13,23.195
2012/01/14,23.253
2012/01/15,23.227
2012/01/16,23.19
2012/01/17,23.192
2012/01/18,23.233
2012/01/19,23.51
2012/01/20,23.487
2012/01/21,23.506
2012/01/22,23.534
2012/01/23,23.49
2012/01/24,23.476
2012/01/25,23.549
2012/01/26,23.505
2012/01/27,23.501
2012/01/28,23.503
2012/01/29,23.564
2012/01/30,23.565
2012/01/31,23.584
2012/02/01,23.552
2012/02/02,23.594
2012/02/03,23.561
2012/02/04,23.641
2012/02/05,23.625
2012/02/06,23.598
2012/02/07,23.568
2012/02/08,23.552
2012/02/09,23.543
2012/02/10,23.536
2012/02/11,23.416
2012/02/12,23.401
2012/02/13,23.638
2012/02/14,24.182
2012/02/15,23.025
2012/02/16,22.782
2012/02/17,22.704
2012/02/18,22.614
2012/02/19,22.6
2012/02/20,22.563
2012/02/21,22.636
2012/02/22,22.602
2012/02/23,22.566
2012/02/24,22.529
2012/02/25,23.05
2012/02/26,23.041
2012/02/27,23.019
2012/02/28,23.127
2012/02/29,22.992
2012/03/01,23.023
2012/03/02,23.049
2012/03/03,22.901
2012/03/04,22.859
2012/03/05,22.84
2012/03/06,22.826
2012/03/07,22.852
2012/03/08,22.827
2012/03/09,22.804
2012/03/10,22.799
2012/03/11,22.801
2012/03/12,22.725
2012/03/13,22.681
2012/03/14,22.753
2012/03/15,22.854
2012/03/16,22.849
2012/03/17,22.816
2012/03/18,22.823
2012/03/19,22.809
2012/03/20,22.81
2012/03/21,22.777
2012/03/22,22.674
2012/03/23,22.744
2012/03/24,22.702
2012/03/25,23.115
2012/03/26,23.109
2012/03/27,23.048
2012/03/28,23.166
2012/03/29,23.147
2012/03/30,23.098
