Date,price14emaUSD
2011/03/29,0.83
2011/03/30,0.825
2011/03/31,0.82
2011/04/01,0.814
2011/04/02,0.809
2011/04/03,0.805
2011/04/04,0.795
2011/04/05,0.782
2011/04/06,0.777
2011/04/07,0.774
2011/04/08,0.771
2011/04/09,0.767
2011/04/10,0.764
2011/04/11,0.762
2011/04/12,0.77
2011/04/13,0.786
2011/04/14,0.811
2011/04/15,0.835
2011/04/16,0.859
2011/04/17,0.889
2011/04/18,0.924
2011/04/19,0.958
2011/04/20,0.985
2011/04/21,1.01
2011/04/22,1.05
2011/04/23,1.116
2011/04/24,1.196
2011/04/25,1.249
2011/04/26,1.308
2011/04/27,1.379
2011/04/28,1.468
2011/04/29,1.611
2011/04/30,1.825
2011/05/01,2.017
2011/05/02,2.168
2011/05/03,2.32
2011/05/04,2.469
2011/05/05,2.589
2011/05/06,2.696
2011/05/07,2.809
2011/05/08,2.935
2011/05/09,3.055
2011/05/10,3.289
2011/05/11,3.604
2011/05/12,3.909
2011/05/13,4.356
2011/05/14,4.796
2011/05/15,5.09
2011/05/16,5.412
2011/05/17,5.707
2011/05/18,5.884
2011/05/19,6
2011/05/20,6.027
2011/05/21,6.018
2011/05/22,6.071
2011/05/23,6.184
2011/05/24,6.331
2011/05/25,6.546
2011/05/26,6.81
2011/05/27,7.048
2011/05/28,7.232
2011/05/29,7.381
2011/05/30,7.547
2011/05/31,7.71
2011/06/01,7.903
2011/06/02,8.196
2011/06/03,8.762
2011/06/04,9.794
2011/06/05,10.866
2011/06/06,11.767
2011/06/07,13.01
2011/06/08,14.849
2011/06/09,16.791
2011/06/10,18.077
2011/06/11,18.24
2011/06/12,18.028
2011/06/13,18.183
2011/06/14,18.364
2011/06/15,18.5
2011/06/16,18.467
2011/06/17,18.183
2011/06/18,17.952
2011/06/19,17.849
2011/06/20,17.736
2011/06/21,17.637
2011/06/22,17.552
2011/06/23,17.479
2011/06/24,17.415
2011/06/25,17.36
2011/06/26,17.309
2011/06/27,17.214
2011/06/28,17.166
2011/06/29,17.13
2011/06/30,17.043
2011/07/01,16.869
2011/07/02,16.671
2011/07/03,16.504
2011/07/04,16.257
2011/07/05,15.875
2011/07/06,15.605
2011/07/07,15.49
2011/07/08,15.364
2011/07/09,15.228
2011/07/10,15.149
2011/07/11,15.07
2011/07/12,14.942
2011/07/13,14.815
2011/07/14,14.704
2011/07/15,14.598
2011/07/16,14.487
2011/07/17,14.347
2011/07/18,14.21
2011/07/19,14.137
2011/07/20,14.09
2011/07/21,14.033
2011/07/22,13.983
2011/07/23,13.944
2011/07/24,13.929
2011/07/25,13.94
2011/07/26,13.943
2011/07/27,13.938
2011/07/28,13.905
2011/07/29,13.85
2011/07/30,13.806
2011/07/31,13.758
2011/08/01,13.686
2011/08/02,13.538
2011/08/03,13.153
2011/08/04,12.735
2011/08/05,12.405
2011/08/06,11.837
2011/08/07,11.221
2011/08/08,10.771
2011/08/09,10.521
2011/08/10,10.448
2011/08/11,10.359
2011/08/12,10.239
2011/08/13,10.181
2011/08/14,10.218
2011/08/15,10.319
2011/08/16,10.417
2011/08/17,10.486
2011/08/18,10.542
2011/08/19,10.635
2011/08/20,10.758
2011/08/21,10.841
2011/08/22,10.876
2011/08/23,10.882
2011/08/24,10.884
2011/08/25,10.8
2011/08/26,10.549
2011/08/27,10.261
2011/08/28,10.07
2011/08/29,9.93
2011/08/30,9.79
2011/08/31,9.617
2011/09/01,9.429
2011/09/02,9.298
2011/09/03,9.197
2011/09/04,9.08
2011/09/05,8.917
2011/09/06,8.693
2011/09/07,8.471
2011/09/08,8.256
2011/09/09,7.926
2011/09/10,7.522
2011/09/11,7.229
2011/09/12,7.066
2011/09/13,6.914
2011/09/14,6.755
2011/09/15,6.551
2011/09/16,6.322
2011/09/17,6.118
2011/09/18,5.966
2011/09/19,5.882
2011/09/20,5.869
2011/09/21,5.87
2011/09/22,5.825
2011/09/23,5.78
2011/09/24,5.744
2011/09/25,5.695
2011/09/26,5.615
2011/09/27,5.519
2011/09/28,5.429
2011/09/29,5.342
2011/09/30,5.29
