Date,hashrate90std
2010/07/17,790897829
2010/07/18,838438881
2010/07/19,881995244
2010/07/20,928054231
2010/07/21,976194934
2010/07/22,1019473922
2010/07/23,1060415616
2010/07/24,1095939396
2010/07/25,1142803552
2010/07/26,1206231381
2010/07/27,1278409956
2010/07/28,1316686950
2010/07/29,1359985696
2010/07/30,1405575734
2010/07/31,1452347132
2010/08/01,1519313566
2010/08/02,1600953609
2010/08/03,1671374023
2010/08/04,1727488996
2010/08/05,1802625137
2010/08/06,1875629909
2010/08/07,1913809936
2010/08/08,1974544159
2010/08/09,2048628608
2010/08/10,2110585434
2010/08/11,2192150393
2010/08/12,2274916649
2010/08/13,2353583983
2010/08/14,2442208505
2010/08/15,2633165125
2010/08/16,2683519405
2010/08/17,2723406813
2010/08/18,2752649147
2010/08/19,2784324157
2010/08/20,2840292451
2010/08/21,2917659343
2010/08/22,3005792789
2010/08/23,3111513152
2010/08/24,3210522065
2010/08/25,3313660027
2010/08/26,3399661697
2010/08/27,3499454219
2010/08/28,3576942252
2010/08/29,3627419817
2010/08/30,3661414004
2010/08/31,3714756426
2010/09/01,3765836856
2010/09/02,3794676688
2010/09/03,3823485450
2010/09/04,3863813224
2010/09/05,3899701909
2010/09/06,3923419507
2010/09/07,3934430350
2010/09/08,3965493493
2010/09/09,3990231967
2010/09/10,4019017720
2010/09/11,4055184146
2010/09/12,4093718519
2010/09/13,4131628136
2010/09/14,4177442653
2010/09/15,4212748561
2010/09/16,4260429600
2010/09/17,4342424256
2010/09/18,4424112847
2010/09/19,4611872870
2010/09/20,4754560402
2010/09/21,4840421664
2010/09/22,4882825861
2010/09/23,4976473850
2010/09/24,5147784882
2010/09/25,5268414148
2010/09/26,5335086319
2010/09/27,5435079296
2010/09/28,5559633846
2010/09/29,5776266155
2010/09/30,5821811766
2010/10/01,5889843853
2010/10/02,5873184040
2010/10/03,5826675218
2010/10/04,5827153152
2010/10/05,5814118930
2010/10/06,5818245878
2010/10/07,5871986127
2010/10/08,5894728714
2010/10/09,5896244560
2010/10/10,5927707130
2010/10/11,5985297944
2010/10/12,6025936457
2010/10/13,6079954478
2010/10/14,6205677320
2010/10/15,6362463010
2010/10/16,6557883726
2010/10/17,7039694590
2010/10/18,7378052764
2010/10/19,7592792378
2010/10/20,7851154556
2010/10/21,8528406355
2010/10/22,8721659035
2010/10/23,8946246747
2010/10/24,9215059463
2010/10/25,9661621550
2010/10/26,10177389327
2010/10/27,10677863847
2010/10/28,11012139332
2010/10/29,11428606609
2010/10/30,11890271229
2010/10/31,12852708886
2010/11/01,13303210008
2010/11/02,13719312483
2010/11/03,14214289124
2010/11/04,14722226722
2010/11/05,15322263591
2010/11/06,15879717283
2010/11/07,16683280883
2010/11/08,17558543538
2010/11/09,18955887337
2010/11/10,19962626032
2010/11/11,21402922683
2010/11/12,22186407385
2010/11/13,22997976522
2010/11/14,24403115123
2010/11/15,25383214036
2010/11/16,25924971213
2010/11/17,26887314770
2010/11/18,28535736402
2010/11/19,30415255071
2010/11/20,30728428972
2010/11/21,31156306146
2010/11/22,31824379391
2010/11/23,32407575158
2010/11/24,33171500935
2010/11/25,33800705690
2010/11/26,35037595266
2010/11/27,36083311151
2010/11/28,36653166264
2010/11/29,37577402050
2010/11/30,39027324166
2010/12/01,40129191492
2010/12/02,41444655312
2010/12/03,42566310567
2010/12/04,44104518013
2010/12/05,45958135253
2010/12/06,47877589146
2010/12/07,49404188727
2010/12/08,51027558354
2010/12/09,52828078090
2010/12/10,54625615494
2010/12/11,56014600235
2010/12/12,57740928659
2010/12/13,58866048704
2010/12/14,59749281390
2010/12/15,61269868112
2010/12/16,62880357592
2010/12/17,64052535389
2010/12/18,64815611143
2010/12/19,65698970656
2010/12/20,66701601541
2010/12/21,67748337568
2010/12/22,69518340598
2010/12/23,70132944052
2010/12/24,70763737447
2010/12/25,71532135772
2010/12/26,72071226116
2010/12/27,72682863151
2010/12/28,73796020339
2010/12/29,74573850146
2010/12/30,75117013377
2010/12/31,75619431557
2011/01/01,76197098413
2011/01/02,76895956462
2011/01/03,77782651724
2011/01/04,77912521362
2011/01/05,78055364889
2011/01/06,78347101311
2011/01/07,78282626560
2011/01/08,79048869588
2011/01/09,79102081561
2011/01/10,79485961652
2011/01/11,79538145603
2011/01/12,79703296777
2011/01/13,80058809857
2011/01/14,80408942391
2011/01/15,81029213068
2011/01/16,81699490682
2011/01/17,82338287132
2011/01/18,82435748280
2011/01/19,82607078282
2011/01/20,82885628318
2011/01/21,83737729345
2011/01/22,83438330316
2011/01/23,83609633871
2011/01/24,83749366430
2011/01/25,83492891740
2011/01/26,83634181889
2011/01/27,84058508542
2011/01/28,84311244677
2011/01/29,84464660289
2011/01/30,84718859763
2011/01/31,84411609779
2011/02/01,85188065255
2011/02/02,85067790021
2011/02/03,84732839166
2011/02/04,85195866560
2011/02/05,86384891421
2011/02/06,86816010223
2011/02/07,87903229796
2011/02/08,90255473786
2011/02/09,92315902820
2011/02/10,94495769827
2011/02/11,96454401997
2011/02/12,99060287313
2011/02/13,101407442395
2011/02/14,103342089675
2011/02/15,106061117373
2011/02/16,109977941091
2011/02/17,115634350716
2011/02/18,123759984306
2011/02/19,128441836957
2011/02/20,133004710037
2011/02/21,138072551705
2011/02/22,144456947393
2011/02/23,152242859573
2011/02/24,159768656056
2011/02/25,166188999076
2011/02/26,175018733277
2011/02/27,198355259450
2011/02/28,208071689393
2011/03/01,211475570130
2011/03/02,216421739355
2011/03/03,223056916311
2011/03/04,234607843073
2011/03/05,254305035617
2011/03/06,279954703210
2011/03/07,296964818232
2011/03/08,303581284299
2011/03/09,309014924736
2011/03/10,313300059357
2011/03/11,315904239675
2011/03/12,319268989894
2011/03/13,322235780750
2011/03/14,322813153565
2011/03/15,323155077441
2011/03/16,326134207438
2011/03/17,328235110438
2011/03/18,331171939114
2011/03/19,331182682869
2011/03/20,332163908409
2011/03/21,335392507669
2011/03/22,337471730052
2011/03/23,339065621685
2011/03/24,343589832709
2011/03/25,344896546465
2011/03/26,345839617949
2011/03/27,346170739746
2011/03/28,346999489797
2011/03/29,348757450497
2011/03/30,349090129183
2011/03/31,352791383342
2011/04/01,356010134080
2011/04/02,358409536906
2011/04/03,359810766016
2011/04/04,361424260855
2011/04/05,363887710830
2011/04/06,366845144247
2011/04/07,367143540997
2011/04/08,368250705741
2011/04/09,369755760631
2011/04/10,371411493872
2011/04/11,372058840747
2011/04/12,373081541450
2011/04/13,377781079574
2011/04/14,379085764349
2011/04/15,377208744776
2011/04/16,376420194703
2011/04/17,377002185236
2011/04/18,377247836891
2011/04/19,375316455973
2011/04/20,374410567571
2011/04/21,374216521141
2011/04/22,373806834447
2011/04/23,374788546039
2011/04/24,374929965960
2011/04/25,375022691821
2011/04/26,380421303104
2011/04/27,383574377177
2011/04/28,381224435195
2011/04/29,383074029425
2011/04/30,391835452679
2011/05/01,397826520142
2011/05/02,406386704512
2011/05/03,414715269701
2011/05/04,420938714459
2011/05/05,431877490462
2011/05/06,442965037883
2011/05/07,454177633717
2011/05/08,461524171525
