Date,hashrate14wma
2010/07/17,1139499015
2010/07/18,1244176845
2010/07/19,1335384873
2010/07/20,1425274195
2010/07/21,1512600458
2010/07/22,1582861860
2010/07/23,1640008334
2010/07/24,1676004950
2010/07/25,1730620592
2010/07/26,1811310625
2010/07/27,1902456152
2010/07/28,1919843445
2010/07/29,1950760498
2010/07/30,1987360920
2010/07/31,2031070558
2010/08/01,2133815952
2010/08/02,2267417036
2010/08/03,2376994697
2010/08/04,2452789418
2010/08/05,2572228239
2010/08/06,2685604232
2010/08/07,2706060196
2010/08/08,2786874879
2010/08/09,2899195418
2010/08/10,2982738002
2010/08/11,3115736974
2010/08/12,3247998254
2010/08/13,3368092890
2010/08/14,3509015541
2010/08/15,3844158649
2010/08/16,3873619988
2010/08/17,3872493136
2010/08/18,3835845501
2010/08/19,3810878542
2010/08/20,3872025531
2010/08/21,3994913568
2010/08/22,4140768814
2010/08/23,4327648195
2010/08/24,4498127954
2010/08/25,4677091610
2010/08/26,4812957530
2010/08/27,4985473431
2010/08/28,5099356659
2010/08/29,5134189053
2010/08/30,5131769331
2010/08/31,5199733392
2010/09/01,5256968760
2010/09/02,5229632709
2010/09/03,5201121427
2010/09/04,5220078493
2010/09/05,5230126994
2010/09/06,5202467655
2010/09/07,5135958945
2010/09/08,5171038153
2010/09/09,5198337449
2010/09/10,5255762275
2010/09/11,5356534697
2010/09/12,5476821880
2010/09/13,5598854241
2010/09/14,5750710355
2010/09/15,5875026288
2010/09/16,6046361861
2010/09/17,6316690194
2010/09/18,6581059432
2010/09/19,7089614872
2010/09/20,7493986523
2010/09/21,7743610245
2010/09/22,7848175046
2010/09/23,8103950151
2010/09/24,8537416243
2010/09/25,8839441091
2010/09/26,8984549026
2010/09/27,9219410884
2010/09/28,9508452168
2010/09/29,9995813344
2010/09/30,10031496574
2010/10/01,10137486667
2010/10/02,9937750471
2010/10/03,9602724996
2010/10/04,9543227591
2010/10/05,9462768181
2010/10/06,9474100619
2010/10/07,9652695040
2010/10/08,9746187813
2010/10/09,9799775812
2010/10/10,9949121344
2010/10/11,10100018160
2010/10/12,10213630251
2010/10/13,10393499309
2010/10/14,10776539017
2010/10/15,11182806468
2010/10/16,11767231246
2010/10/17,12877385009
2010/10/18,13699157385
