Date,transactions7sma
2010/07/17,1396
2010/07/18,1407
2010/07/19,1223
2010/07/20,1169
2010/07/21,412.571
2010/07/22,343.286
2010/07/23,277.714
2010/07/24,344.857
2010/07/25,536.857
2010/07/26,518.286
2010/07/27,496.429
2010/07/28,715.857
2010/07/29,925.286
2010/07/30,914.714
2010/07/31,827.143
2010/08/01,617.571
2010/08/02,607.857
2010/08/03,630.857
2010/08/04,402.857
2010/08/05,204.286
2010/08/06,214.143
2010/08/07,217.857
2010/08/08,227.429
2010/08/09,238.571
2010/08/10,199.714
2010/08/11,197.286
2010/08/12,179.857
2010/08/13,192.571
2010/08/14,197.571
2010/08/15,185.571
2010/08/16,195.857
2010/08/17,201.571
2010/08/18,210.857
2010/08/19,213
2010/08/20,202.857
2010/08/21,205.143
2010/08/22,211.714
2010/08/23,190.286
2010/08/24,186.714
2010/08/25,173.143
2010/08/26,168.571
2010/08/27,153.286
2010/08/28,153.286
2010/08/29,145.286
2010/08/30,148.714
2010/08/31,162
2010/09/01,172.571
2010/09/02,173.571
2010/09/03,178.143
2010/09/04,167.286
2010/09/05,174.143
2010/09/06,165.571
2010/09/07,146.286
2010/09/08,139.286
2010/09/09,142.714
2010/09/10,146.714
2010/09/11,154.143
2010/09/12,162.143
2010/09/13,182.857
2010/09/14,197
2010/09/15,209.429
2010/09/16,213.714
2010/09/17,209.429
2010/09/18,211.857
2010/09/19,203.857
2010/09/20,203.429
2010/09/21,263
2010/09/22,297
2010/09/23,325.857
2010/09/24,343
2010/09/25,366.286
2010/09/26,373.286
2010/09/27,389.286
2010/09/28,338
2010/09/29,382.571
2010/09/30,353.714
2010/10/01,376.143
2010/10/02,387
2010/10/03,395.571
2010/10/04,378.429
2010/10/05,373.571
2010/10/06,291.429
2010/10/07,285.857
2010/10/08,254.286
2010/10/09,231.714
2010/10/10,221.714
2010/10/11,211.571
2010/10/12,204.714
2010/10/13,197.857
2010/10/14,195.286
2010/10/15,187
2010/10/16,178.429
2010/10/17,178.714
2010/10/18,199.714
2010/10/19,267
2010/10/20,304.286
2010/10/21,333.429
2010/10/22,375.857
2010/10/23,398.571
2010/10/24,421.429
2010/10/25,403.857
2010/10/26,348
2010/10/27,334.571
2010/10/28,320.429
2010/10/29,291.286
2010/10/30,267.286
2010/10/31,236
2010/11/01,231.286
2010/11/02,207.429
2010/11/03,179.143
2010/11/04,161.143
2010/11/05,158.143
2010/11/06,158.429
2010/11/07,170.143
2010/11/08,179.571
2010/11/09,191.286
2010/11/10,196.571
2010/11/11,201.571
2010/11/12,186.429
2010/11/13,178.429
2010/11/14,171.286
2010/11/15,804.286
2010/11/16,2049
2010/11/17,2049
2010/11/18,2200
2010/11/19,3538
2010/11/20,4894
2010/11/21,6286
2010/11/22,5645
2010/11/23,4401
2010/11/24,4911
2010/11/25,5420
2010/11/26,4226
2010/11/27,2890
2010/11/28,1516
2010/11/29,1525
2010/11/30,1532
2010/12/01,1041
2010/12/02,394.286
2010/12/03,262.143
2010/12/04,251.286
2010/12/05,238.857
2010/12/06,235.857
2010/12/07,247.571
2010/12/08,242
2010/12/09,240.714
2010/12/10,245.143
2010/12/11,271.714
2010/12/12,311.286
2010/12/13,351.429
2010/12/14,372.571
2010/12/15,395.571
2010/12/16,409.143
2010/12/17,419.143
2010/12/18,413.857
2010/12/19,398.857
2010/12/20,437.143
2010/12/21,430.286
2010/12/22,438.286
2010/12/23,440.571
2010/12/24,453
2010/12/25,471.286
2010/12/26,481.571
2010/12/27,422.571
2010/12/28,430.857
2010/12/29,408.857
2010/12/30,416
2010/12/31,417.429
2011/01/01,419.143
2011/01/02,412.714
2011/01/03,500.143
2011/01/04,549.571
2011/01/05,665
2011/01/06,683.429
2011/01/07,749.571
2011/01/08,862.143
2011/01/09,957.286
2011/01/10,982.714
2011/01/11,1033
2011/01/12,1010
2011/01/13,1085
2011/01/14,1117
2011/01/15,1051
2011/01/16,1008
2011/01/17,936.429
2011/01/18,863.143
2011/01/19,827.857
2011/01/20,779.286
2011/01/21,766.571
2011/01/22,831.143
2011/01/23,853.143
2011/01/24,922
2011/01/25,930
2011/01/26,941
2011/01/27,932.857
2011/01/28,923
2011/01/29,912.857
2011/01/30,1131
2011/01/31,1144
2011/02/01,1160
2011/02/02,1148
2011/02/03,1141
2011/02/04,1117
2011/02/05,1041
2011/02/06,797.714
2011/02/07,721.429
2011/02/08,697
2011/02/09,739.429
2011/02/10,913.571
2011/02/11,1115
2011/02/12,1267
2011/02/13,1394
2011/02/14,1554
2011/02/15,1743
2011/02/16,1861
2011/02/17,1885
2011/02/18,1839
2011/02/19,1797
2011/02/20,1813
2011/02/21,1808
2011/02/22,1806
2011/02/23,1830
2011/02/24,1813
2011/02/25,1812
2011/02/26,1848
2011/02/27,1888
2011/02/28,1859
2011/03/01,1947
2011/03/02,1921
2011/03/03,2081
2011/03/04,2070
2011/03/05,2084
2011/03/06,2045
2011/03/07,2066
2011/03/08,2017
2011/03/09,1993
2011/03/10,1783
2011/03/11,1782
2011/03/12,1931
2011/03/13,2051
2011/03/14,2168
2011/03/15,2237
2011/03/16,2434
2011/03/17,2673
2011/03/18,2744
2011/03/19,2781
2011/03/20,2973
2011/03/21,3427
2011/03/22,3338
2011/03/23,3533
2011/03/24,3359
2011/03/25,3299
2011/03/26,3316
2011/03/27,3085
2011/03/28,2664
2011/03/29,2727
2011/03/30,2325
2011/03/31,2308
2011/04/01,2247
2011/04/02,2018
2011/04/03,1920
2011/04/04,1829
2011/04/05,1739
2011/04/06,1756
2011/04/07,1704
2011/04/08,1732
2011/04/09,1730
2011/04/10,1722
2011/04/11,1671
2011/04/12,1670
2011/04/13,1736
2011/04/14,1906
2011/04/15,1946
2011/04/16,2004
2011/04/17,2076
2011/04/18,2234
2011/04/19,2453
2011/04/20,2545
2011/04/21,2409
2011/04/22,2415
2011/04/23,2437
2011/04/24,2442
2011/04/25,2372
2011/04/26,2346
2011/04/27,2571
2011/04/28,2728
2011/04/29,2930
2011/04/30,3237
2011/05/01,3474
2011/05/02,3545
2011/05/03,3470
2011/05/04,3214
2011/05/05,3268
2011/05/06,3230
2011/05/07,3143
2011/05/08,2987
2011/05/09,3041
2011/05/10,3074
2011/05/11,3116
2011/05/12,3109
2011/05/13,3221
2011/05/14,3292
2011/05/15,3416
2011/05/16,3534
2011/05/17,3711
2011/05/18,4053
2011/05/19,4239
2011/05/20,4342
2011/05/21,4423
2011/05/22,4635
2011/05/23,4829
2011/05/24,5023
2011/05/25,5117
2011/05/26,5428
2011/05/27,5444
2011/05/28,5460
2011/05/29,5395
2011/05/30,5355
2011/05/31,5405
2011/06/01,5462
2011/06/02,5502
2011/06/03,6009
2011/06/04,6542
2011/06/05,7086
2011/06/06,7699
2011/06/07,8116
2011/06/08,8870
2011/06/09,9585
2011/06/10,9986
2011/06/11,10280
2011/06/12,10826
2011/06/13,11048
2011/06/14,11773
2011/06/15,11873
2011/06/16,11960
2011/06/17,11969
2011/06/18,12072
2011/06/19,11935
2011/06/20,11931
2011/06/21,11294
2011/06/22,11142
2011/06/23,10801
2011/06/24,10743
2011/06/25,10483
2011/06/26,10282
2011/06/27,10366
2011/06/28,10524
2011/06/29,10320
2011/06/30,10215
2011/07/01,10176
2011/07/02,9933
2011/07/03,9699
2011/07/04,9392
2011/07/05,9145
2011/07/06,9221
2011/07/07,9164
2011/07/08,8869
2011/07/09,8848
2011/07/10,8856
2011/07/11,8989
2011/07/12,8872
2011/07/13,8678
2011/07/14,8609
2011/07/15,8534
2011/07/16,8679
2011/07/17,8673
2011/07/18,8450
2011/07/19,8598
2011/07/20,8557
2011/07/21,8477
2011/07/22,8620
2011/07/23,8413
2011/07/24,8391
2011/07/25,8464
2011/07/26,8343
2011/07/27,8215
2011/07/28,8209
2011/07/29,7967
2011/07/30,7794
2011/07/31,7776
2011/08/01,7592
2011/08/02,7659
2011/08/03,7624
2011/08/04,7655
2011/08/05,7665
2011/08/06,7758
2011/08/07,7567
2011/08/08,7438
2011/08/09,7497
2011/08/10,7583
2011/08/11,7480
2011/08/12,7454
2011/08/13,7533
2011/08/14,7641
2011/08/15,7801
2011/08/16,7861
2011/08/17,7776
2011/08/18,7749
2011/08/19,7813
2011/08/20,7780
2011/08/21,7804
2011/08/22,7718
2011/08/23,7379
2011/08/24,7329
2011/08/25,7305
2011/08/26,7275
2011/08/27,7161
2011/08/28,6870
2011/08/29,6915
2011/08/30,6991
2011/08/31,6978
2011/09/01,6973
2011/09/02,6915
2011/09/03,6850
2011/09/04,7086
2011/09/05,6932
2011/09/06,6935
2011/09/07,6909
2011/09/08,6808
2011/09/09,6859
2011/09/10,6870
2011/09/11,6755
2011/09/12,6692
2011/09/13,6506
2011/09/14,6377
2011/09/15,6370
2011/09/16,6208
2011/09/17,6131
2011/09/18,6061
2011/09/19,6073
2011/09/20,6306
2011/09/21,6518
2011/09/22,6471
2011/09/23,6486
2011/09/24,6526
2011/09/25,6491
2011/09/26,6345
2011/09/27,6054
2011/09/28,5816
2011/09/29,5741
2011/09/30,5676
2011/10/01,5624
2011/10/02,5528
2011/10/03,5652
2011/10/04,5614
2011/10/05,5579
2011/10/06,5624
2011/10/07,5595
2011/10/08,5602
2011/10/09,5662
2011/10/10,5574
2011/10/11,5594
2011/10/12,5623
2011/10/13,5494
2011/10/14,5557
2011/10/15,5580
2011/10/16,5513
2011/10/17,5499
2011/10/18,5343
2011/10/19,5224
2011/10/20,5174
2011/10/21,5047
2011/10/22,4986
2011/10/23,5077
2011/10/24,5097
2011/10/25,5148
2011/10/26,5171
2011/10/27,5177
2011/10/28,5166
2011/10/29,5233
2011/10/30,5143
2011/10/31,5035
2011/11/01,5111
2011/11/02,5208
2011/11/03,5430
2011/11/04,5627
2011/11/05,5670
2011/11/06,5673
2011/11/07,5717
2011/11/08,5748
2011/11/09,5813
2011/11/10,5852
2011/11/11,5649
2011/11/12,5535
2011/11/13,5583
2011/11/14,5641
2011/11/15,5654
2011/11/16,5601
2011/11/17,5375
2011/11/18,5384
2011/11/19,5329
2011/11/20,5294
2011/11/21,5135
2011/11/22,5051
2011/11/23,4987
2011/11/24,4999
2011/11/25,5044
2011/11/26,5048
2011/11/27,5043
2011/11/28,5208
2011/11/29,5340
2011/11/30,5516
