Date,difficulty30std
2011/05/21,90336
2011/05/22,97362
2011/05/23,102924
2011/05/24,107250
2011/05/25,110486
2011/05/26,116695
2011/05/27,150345
2011/05/28,174775
2011/05/29,193511
2011/05/30,209122
2011/05/31,221637
2011/06/01,231461
2011/06/02,238925
2011/06/03,244246
2011/06/04,247562
2011/06/05,248953
2011/06/06,253136
2011/06/07,264597
2011/06/08,272751
2011/06/09,281231
2011/06/10,286871
2011/06/11,289839
2011/06/12,290215
2011/06/13,288010
2011/06/14,283164
2011/06/15,287994
2011/06/16,317466
2011/06/17,338284
2011/06/18,360032
2011/06/19,375833
2011/06/20,386416
2011/06/21,392205
2011/06/22,393411
2011/06/23,390076
2011/06/24,405419
2011/06/25,471116
2011/06/26,531534
2011/06/27,578948
2011/06/28,616365
2011/06/29,645527
2011/06/30,667516
2011/07/01,683025
2011/07/02,692490
2011/07/03,696158
2011/07/04,694119
2011/07/05,686325
2011/07/06,679911
2011/07/07,690052
2011/07/08,693723
2011/07/09,691027
2011/07/10,681887
2011/07/11,666040
2011/07/12,642989
2011/07/13,611920
2011/07/14,571528
2011/07/15,539898
2011/07/16,525757
2011/07/17,507116
2011/07/18,483455
2011/07/19,455149
2011/07/20,427425
2011/07/21,390300
2011/07/22,340717
2011/07/23,271942
2011/07/24,231411
2011/07/25,234525
2011/07/26,235774
2011/07/27,235187
2011/07/28,232751
2011/07/29,228406
2011/07/30,222041
2011/07/31,213475
2011/08/01,213729
2011/08/02,221873
2011/08/03,224648
2011/08/04,222255
2011/08/05,219065
2011/08/06,229529
2011/08/07,237559
2011/08/08,243397
2011/08/09,247197
2011/08/10,249053
2011/08/11,249009
2011/08/12,247063
2011/08/13,243169
2011/08/14,237233
2011/08/15,229009
2011/08/16,215219
2011/08/17,199173
2011/08/18,183691
2011/08/19,179291
2011/08/20,174444
2011/08/21,169112
2011/08/22,163249
2011/08/23,156794
2011/08/24,149670
2011/08/25,141777
2011/08/26,132979
2011/08/27,123080
2011/08/28,111790
2011/08/29,98631
2011/08/30,84505
2011/08/31,86831
2011/09/01,88120
2011/09/02,88776
2011/09/03,88812
2011/09/04,88229
2011/09/05,87016
2011/09/06,85144
2011/09/07,82570
2011/09/08,79224
2011/09/09,75004
2011/09/10,69751
2011/09/11,63208
2011/09/12,54916
2011/09/13,44763
2011/09/14,31095
2011/09/15,32860
2011/09/16,34208
2011/09/17,35187
2011/09/18,35828
2011/09/19,36147
2011/09/20,36155
2011/09/21,35850
2011/09/22,35226
2011/09/23,34263
2011/09/24,32934
2011/09/25,31191
2011/09/26,28958
2011/09/27,26250
2011/09/28,35545
2011/09/29,43831
2011/09/30,50327
2011/10/01,55452
2011/10/02,59561
2011/10/03,62853
2011/10/04,65453
2011/10/05,67440
2011/10/06,68866
2011/10/07,69768
2011/10/08,70164
2011/10/09,70063
2011/10/10,69464
2011/10/11,68353
2011/10/12,66704
2011/10/13,65806
2011/10/14,107495
2011/10/15,137036
2011/10/16,158963
2011/10/17,176142
2011/10/18,189868
2011/10/19,200848
2011/10/20,209516
2011/10/21,216149
2011/10/22,220932
2011/10/23,223981
2011/10/24,225369
2011/10/25,225125
2011/10/26,223245
2011/10/27,219888
2011/10/28,220432
2011/10/29,219988
2011/10/30,218551
2011/10/31,243240
2011/11/01,267294
2011/11/02,285706
2011/11/03,299518
2011/11/04,309348
2011/11/05,315567
2011/11/06,318388
2011/11/07,317900
2011/11/08,314089
2011/11/09,306830
2011/11/10,295870
2011/11/11,280776
2011/11/12,260831
2011/11/13,262087
2011/11/14,263342
2011/11/15,263582
2011/11/16,262537
2011/11/17,260194
2011/11/18,256515
2011/11/19,251444
2011/11/20,244892
2011/11/21,236737
2011/11/22,226806
2011/11/23,214854
2011/11/24,200519
2011/11/25,183242
2011/11/26,162086
2011/11/27,135242
2011/11/28,98149
2011/11/29,24668
2011/11/30,42840
2011/12/01,56085
2011/12/02,65900
2011/12/03,73669
2011/12/04,79990
2011/12/05,85186
2011/12/06,89454
2011/12/07,92921
2011/12/08,95674
2011/12/09,97775
2011/12/10,99263
2011/12/11,100167
2011/12/12,99772
2011/12/13,97663
2011/12/14,95968
2011/12/15,94417
2011/12/16,92772
2011/12/17,91029
2011/12/18,89183
2011/12/19,87226
2011/12/20,85150
2011/12/21,82948
2011/12/22,80608
2011/12/23,78119
2011/12/24,75465
2011/12/25,72628
2011/12/26,69643
2011/12/27,66656
2011/12/28,63455
2011/12/29,64030
2011/12/30,63469
2011/12/31,62563
2012/01/01,61297
2012/01/02,59649
2012/01/03,57586
2012/01/04,55060
2012/01/05,52005
2012/01/06,48321
2012/01/07,43848
2012/01/08,39479
2012/01/09,47487
2012/01/10,52190
2012/01/11,56284
2012/01/12,63508
2012/01/13,69406
2012/01/14,74294
2012/01/15,78363
2012/01/16,81733
2012/01/17,84489
2012/01/18,86690
2012/01/19,88377
2012/01/20,89578
2012/01/21,90314
2012/01/22,95534
2012/01/23,100667
2012/01/24,104565
2012/01/25,107454
2012/01/26,109638
2012/01/27,110908
2012/01/28,111294
2012/01/29,110807
2012/01/30,109434
2012/01/31,107140
2012/02/01,103867
2012/02/02,99515
2012/02/03,93937
2012/02/04,90239
2012/02/05,89012
2012/02/06,85287
2012/02/07,82539
2012/02/08,86966
2012/02/09,90365
2012/02/10,92848
2012/02/11,94489
2012/02/12,95331
2012/02/13,95394
2012/02/14,94680
2012/02/15,93172
2012/02/16,90830
2012/02/17,87587
2012/02/18,83213
2012/02/19,77596
2012/02/20,70554
2012/02/21,69007
2012/02/22,67873
2012/02/23,66405
2012/02/24,64581
2012/02/25,62369
2012/02/26,59728
2012/02/27,56596
2012/02/28,52887
2012/02/29,48467
2012/03/01,43120
2012/03/02,44978
2012/03/03,57164
2012/03/04,64762
2012/03/05,74012
2012/03/06,82826
2012/03/07,90111
2012/03/08,96216
2012/03/09,101355
2012/03/10,105667
2012/03/11,109252
2012/03/12,112179
2012/03/13,114498
2012/03/14,116246
2012/03/15,117449
2012/03/16,118187
2012/03/17,118422
2012/03/18,118129
2012/03/19,117152
2012/03/20,115489
2012/03/21,113219
2012/03/22,110304
2012/03/23,106692
2012/03/24,102309
2012/03/25,97051
2012/03/26,90765
2012/03/27,83218
2012/03/28,74028
2012/03/29,73110
2012/03/30,75909
2012/03/31,74984
2012/04/01,82750
2012/04/02,91832
