Date,mediantransactionvalue30rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,56.697
2010/08/17,54.587
2010/08/18,54.676
2010/08/19,54.525
2010/08/20,54.415
2010/08/21,54.401
2010/08/22,54.357
2010/08/23,54.352
2010/08/24,54.3
2010/08/25,54.358
2010/08/26,48.452
2010/08/27,53.574
2010/08/28,49.097
2010/08/29,48.614
2010/08/30,48.447
2010/08/31,53.176
2010/09/01,49.222
2010/09/02,52.872
2010/09/03,56.883
2010/09/04,56.887
2010/09/05,52.111
2010/09/06,52.117
2010/09/07,52.052
2010/09/08,47.773
2010/09/09,51.854
2010/09/10,48.218
2010/09/11,48.139
2010/09/12,47.922
2010/09/13,48.878
2010/09/14,52.094
2010/09/15,50.753
2010/09/16,52.024
2010/09/17,51.882
2010/09/18,51.886
2010/09/19,54.623
2010/09/20,48.565
2010/09/21,47.807
2010/09/22,47.651
2010/09/23,49.118
2010/09/24,49.322
2010/09/25,47.722
2010/09/26,48.004
2010/09/27,47.862
2010/09/28,51.34
2010/09/29,56.556
2010/09/30,49.387
2010/10/01,48.856
2010/10/02,48.062
2010/10/03,54.136
2010/10/04,64.461
2010/10/05,61.436
2010/10/06,50.335
2010/10/07,56.932
2010/10/08,56.823
2010/10/09,56.472
2010/10/10,54.378
2010/10/11,51.763
2010/10/12,50.144
2010/10/13,50.739
2010/10/14,78.969
2010/10/15,65.457
2010/10/16,73.929
2010/10/17,52.077
2010/10/18,50.404
2010/10/19,48.572
2010/10/20,48.746
2010/10/21,48.769
2010/10/22,48.098
2010/10/23,48.291
2010/10/24,48.154
2010/10/25,60.544
2010/10/26,61.987
