Date,mining_profitability14wma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,301572
2010/07/31,298217
2010/08/01,290223
2010/08/02,280174
2010/08/03,270472
2010/08/04,266637
2010/08/05,256974
2010/08/06,240024
2010/08/07,229460
2010/08/08,222025
2010/08/09,214618
2010/08/10,210462
2010/08/11,206115
2010/08/12,201670
2010/08/13,196286
2010/08/14,197417
2010/08/15,185466
2010/08/16,176170
2010/08/17,167521
2010/08/18,161900
2010/08/19,156615
2010/08/20,155140
2010/08/21,149276
2010/08/22,146214
2010/08/23,142195
2010/08/24,138655
2010/08/25,135367
2010/08/26,132548
2010/08/27,126442
2010/08/28,121767
2010/08/29,118839
2010/08/30,115934
2010/08/31,113939
2010/09/01,109960
2010/09/02,107515
2010/09/03,105513
2010/09/04,104470
2010/09/05,102454
2010/09/06,100954
2010/09/07,100592
2010/09/08,99108
2010/09/09,95767
2010/09/10,95569
2010/09/11,93766
2010/09/12,92751
2010/09/13,91353
2010/09/14,91545
2010/09/15,89805
2010/09/16,90571
2010/09/17,88917
2010/09/18,88722
2010/09/19,85366
2010/09/20,82498
2010/09/21,79401
2010/09/22,77565
2010/09/23,77356
2010/09/24,75286
2010/09/25,73181
2010/09/26,71979
2010/09/27,71155
2010/09/28,69200
2010/09/29,64851
2010/09/30,61747
2010/10/01,59029
2010/10/02,55478
2010/10/03,54310
2010/10/04,53246
2010/10/05,51248
2010/10/06,51007
2010/10/07,49852
2010/10/08,50211
2010/10/09,52274
2010/10/10,55453
2010/10/11,57181
2010/10/12,59026
2010/10/13,61991
2010/10/14,65468
2010/10/15,66748
2010/10/16,70373
2010/10/17,71389
2010/10/18,72179
2010/10/19,73537
2010/10/20,74317
2010/10/21,70232
2010/10/22,67058
2010/10/23,64600
2010/10/24,63384
2010/10/25,61103
2010/10/26,61670
2010/10/27,62567
2010/10/28,65279
2010/10/29,67638
2010/10/30,71274
2010/10/31,69150
2010/11/01,68716
