Date,hashrate14roc
2010/07/17,1417
2010/07/18,742.227
2010/07/19,841.177
2010/07/20,687.027
2010/07/21,837.474
2010/07/22,850.956
2010/07/23,716.139
2010/07/24,638.981
2010/07/25,767.687
2010/07/26,364.955
2010/07/27,79.408
2010/07/28,45.277
2010/07/29,52.436
2010/07/30,16.981
2010/07/31,-18.384
2010/08/01,71.867
2010/08/02,92.281
2010/08/03,77.082
2010/08/04,59.087
2010/08/05,84.225
2010/08/06,86.411
2010/08/07,56.635
2010/08/08,63.987
2010/08/09,55.222
2010/08/10,36.952
2010/08/11,92.714
2010/08/12,85.287
2010/08/13,78.985
2010/08/14,85.327
2010/08/15,116.832
2010/08/16,24.823
2010/08/17,22.094
2010/08/18,21.311
2010/08/19,9.98
2010/08/20,28.905
2010/08/21,78.402
2010/08/22,58.918
2010/08/23,56.753
2010/08/24,63.305
2010/08/25,50.097
2010/08/26,40.455
2010/08/27,49.029
2010/08/28,31.893
2010/08/29,-12.999
2010/08/30,26.414
2010/08/31,49.57
2010/09/01,60.844
2010/09/02,40.651
2010/09/03,20.078
2010/09/04,15.346
2010/09/05,7.642
2010/09/06,-5.824
2010/09/07,-11.901
2010/09/08,-2.553
2010/09/09,-0.439
2010/09/10,-3.198
2010/09/11,7.721
2010/09/12,21.859
2010/09/13,32.435
2010/09/14,23.775
2010/09/15,20.555
2010/09/16,41.574
2010/09/17,56.866
2010/09/18,47.646
2010/09/19,85.721
2010/09/20,86.135
2010/09/21,80.637
2010/09/22,42.337
2010/09/23,68.089
2010/09/24,89.667
2010/09/25,69.296
2010/09/26,50.064
2010/09/27,62.178
2010/09/28,64.364
2010/09/29,95.075
2010/09/30,39.983
2010/10/01,33.32
2010/10/02,4.085
2010/10/03,-26.987
2010/10/04,-3.725
2010/10/05,3.605
2010/10/06,23.446
2010/10/07,21.039
2010/10/08,-1.661
2010/10/09,1.324
2010/10/10,18.913
2010/10/11,9.758
2010/10/12,0.871
2010/10/13,-9.471
2010/10/14,33.188
