Date,mediantransactionvalue7momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0.198
2010/07/25,0.095
2010/07/26,2.221
2010/07/27,-4.91
2010/07/28,-3.834
2010/07/29,-1.051
2010/07/30,0.07
2010/07/31,0.895
2010/08/01,2.595
2010/08/02,0.412
2010/08/03,0.684
2010/08/04,2.981
2010/08/05,2.974
2010/08/06,-0.628
2010/08/07,0.097
2010/08/08,-2.901
2010/08/09,0.508
2010/08/10,2.571
2010/08/11,0.191
2010/08/12,0.472
2010/08/13,3.019
2010/08/14,1.875
2010/08/15,3.156
2010/08/16,1.032
2010/08/17,-0.062
2010/08/18,0.275
2010/08/19,-0.085
2010/08/20,0.03
2010/08/21,-0.015
2010/08/22,-0.032
2010/08/23,-1.33
2010/08/24,-0.14
2010/08/25,-0.17
2010/08/26,-3.048
2010/08/27,-0.08
2010/08/28,-2.652
2010/08/29,-2.926
2010/08/30,-3.025
2010/08/31,-0.145
2010/09/01,-2.594
2010/09/02,2.802
2010/09/03,2.938
2010/09/04,5.521
2010/09/05,2.754
2010/09/06,2.859
2010/09/07,-0.038
2010/09/08,-0.577
2010/09/09,-0.064
2010/09/10,-5.856
2010/09/11,-5.921
2010/09/12,-3.024
2010/09/13,-2.362
2010/09/14,0.035
2010/09/15,2.035
2010/09/16,0.04
2010/09/17,2.69
2010/09/18,2.755
2010/09/19,4.935
2010/09/20,0
2010/09/21,-2.944
2010/09/22,-2.108
2010/09/23,-2.038
2010/09/24,-1.798
2010/09/25,-2.947
2010/09/26,-4.776
2010/09/27,-0.606
2010/09/28,2.285
2010/09/29,6.409
2010/09/30,0.146
2010/10/01,-0.43
2010/10/02,0.07
2010/10/03,4.969
2010/10/04,17.274
2010/10/05,12.392
2010/10/06,-3.338
2010/10/07,11.512
2010/10/08,11.813
2010/10/09,12.038
2010/10/10,4.417
2010/10/11,-11.129
2010/10/12,-10.717
2010/10/13,1.818
2010/10/14,80.21
2010/10/15,49.701
2010/10/16,106.379
2010/10/17,15.876
2010/10/18,9.121
2010/10/19,-0.175
