Date,confirmationtime3trx
2011/04/18,0.569
2011/04/19,1.152
2011/04/20,2.077
2011/04/21,2.005
2011/04/22,-0.571
2011/04/23,-1.837
2011/04/24,-1.408
2011/04/25,-2.724
2011/04/26,-3.509
2011/04/27,-2.75
2011/04/28,-0.422
2011/04/29,-1.393
2011/04/30,-1.507
2011/05/01,-0.603
2011/05/02,-1.101
2011/05/03,-1.344
2011/05/04,-1.336
2011/05/05,-2.348
2011/05/06,-2.692
2011/05/07,-2.261
2011/05/08,-1.935
2011/05/09,-2.546
2011/05/10,0.717
2011/05/11,2.155
2011/05/12,4.094
2011/05/13,1.754
2011/05/14,-1.777
2011/05/15,-2.507
2011/05/16,-3.512
2011/05/17,-4.119
2011/05/18,-5.104
2011/05/19,1.755
2011/05/20,2.263
2011/05/21,1.408
2011/05/22,-0.94
2011/05/23,-3.516
2011/05/24,-4.986
2011/05/25,-5.39
2011/05/26,-4.502
2011/05/27,5.464
2011/05/28,11.897
2011/05/29,9.42
2011/05/30,8.6
2011/05/31,7.468
2011/06/01,2.808
2011/06/02,-0.199
2011/06/03,-2.185
2011/06/04,-3.931
2011/06/05,-3.625
2011/06/06,-3.999
2011/06/07,0.121
2011/06/08,1.619
2011/06/09,-0.429
2011/06/10,-1.881
2011/06/11,-3.643
2011/06/12,-3.39
2011/06/13,-2.278
2011/06/14,-2.293
2011/06/15,-3.506
2011/06/16,1.856
2011/06/17,4.594
2011/06/18,4.027
2011/06/19,1.281
2011/06/20,-1.001
2011/06/21,-2.84
2011/06/22,-3.73
2011/06/23,-2.763
2011/06/24,-0.319
2011/06/25,8.052
2011/06/26,10.31
2011/06/27,6.976
2011/06/28,4.779
2011/06/29,2.265
2011/06/30,-0.497
2011/07/01,-0.69
2011/07/02,-0.089
2011/07/03,0.635
2011/07/04,0.544
2011/07/05,3.133
2011/07/06,2.53
2011/07/07,4.098
2011/07/08,1.43
2011/07/09,0.741
2011/07/10,1.652
2011/07/11,0.33
2011/07/12,0.714
2011/07/13,-2.414
2011/07/14,-0.974
2011/07/15,-0.988
2011/07/16,-0.687
2011/07/17,-1.357
2011/07/18,-1.665
2011/07/19,0.748
2011/07/20,1.542
2011/07/21,1.262
2011/07/22,0.92
2011/07/23,1.062
2011/07/24,-0.515
2011/07/25,-1.385
2011/07/26,-2.313
2011/07/27,-2.411
2011/07/28,-0.64
2011/07/29,-0.13
2011/07/30,0.963
2011/07/31,-0.306
2011/08/01,-0.489
2011/08/02,0.498
2011/08/03,0.82
2011/08/04,3.578
2011/08/05,3.467
2011/08/06,4.599
2011/08/07,4.124
2011/08/08,2.15
2011/08/09,-0.085
2011/08/10,-1.681
2011/08/11,-0.991
2011/08/12,0.364
2011/08/13,1.178
2011/08/14,1.155
2011/08/15,1.192
2011/08/16,-0.525
2011/08/17,-0.613
2011/08/18,-1.069
2011/08/19,-0.041
2011/08/20,-1.134
2011/08/21,-2.395
2011/08/22,-3.395
2011/08/23,-2.537
2011/08/24,0.377
2011/08/25,1.956
2011/08/26,1.171
2011/08/27,2.895
2011/08/28,4.356
2011/08/29,2.046
2011/08/30,-0.389
2011/08/31,-2.245
2011/09/01,-0.671
2011/09/02,-1.632
2011/09/03,-1.419
2011/09/04,0.018
2011/09/05,-0.966
2011/09/06,-1.28
2011/09/07,0.121
2011/09/08,1.751
2011/09/09,0.097
2011/09/10,0.69
2011/09/11,2.018
2011/09/12,1.644
2011/09/13,0.238
2011/09/14,-0.938
2011/09/15,-2.148
2011/09/16,0.95
2011/09/17,1.293
2011/09/18,-0.99
2011/09/19,0.32
2011/09/20,0.127
2011/09/21,-0.678
2011/09/22,-1.24
2011/09/23,-0.012
2011/09/24,1.246
2011/09/25,0.916
2011/09/26,0.726
2011/09/27,0.652
2011/09/28,-0.666
2011/09/29,0.636
2011/09/30,1.862
2011/10/01,0.193
2011/10/02,1.109
2011/10/03,-0.518
2011/10/04,1.769
2011/10/05,-0.168
2011/10/06,-0.135
2011/10/07,-0.779
2011/10/08,0.8
2011/10/09,0.896
2011/10/10,1.059
2011/10/11,5.192
2011/10/12,3.093
2011/10/13,3.936
2011/10/14,-0.315
2011/10/15,-2.581
2011/10/16,-1.873
2011/10/17,-0.773
2011/10/18,-0.278
2011/10/19,-1.295
2011/10/20,-0.067
2011/10/21,0.194
2011/10/22,3.121
2011/10/23,3
2011/10/24,0.208
2011/10/25,-1.676
2011/10/26,-1.193
2011/10/27,1.643
2011/10/28,2.416
2011/10/29,1.259
2011/10/30,0.534
2011/10/31,-1.746
2011/11/01,-4.278
2011/11/02,-5.495
2011/11/03,-3.073
2011/11/04,-2.791
2011/11/05,-2.556
2011/11/06,-1.981
2011/11/07,-0.307
2011/11/08,-0.778
2011/11/09,-2.076
2011/11/10,-1.043
2011/11/11,2.294
2011/11/12,1.383
2011/11/13,0.176
2011/11/14,-0.397
2011/11/15,-2.188
2011/11/16,-0.623
2011/11/17,0.314
2011/11/18,1.239
2011/11/19,2.608
2011/11/20,0.995
2011/11/21,2.267
2011/11/22,0.688
2011/11/23,0.023
2011/11/24,2.096
2011/11/25,0.805
2011/11/26,1.164
2011/11/27,2.084
2011/11/28,0.913
2011/11/29,-0.99
2011/11/30,-3.605
2011/12/01,-5.812
2011/12/02,-4.087
2011/12/03,-2.568
2011/12/04,-0.075
2011/12/05,-0.567
2011/12/06,-2.02
2011/12/07,-0.024
2011/12/08,-0.733
2011/12/09,-0.007
2011/12/10,0.81
2011/12/11,0.429
2011/12/12,2.475
