Date,activeaddresses14sma
2010/07/17,1426
2010/07/18,1460
2010/07/19,1502
2010/07/20,1548
2010/07/21,1579
2010/07/22,1599
2010/07/23,1621
2010/07/24,1661
2010/07/25,1771
2010/07/26,1606
2010/07/27,1518
2010/07/28,1083
2010/07/29,976.857
2010/07/30,896.357
2010/07/31,872.857
2010/08/01,851.643
2010/08/02,827
2010/08/03,831.857
2010/08/04,826.286
2010/08/05,842
2010/08/06,841
2010/08/07,808.857
2010/08/08,698.286
2010/08/09,665.429
2010/08/10,652.5
2010/08/11,654.429
2010/08/12,658.071
2010/08/13,676.929
2010/08/14,683.214
2010/08/15,669.286
2010/08/16,679.643
2010/08/17,645.357
2010/08/18,645
2010/08/19,620.071
2010/08/20,621.357
2010/08/21,622.357
2010/08/22,622.5
2010/08/23,613.571
2010/08/24,616.571
2010/08/25,602.143
2010/08/26,607.357
2010/08/27,582.357
2010/08/28,579.786
2010/08/29,577.286
2010/08/30,559.429
2010/08/31,576.571
2010/09/01,567.786
2010/09/02,573
2010/09/03,561.857
2010/09/04,556.357
2010/09/05,553.643
2010/09/06,543.5
2010/09/07,527.143
2010/09/08,530.429
2010/09/09,520.571
2010/09/10,523.714
2010/09/11,517
2010/09/12,539.929
2010/09/13,553.929
2010/09/14,548.929
2010/09/15,553.143
2010/09/16,563.286
2010/09/17,599.214
2010/09/18,607.143
2010/09/19,614.714
2010/09/20,628.571
2010/09/21,686.643
2010/09/22,721.929
2010/09/23,760.143
2010/09/24,779.143
2010/09/25,807.143
2010/09/26,800.857
2010/09/27,840.214
2010/09/28,914.143
2010/09/29,952.429
2010/09/30,949.071
2010/10/01,937.929
2010/10/02,953.5
2010/10/03,954.786
2010/10/04,963.571
2010/10/05,927
2010/10/06,902.214
2010/10/07,873.5
2010/10/08,873.929
2010/10/09,868.571
2010/10/10,868.571
2010/10/11,823
2010/10/12,747.786
2010/10/13,728.357
2010/10/14,728.071
2010/10/15,709.071
2010/10/16,720
2010/10/17,725.714
2010/10/18,734.214
2010/10/19,784.5
2010/10/20,819.571
2010/10/21,844.357
2010/10/22,855.714
2010/10/23,861.786
2010/10/24,878.071
2010/10/25,886.714
2010/10/26,902.429
2010/10/27,916.071
2010/10/28,942.071
2010/10/29,961.143
2010/10/30,941.571
2010/10/31,928.714
2010/11/01,903.714
2010/11/02,835.857
2010/11/03,792.357
2010/11/04,764.714
2010/11/05,754.929
2010/11/06,737.857
2010/11/07,726.357
2010/11/08,784.857
2010/11/09,769.286
2010/11/10,736
2010/11/11,707.643
2010/11/12,679.643
2010/11/13,673.929
2010/11/14,697.429
2010/11/15,968.786
2010/11/16,1176
2010/11/17,1184
2010/11/18,1185
2010/11/19,1172
2010/11/20,1185
2010/11/21,1190
2010/11/22,1122
2010/11/23,1123
2010/11/24,1145
2010/11/25,1168
2010/11/26,1221
2010/11/27,1238
2010/11/28,1224
2010/11/29,974.214
2010/11/30,790.786
2010/12/01,821.786
2010/12/02,834.643
2010/12/03,851.786
2010/12/04,847.857
2010/12/05,843.357
2010/12/06,851.214
2010/12/07,885.643
2010/12/08,881.357
2010/12/09,875.857
2010/12/10,835.786
2010/12/11,853.5
2010/12/12,888.357
2010/12/13,943.786
2010/12/14,968.071
2010/12/15,966.357
2010/12/16,976.143
2010/12/17,970.071
2010/12/18,979.286
2010/12/19,1007
2010/12/20,1059
2010/12/21,1056
2010/12/22,1077
2010/12/23,1091
