Date,activeaddresses3ema
2011/05/19,11812
2011/05/20,11706
2011/05/21,11239
2011/05/22,11036
2011/05/23,11564
2011/05/24,12375
2011/05/25,13468
2011/05/26,13972
2011/05/27,12393
2011/05/28,12016
2011/05/29,11606
2011/05/30,12178
2011/05/31,13112
2011/06/01,13547
2011/06/02,14533
2011/06/03,16174
2011/06/04,17796
2011/06/05,17828
2011/06/06,19395
2011/06/07,19180
2011/06/08,23243
2011/06/09,24760
2011/06/10,24452
2011/06/11,24111
2011/06/12,25563
2011/06/13,25686
2011/06/14,27732
2011/06/15,27636
2011/06/16,28252
2011/06/17,27153
2011/06/18,26634
2011/06/19,27200
2011/06/20,26580
2011/06/21,25788
2011/06/22,26276
2011/06/23,25323
2011/06/24,25267
2011/06/25,23948
2011/06/26,23743
2011/06/27,26940
2011/06/28,26560
2011/06/29,25447
2011/06/30,24453
2011/07/01,27333
2011/07/02,29782
2011/07/03,26014
2011/07/04,24786
2011/07/05,24042
2011/07/06,25480
2011/07/07,24211
2011/07/08,24418
2011/07/09,23590
2011/07/10,26149
2011/07/11,26000
2011/07/12,24522
2011/07/13,25848
2011/07/14,27346
2011/07/15,25889
2011/07/16,24971
2011/07/17,24823
2011/07/18,26352
2011/07/19,25626
2011/07/20,25756
2011/07/21,25596
2011/07/22,25025
2011/07/23,23466
2011/07/24,23346
2011/07/25,25153
2011/07/26,24487
2011/07/27,23983
2011/07/28,24942
2011/07/29,23581
2011/07/30,21671
2011/07/31,22904
2011/08/01,23330
2011/08/02,22517
2011/08/03,20463
2011/08/04,19715
2011/08/05,20612
2011/08/06,20422
2011/08/07,20241
2011/08/08,22434
2011/08/09,23051
2011/08/10,21381
2011/08/11,19835
2011/08/12,18481
2011/08/13,18832
2011/08/14,20169
2011/08/15,19695
2011/08/16,20343
2011/08/17,20353
2011/08/18,20514
2011/08/19,21374
2011/08/20,21243
2011/08/21,22014
2011/08/22,23608
2011/08/23,23151
2011/08/24,22640
2011/08/25,22876
2011/08/26,22206
2011/08/27,21532
2011/08/28,20004
2011/08/29,19447
2011/08/30,18491
2011/08/31,17760
2011/09/01,17372
