Date,sentinusd3emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,2617
2010/07/20,2479
2010/07/21,2300
2010/07/22,2435
2010/07/23,1801
2010/07/24,2170
2010/07/25,2332
2010/07/26,3470
2010/07/27,2660
2010/07/28,3336
2010/07/29,2283
2010/07/30,1809
2010/07/31,1417
2010/08/01,8953
2010/08/02,6423
2010/08/03,4426
2010/08/04,3216
2010/08/05,2823
2010/08/06,1989
2010/08/07,1751
2010/08/08,1184
2010/08/09,3122
2010/08/10,2729
2010/08/11,3104
2010/08/12,2094
2010/08/13,2195
2010/08/14,1629
2010/08/15,1374
2010/08/16,2863
2010/08/17,3125
2010/08/18,2852
2010/08/19,2113
2010/08/20,2034
2010/08/21,2292
2010/08/22,1815
2010/08/23,1489
2010/08/24,1430
2010/08/25,1237
2010/08/26,1077
2010/08/27,1464
2010/08/28,1269
2010/08/29,911.139
2010/08/30,903.838
2010/08/31,1696
2010/09/01,1746
2010/09/02,1953
2010/09/03,1886
2010/09/04,1871
2010/09/05,5191
2010/09/06,4945
2010/09/07,3031
2010/09/08,2058
2010/09/09,2073
2010/09/10,1472
2010/09/11,1057
2010/09/12,1102
2010/09/13,4189
2010/09/14,3033
2010/09/15,2743
2010/09/16,2442
2010/09/17,3478
2010/09/18,3048
2010/09/19,3104
2010/09/20,2842
2010/09/21,2292
2010/09/22,2537
2010/09/23,5206
2010/09/24,3204
2010/09/25,2532
2010/09/26,1963
2010/09/27,2018
2010/09/28,3538
2010/09/29,4674
2010/09/30,3623
2010/10/01,3616
2010/10/02,13023
2010/10/03,8832
2010/10/04,21442
2010/10/05,16668
2010/10/06,12110
2010/10/07,10201
2010/10/08,10991
2010/10/09,13702
2010/10/10,12453
2010/10/11,8777
2010/10/12,8076
2010/10/13,9665
2010/10/14,14017
2010/10/15,14515
2010/10/16,17217
2010/10/17,14141
2010/10/18,18242
2010/10/19,22203
2010/10/20,21035
2010/10/21,20028
2010/10/22,16826
2010/10/23,10716
2010/10/24,11200
2010/10/25,13928
2010/10/26,19807
2010/10/27,26992
2010/10/28,30269
2010/10/29,23095
2010/10/30,17199
2010/10/31,14871
