Date,sentbyaddress7ema
2010/07/17,1423
2010/07/18,1173
2010/07/19,1018
2010/07/20,921.525
2010/07/21,801.143
2010/07/22,703.858
2010/07/23,629.143
2010/07/24,633.107
2010/07/25,923.081
2010/07/26,794.31
2010/07/27,700.483
2010/07/28,611.112
2010/07/29,550.084
2010/07/30,485.813
2010/07/31,430.11
2010/08/01,405.332
2010/08/02,387.749
2010/08/03,439.812
2010/08/04,446.109
2010/08/05,470.582
2010/08/06,445.186
2010/08/07,395.14
2010/08/08,393.105
2010/08/09,405.329
2010/08/10,378.746
2010/08/11,374.56
2010/08/12,369.17
2010/08/13,409.127
2010/08/14,395.596
2010/08/15,353.197
2010/08/16,377.147
2010/08/17,362.861
2010/08/18,368.895
2010/08/19,351.922
2010/08/20,360.191
2010/08/21,353.143
2010/08/22,345.858
2010/08/23,347.393
2010/08/24,344.545
2010/08/25,342.909
2010/08/26,335.681
2010/08/27,315.011
2010/08/28,314.008
2010/08/29,295.756
2010/08/30,300.817
2010/08/31,322.363
2010/09/01,333.022
2010/09/02,314.517
2010/09/03,314.637
2010/09/04,296.478
2010/09/05,296.359
2010/09/06,287.269
2010/09/07,276.702
2010/09/08,284.026
2010/09/09,291.27
2010/09/10,296.452
2010/09/11,292.339
2010/09/12,312.504
2010/09/13,348.628
2010/09/14,358.471
2010/09/15,376.353
2010/09/16,373.015
2010/09/17,359.511
2010/09/18,354.133
2010/09/19,343.35
2010/09/20,372.013
2010/09/21,503.759
2010/09/22,573.32
2010/09/23,595.74
2010/09/24,579.305
2010/09/25,575.229
2010/09/26,528.171
2010/09/27,558.379
2010/09/28,526.034
2010/09/29,622.525
2010/09/30,561.894
2010/10/01,574.671
2010/10/02,571.253
2010/10/03,542.19
2010/10/04,520.642
2010/10/05,503.982
2010/10/06,486.736
2010/10/07,451.802
2010/10/08,436.852
2010/10/09,437.639
2010/10/10,427.229
2010/10/11,413.422
2010/10/12,409.066
2010/10/13,408.8
2010/10/14,403.6
2010/10/15,395.7
2010/10/16,410.525
2010/10/17,427.644
2010/10/18,481.733
2010/10/19,639.55
2010/10/20,690.162
2010/10/21,677.372
2010/10/22,685.529
2010/10/23,668.647
2010/10/24,657.985
2010/10/25,608.989
2010/10/26,611.742
2010/10/27,632.556
2010/10/28,622.667
2010/10/29,590.5
2010/10/30,547.125
2010/10/31,485.344
2010/11/01,452.508
2010/11/02,408.381
2010/11/03,394.786
2010/11/04,380.089
2010/11/05,396.067
2010/11/06,399.3
2010/11/07,408.975
2010/11/08,428.481
2010/11/09,419.611
2010/11/10,417.208
2010/11/11,407.656
2010/11/12,373.492
2010/11/13,363.619
2010/11/14,372.714
2010/11/15,1310
2010/11/16,1734
2010/11/17,1414
2010/11/18,1163
2010/11/19,961.667
2010/11/20,873.75
2010/11/21,787.312
2010/11/22,682.984
2010/11/23,604.488
2010/11/24,589.366
2010/11/25,594.775
2010/11/26,663.581
2010/11/27,616.186
2010/11/28,582.139
2010/11/29,553.854
2010/11/30,539.891
2010/12/01,552.168
2010/12/02,533.376
2010/12/03,502.532
2010/12/04,491.649
2010/12/05,482.237
2010/12/06,484.928
2010/12/07,524.696
2010/12/08,537.272
2010/12/09,533.954
2010/12/10,507.965
2010/12/11,557.974
2010/12/12,605.231
2010/12/13,645.423
2010/12/14,682.567
2010/12/15,704.925
2010/12/16,680.194
2010/12/17,638.646
2010/12/18,626.234
2010/12/19,624.676
2010/12/20,725.257
2010/12/21,734.443
2010/12/22,750.582
2010/12/23,739.936
2010/12/24,711.452
2010/12/25,741.339
2010/12/26,749.254
2010/12/27,718.941
2010/12/28,736.456
2010/12/29,708.092
2010/12/30,710.569
2010/12/31,699.927
2011/01/01,730.695
2011/01/02,719.271
2011/01/03,778.453
2011/01/04,795.09
2011/01/05,855.068
2011/01/06,835.051
2011/01/07,860.038
2011/01/08,944.778
2011/01/09,975.834
2011/01/10,1013
2011/01/11,1054
2011/01/12,1034
2011/01/13,1046
2011/01/14,1045
2011/01/15,1060
2011/01/16,1078
2011/01/17,1065
2011/01/18,1062
2011/01/19,1086
2011/01/20,1099
2011/01/21,1177
2011/01/22,1281
2011/01/23,1290
2011/01/24,1364
2011/01/25,1292
2011/01/26,1262
2011/01/27,1211
2011/01/28,1243
2011/01/29,1336
2011/01/30,1702
2011/01/31,1695
2011/02/01,1588
2011/02/02,1460
2011/02/03,1333
2011/02/04,1280
2011/02/05,1212
2011/02/06,1174
2011/02/07,1142
2011/02/08,1116
2011/02/09,1234
2011/02/10,1582
2011/02/11,1927
2011/02/12,2059
2011/02/13,2122
2011/02/14,2221
2011/02/15,2336
2011/02/16,2354
2011/02/17,2453
2011/02/18,2500
2011/02/19,2383
2011/02/20,2397
2011/02/21,2428
2011/02/22,2522
2011/02/23,2618
2011/02/24,2650
2011/02/25,2637
2011/02/26,2586
2011/02/27,2630
2011/02/28,2521
2011/03/01,2796
2011/03/02,2741
2011/03/03,3038
2011/03/04,2906
2011/03/05,2835
2011/03/06,2767
2011/03/07,2708
2011/03/08,2845
2011/03/09,2799
2011/03/10,2687
2011/03/11,2617
2011/03/12,2602
2011/03/13,2533
2011/03/14,2402
2011/03/15,2473
2011/03/16,2457
2011/03/17,2497
2011/03/18,2477
2011/03/19,2513
