Date,transactionvalue3varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,3.945
2010/07/20,2.356
2010/07/21,2.645
2010/07/22,1.157
2010/07/23,2.206
2010/07/24,2.936
2010/07/25,0.481
2010/07/26,13.756
2010/07/27,12.404
2010/07/28,10.748
2010/07/29,2.303
2010/07/30,2.006
2010/07/31,2.246
2010/08/01,382.948
2010/08/02,338.977
2010/08/03,336.071
2010/08/04,7.138
2010/08/05,0.182
2010/08/06,0.456
2010/08/07,0.929
2010/08/08,2.641
2010/08/09,18.554
2010/08/10,18.2
2010/08/11,4.658
2010/08/12,5.761
2010/08/13,5.706
2010/08/14,0.76
2010/08/15,0.654
2010/08/16,10.509
2010/08/17,10.049
2010/08/18,2.677
2010/08/19,6.963
2010/08/20,1.327
2010/08/21,2.073
2010/08/22,2.606
2010/08/23,3.696
2010/08/24,0.052
2010/08/25,0.097
2010/08/26,0.218
2010/08/27,2.933
2010/08/28,2.745
2010/08/29,3.136
2010/08/30,0.18
2010/08/31,2.367
2010/09/01,1.49
2010/09/02,0.671
2010/09/03,0.67
2010/09/04,0.245
2010/09/05,99.377
2010/09/06,70.669
2010/09/07,91.596
2010/09/08,39.514
2010/09/09,1.915
2010/09/10,3.038
2010/09/11,3.906
2010/09/12,0.147
2010/09/13,44.45
2010/09/14,37.636
2010/09/15,30.271
2010/09/16,0.278
2010/09/17,11.656
2010/09/18,10.681
2010/09/19,5.976
2010/09/20,1.972
2010/09/21,7.596
2010/09/22,1.943
2010/09/23,18.181
2010/09/24,17.54
2010/09/25,18.501
2010/09/26,0.265
2010/09/27,0.001
2010/09/28,10.396
2010/09/29,8.029
2010/09/30,3.385
2010/10/01,0.217
2010/10/02,323.654
2010/10/03,286.721
2010/10/04,851.001
2010/10/05,905.076
2010/10/06,787.276
2010/10/07,30.588
2010/10/08,32.472
2010/10/09,45.615
2010/10/10,19.383
2010/10/11,114.76
2010/10/12,43.525
2010/10/13,43.524
2010/10/14,145.834
2010/10/15,67.235
2010/10/16,4.73
2010/10/17,100.442
2010/10/18,76.533
2010/10/19,36.541
2010/10/20,24.521
2010/10/21,9.05
