Date,difficulty30roc
2010/07/17,944.463
2010/07/18,944.463
2010/07/19,944.463
2010/07/20,944.463
2010/07/21,944.463
2010/07/22,944.463
2010/07/23,944.463
2010/07/24,892.507
2010/07/25,835.559
2010/07/26,835.559
2010/07/27,1133
2010/07/28,1159
2010/07/29,1159
2010/07/30,1159
2010/07/31,1159
2010/08/01,1159
2010/08/02,1159
2010/08/03,1159
2010/08/04,1159
2010/08/05,1020
2010/08/06,1398
2010/08/07,1398
2010/08/08,1398
2010/08/09,1398
2010/08/10,1398
2010/08/11,1398
2010/08/12,898.592
2010/08/13,675.928
2010/08/14,675.928
2010/08/15,525.192
2010/08/16,181.902
2010/08/17,181.902
2010/08/18,181.902
2010/08/19,181.902
2010/08/20,181.902
2010/08/21,181.902
2010/08/22,181.902
2010/08/23,181.902
2010/08/24,181.902
2010/08/25,181.902
2010/08/26,115.857
2010/08/27,155.263
2010/08/28,155.263
2010/08/29,155.263
2010/08/30,155.263
2010/08/31,155.263
2010/09/01,155.263
2010/09/02,155.263
2010/09/03,155.263
2010/09/04,140.626
2010/09/05,77.017
2010/09/06,77.017
2010/09/07,77.017
2010/09/08,97.811
2010/09/09,102.431
2010/09/10,102.431
2010/09/11,102.431
2010/09/12,102.431
2010/09/13,102.431
2010/09/14,82.817
2010/09/15,39.297
2010/09/16,39.297
2010/09/17,39.297
2010/09/18,39.297
2010/09/19,74.553
2010/09/20,79.343
2010/09/21,79.343
2010/09/22,79.343
2010/09/23,79.343
2010/09/24,79.343
2010/09/25,77.682
2010/09/26,47.233
2010/09/27,47.233
2010/09/28,56.939
2010/09/29,111.533
2010/09/30,111.533
2010/10/01,111.533
2010/10/02,111.533
2010/10/03,111.533
2010/10/04,111.533
2010/10/05,111.533
2010/10/06,111.533
2010/10/07,111.533
2010/10/08,89.297
2010/10/09,84.977
2010/10/10,84.977
2010/10/11,84.977
2010/10/12,91.208
2010/10/13,93.303
2010/10/14,93.303
2010/10/15,93.303
2010/10/16,93.303
2010/10/17,93.303
2010/10/18,93.303
2010/10/19,54.26
2010/10/20,50.14
2010/10/21,113.818
2010/10/22,134.141
2010/10/23,134.141
2010/10/24,134.141
2010/10/25,134.141
2010/10/26,134.141
2010/10/27,134.141
2010/10/28,119.661
2010/10/29,62.969
2010/10/30,65.806
2010/10/31,134.459
2010/11/01,134.459
2010/11/02,134.459
2010/11/03,134.459
2010/11/04,134.459
2010/11/05,134.459
2010/11/06,134.459
2010/11/07,134.459
2010/11/08,134.459
2010/11/09,178.38
2010/11/10,244.01
2010/11/11,232.799
2010/11/12,229.192
2010/11/13,229.192
2010/11/14,229.192
2010/11/15,229.192
2010/11/16,229.192
2010/11/17,229.192
2010/11/18,256.83
2010/11/19,398.313
2010/11/20,249.907
2010/11/21,219.536
2010/11/22,219.536
2010/11/23,219.536
2010/11/24,219.536
2010/11/25,219.536
2010/11/26,219.536
2010/11/27,219.536
2010/11/28,219.536
