Date,sentinusd3momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,1148
2010/07/21,-490.415
2010/07/22,-1477
2010/07/23,-1175
2010/07/24,418.765
2010/07/25,-77.018
2010/07/26,3442
2010/07/27,-690.196
2010/07/28,1518
2010/07/29,-3378
2010/07/30,-514.398
2010/07/31,-2987
2010/08/01,15259
2010/08/02,2558
2010/08/03,1404
2010/08/04,-14484
2010/08/05,-1463
2010/08/06,-1274
2010/08/07,-491.633
2010/08/08,-1813
2010/08/09,3905
2010/08/10,823.316
2010/08/11,2863
2010/08/12,-3976
2010/08/13,-40.559
2010/08/14,-2416
2010/08/15,35.655
2010/08/16,2055
2010/08/17,2324
2010/08/18,1461
2010/08/19,-2979
2010/08/20,-1432
2010/08/21,-28.729
2010/08/22,-35.636
2010/08/23,-791.566
2010/08/24,-1181
2010/08/25,-293.623
2010/08/26,-245.976
2010/08/27,480.821
2010/08/28,29.33
2010/08/29,-363.859
2010/08/30,-954.438
2010/08/31,1415
2010/09/01,1242
2010/09/02,1264
2010/09/03,-669.59
2010/09/04,60.174
2010/09/05,6350
2010/09/06,2880
2010/09/07,-737.896
2010/09/08,-7425
2010/09/09,-2611
2010/09/10,-247.971
2010/09/11,-443.618
2010/09/12,-940.344
2010/09/13,6405
2010/09/14,1237
2010/09/15,1305
2010/09/16,-5134
2010/09/17,2636
2010/09/18,164.667
2010/09/19,1019
2010/09/20,-1933
2010/09/21,-875
2010/09/22,-378.501
2010/09/23,5295
2010/09/24,-540.231
2010/09/25,-921.439
2010/09/26,-6481
2010/09/27,871.338
2010/09/28,3197
2010/09/29,4415
2010/09/30,499.152
2010/10/01,-1448
2010/10/02,16620
2010/10/03,2068
2010/10/04,30444
2010/10/05,-10535
2010/10/06,2912
2010/10/07,-25761
2010/10/08,-113.948
2010/10/09,8861
2010/10/10,2912
2010/10/11,-6679
2010/10/12,-9038
2010/10/13,49.9
2010/10/14,13267
2010/10/15,7639
2010/10/16,8664
2010/10/17,-7303
2010/10/18,7329
2010/10/19,6247
2010/10/20,8800
2010/10/21,-3320
2010/10/22,-12542
2010/10/23,-15261
