Date,fee_to_reward7trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,-6.866
2010/08/06,-8.452
2010/08/07,3.502
2010/08/08,6.483
2010/08/09,19.276
2010/08/10,16.737
2010/08/11,10.743
2010/08/12,5.254
2010/08/13,0.866
2010/08/14,-2.563
2010/08/15,-5.264
2010/08/16,-5.853
2010/08/17,-6.941
2010/08/18,-3.373
2010/08/19,-2.724
2010/08/20,-3.593
2010/08/21,-5.054
2010/08/22,-6.643
2010/08/23,-8.163
2010/08/24,-6.448
2010/08/25,-6.278
2010/08/26,-6.937
2010/08/27,-7.96
2010/08/28,-9.092
2010/08/29,-8.221
2010/08/30,-5.764
2010/08/31,-4.157
2010/09/01,-3.807
2010/09/02,-4.669
2010/09/03,-6.01
2010/09/04,-7.457
2010/09/05,-8.743
2010/09/06,-9.963
2010/09/07,-11.078
2010/09/08,-12.08
2010/09/09,-11.239
2010/09/10,-11.058
2010/09/11,-11.292
2010/09/12,-8.942
2010/09/13,-8.093
2010/09/14,-8.007
2010/09/15,-8.54
2010/09/16,-9.366
2010/09/17,-10.295
2010/09/18,-5.434
2010/09/19,-3.716
2010/09/20,-3.929
2010/09/21,-5.044
2010/09/22,-6.468
2010/09/23,-7.919
2010/09/24,-9.279
2010/09/25,-10.507
2010/09/26,-11.601
2010/09/27,-11.719
2010/09/28,69.562
2010/09/29,53.662
2010/09/30,31.373
2010/10/01,27.304
2010/10/02,17.821
2010/10/03,10.026
2010/10/04,4.171
2010/10/05,-0.185
2010/10/06,-3.49
2010/10/07,-6.058
2010/10/08,-8.1
2010/10/09,-9.757
2010/10/10,-11.127
2010/10/11,-12.275
2010/10/12,-13.251
2010/10/13,-5.283
2010/10/14,-1.819
2010/10/15,-1.51
2010/10/16,-2.709
2010/10/17,-4.422
2010/10/18,-5.811
