Date,mining_profitability3wma
2010/07/17,0
2010/07/18,0
2010/07/19,400397
2010/07/20,443379
2010/07/21,454580
2010/07/22,392887
2010/07/23,348190
2010/07/24,327138
2010/07/25,323568
2010/07/26,306693
2010/07/27,249210
2010/07/28,235586
2010/07/29,253046
2010/07/30,270882
2010/07/31,287010
2010/08/01,281650
2010/08/02,264867
2010/08/03,245552
2010/08/04,251719
2010/08/05,230477
2010/08/06,184315
2010/08/07,171054
2010/08/08,178493
2010/08/09,184045
2010/08/10,191455
2010/08/11,194774
2010/08/12,195079
2010/08/13,186935
2010/08/14,202898
2010/08/15,162945
2010/08/16,139863
2010/08/17,123646
2010/08/18,131229
2010/08/19,132259
2010/08/20,144158
2010/08/21,134774
2010/08/22,136482
2010/08/23,131410
2010/08/24,130557
2010/08/25,127156
2010/08/26,125314
2010/08/27,109488
2010/08/28,101693
2010/08/29,100482
2010/08/30,102265
2010/08/31,105232
2010/09/01,98783
2010/09/02,98393
2010/09/03,98992
2010/09/04,102386
2010/09/05,99374
2010/09/06,97428
2010/09/07,99338
2010/09/08,96395
2010/09/09,85848
2010/09/10,88772
2010/09/11,86807
2010/09/12,88616
2010/09/13,86299
2010/09/14,91146
2010/09/15,86392
2010/09/16,92062
2010/09/17,86384
2010/09/18,88036
2010/09/19,75781
2010/09/20,69847
2010/09/21,64286
2010/09/22,66551
2010/09/23,73385
2010/09/24,71160
2010/09/25,67151
2010/09/26,66723
2010/09/27,68789
2010/09/28,65371
2010/09/29,52196
2010/09/30,47025
2010/10/01,45373
2010/10/02,41843
2010/10/03,45879
2010/10/04,49049
2010/10/05,47300
2010/10/06,50470
2010/10/07,49120
2010/10/08,52975
2010/10/09,60711
2010/10/10,70587
2010/10/11,70342
2010/10/12,68656
2010/10/13,71572
2010/10/14,77823
2010/10/15,74463
2010/10/16,80483
2010/10/17,76573
2010/10/18,74330
2010/10/19,74436
2010/10/20,75347
2010/10/21,58144
2010/10/22,49320
2010/10/23,47940
2010/10/24,54615
2010/10/25,53481
2010/10/26,61846
2010/10/27,68384
2010/10/28,79347
2010/10/29,83085
2010/10/30,89874
2010/10/31,71697
