Date,sentbyaddress3mom
2010/07/17,-5690
2010/07/18,-785
2010/07/19,-548
2010/07/20,242
2010/07/21,16
2010/07/22,-141
2010/07/23,-227
2010/07/24,205
2010/07/25,1381
2010/07/26,3
2010/07/27,-226
2010/07/28,-1450
2010/07/29,-41
2010/07/30,-126
2010/07/31,-80
2010/08/01,-36
2010/08/02,42
2010/08/03,333
2010/08/04,134
2010/08/05,209
2010/08/06,-227
2010/08/07,-220
2010/08/08,-157
2010/08/09,73
2010/08/10,54
2010/08/11,-25
2010/08/12,-89
2010/08/13,230
2010/08/14,-7
2010/08/15,-127
2010/08/16,-80
2010/08/17,-35
2010/08/18,161
2010/08/19,-148
2010/08/20,65
2010/08/21,-55
2010/08/22,23
2010/08/23,-33
2010/08/24,4
2010/08/25,14
2010/08/26,-38
2010/08/27,-83
2010/08/28,-27
2010/08/29,-73
2010/08/30,63
2010/08/31,76
2010/09/01,124
2010/09/02,-57
2010/09/03,-72
2010/09/04,-123
2010/09/05,37
2010/09/06,-55
2010/09/07,3
2010/09/08,10
2010/09/09,53
2010/09/10,67
2010/09/11,-26
2010/09/12,60
2010/09/13,145
2010/09/14,108
2010/09/15,57
2010/09/16,-94
2010/09/17,-69
2010/09/18,-92
2010/09/19,-52
2010/09/20,139
2010/09/21,561
2010/09/22,471
2010/09/23,205
2010/09/24,-369
2010/09/25,-219
2010/09/26,-276
2010/09/27,119
2010/09/28,-134
2010/09/29,525
2010/09/30,-269
2010/10/01,184
2010/10/02,-351
2010/10/03,75
2010/10/04,-157
2010/10/05,-107
2010/10/06,-20
2010/10/07,-109
2010/10/08,-62
2010/10/09,5
2010/10/10,49
2010/10/11,-20
2010/10/12,-44
2010/10/13,12
2010/10/14,16
2010/10/15,-24
2010/10/16,47
2010/10/17,91
2010/10/18,272
2010/10/19,658
2010/10/20,363
2010/10/21,-5
2010/10/22,-403
2010/10/23,-224
2010/10/24,-13
2010/10/25,-248
2010/10/26,2
2010/10/27,69
2010/10/28,131
2010/10/29,-126
2010/10/30,-278
2010/10/31,-293
2010/11/01,-140
2010/11/02,-141
2010/11/03,54
2010/11/04,-18
2010/11/05,168
2010/11/06,55
2010/11/07,102
2010/11/08,43
2010/11/09,-16
2010/11/10,-28
2010/11/11,-108
2010/11/12,-122
2010/11/13,-76
2010/11/14,21
2010/11/15,3850
2010/11/16,2672
2010/11/17,53
2010/11/18,-3709
2010/11/19,-2649
2010/11/20,157
2010/11/21,116
2010/11/22,13
2010/11/23,-241
2010/11/24,16
2010/11/25,241
2010/11/26,501
2010/11/27,-70
2010/11/28,-131
2010/11/29,-401
2010/11/30,24
2010/12/01,109
2010/12/02,8
2010/12/03,-88
2010/12/04,-130
2010/12/05,-23
2010/12/06,83
2010/12/07,185
2010/12/08,121
2010/12/09,31
2010/12/10,-214
2010/12/11,133
2010/12/12,223
2010/12/13,336
2010/12/14,86
2010/12/15,25
2010/12/16,-160
2010/12/17,-280
2010/12/18,-183
2010/12/19,14
2010/12/20,513
2010/12/21,173
2010/12/22,179
2010/12/23,-319
2010/12/24,-136
2010/12/25,32
2010/12/26,65
2010/12/27,2
2010/12/28,-42
2010/12/29,-150
2010/12/30,90
2010/12/31,-121
2011/01/01,200
2011/01/02,-33
2011/01/03,288
2011/01/04,22
2011/01/05,350
2011/01/06,-181
2011/01/07,90
2011/01/08,164
2011/01/09,294
2011/01/10,191
2011/01/11,-25
2011/01/12,-95
2011/01/13,-43
2011/01/14,-133
2011/01/15,133
2011/01/16,47
2011/01/17,-16
2011/01/18,-53
2011/01/19,27
2011/01/20,112
2011/01/21,357
2011/01/22,437
2011/01/23,181
2011/01/24,174
2011/01/25,-519
2011/01/26,-147
2011/01/27,-527
2011/01/28,264
2011/01/29,444
2011/01/30,1744
2011/01/31,333
2011/02/01,-349
2011/02/02,-1726
2011/02/03,-719
2011/02/04,-144
2011/02/05,-67
2011/02/06,104
2011/02/07,-76
2011/02/08,29
2011/02/09,531
2011/02/10,1579
2011/02/11,1926
2011/02/12,867
2011/02/13,-314
2011/02/14,-448
2011/02/15,226
2011/02/16,96
2011/02/17,237
2011/02/18,-41
2011/02/19,-377
2011/02/20,-312
2011/02/21,-118
2011/02/22,773
2011/02/23,464
2011/02/24,225
2011/02/25,-205
2011/02/26,-473
2011/02/27,15
2011/02/28,-402
2011/03/01,1189
2011/03/02,-188
2011/03/03,1734
2011/03/04,-1113
2011/03/05,48
2011/03/06,-1365
2011/03/07,23
2011/03/08,633
2011/03/09,96
2011/03/10,-179
2011/03/11,-849
2011/03/12,-105
2011/03/13,-23
2011/03/14,-400
2011/03/15,130
