Date,difficulty30mom
2010/07/17,164.162
2010/07/18,164.162
2010/07/19,164.162
2010/07/20,164.162
2010/07/21,164.162
2010/07/22,164.162
2010/07/23,164.162
2010/07/24,163.252
2010/07/25,162.138
2010/07/26,162.138
2010/07/27,219.901
2010/07/28,224.808
2010/07/29,224.808
2010/07/30,224.808
2010/07/31,224.808
2010/08/01,224.808
2010/08/02,224.808
2010/08/03,224.808
2010/08/04,224.808
2010/08/05,235.931
2010/08/06,328.66
2010/08/07,328.66
2010/08/08,328.66
2010/08/09,328.66
2010/08/10,328.66
2010/08/11,328.66
2010/08/12,316.895
2010/08/13,306.775
2010/08/14,306.775
2010/08/15,327.572
2010/08/16,330.23
2010/08/17,330.23
2010/08/18,330.23
2010/08/19,330.23
2010/08/20,330.23
2010/08/21,330.23
2010/08/22,330.23
2010/08/23,330.23
2010/08/24,330.23
2010/08/25,330.23
2010/08/26,277.252
2010/08/27,379.174
2010/08/28,379.174
2010/08/29,379.174
2010/08/30,379.174
2010/08/31,379.174
2010/09/01,379.174
2010/09/02,379.174
2010/09/03,379.174
2010/09/04,364.319
2010/09/05,271.226
2010/09/06,271.226
2010/09/07,271.226
2010/09/08,344.451
2010/09/09,360.724
2010/09/10,360.724
2010/09/11,360.724
2010/09/12,360.724
2010/09/13,360.724
2010/09/14,322.941
2010/09/15,201.111
2010/09/16,201.111
2010/09/17,201.111
2010/09/18,201.111
2010/09/19,381.542
2010/09/20,406.057
2010/09/21,406.057
2010/09/22,406.057
2010/09/23,406.057
2010/09/24,406.057
2010/09/25,401.274
2010/09/26,294.444
2010/09/27,294.444
2010/09/28,354.948
2010/09/29,695.283
2010/09/30,695.283
2010/10/01,695.283
2010/10/02,695.283
2010/10/03,695.283
2010/10/04,695.283
2010/10/05,695.283
2010/10/06,695.283
2010/10/07,695.283
2010/10/08,622.058
2010/10/09,605.785
2010/10/10,605.785
2010/10/11,605.785
2010/10/12,650.208
2010/10/13,665.143
2010/10/14,665.143
2010/10/15,665.143
2010/10/16,665.143
2010/10/17,665.143
2010/10/18,665.143
2010/10/19,484.712
2010/10/20,460.197
2010/10/21,1045
2010/10/22,1231
2010/10/23,1231
2010/10/24,1231
2010/10/25,1231
2010/10/26,1231
2010/10/27,1231
2010/10/28,1171
2010/10/29,830.352
2010/10/30,867.761
2010/10/31,1773
2010/11/01,1773
2010/11/02,1773
2010/11/03,1773
2010/11/04,1773
2010/11/05,1773
2010/11/06,1773
2010/11/07,1773
2010/11/08,1773
2010/11/09,2352
2010/11/10,3218
2010/11/11,3173
2010/11/12,3158
2010/11/13,3158
2010/11/14,3158
2010/11/15,3158
2010/11/16,3158
2010/11/17,3158
2010/11/18,3539
2010/11/19,5489
2010/11/20,4904
2010/11/21,4718
2010/11/22,4718
2010/11/23,4718
2010/11/24,4718
2010/11/25,4718
2010/11/26,4718
2010/11/27,4718
2010/11/28,4718
2010/11/29,4680
2010/11/30,4075
2010/12/01,4986
2010/12/02,4986
2010/12/03,4986
2010/12/04,4986
2010/12/05,4986
2010/12/06,4986
2010/12/07,4986
2010/12/08,4986
2010/12/09,4557
2010/12/10,7716
2010/12/11,7716
2010/12/12,7716
2010/12/13,7716
2010/12/14,7716
2010/12/15,7716
2010/12/16,7716
2010/12/17,7716
2010/12/18,7335
2010/12/19,5385
2010/12/20,5385
2010/12/21,5740
2010/12/22,7617
2010/12/23,7617
2010/12/24,7617
2010/12/25,7617
2010/12/26,7617
2010/12/27,7617
2010/12/28,7617
2010/12/29,7617
2010/12/30,7317
2010/12/31,6406
2011/01/01,6406
2011/01/02,6406
2011/01/03,7832
2011/01/04,8229
2011/01/05,8229
2011/01/06,8229
2011/01/07,8229
2011/01/08,8079
2011/01/09,4055
2011/01/10,4055
2011/01/11,4055
2011/01/12,4055
2011/01/13,4055
2011/01/14,4055
2011/01/15,4951
2011/01/16,6186
2011/01/17,6186
2011/01/18,6186
2011/01/19,6186
2011/01/20,5831
2011/01/21,3953
2011/01/22,3953
2011/01/23,3953
2011/01/24,3953
2011/01/25,3953
2011/01/26,3953
2011/01/27,6054
2011/01/28,7528
2011/01/29,7528
2011/01/30,7528
2011/01/31,7528
2011/02/01,7528
2011/02/02,6102
2011/02/03,5705
2011/02/04,5705
2011/02/05,5705
2011/02/06,5705
2011/02/07,5705
2011/02/08,8694
2011/02/09,9690
2011/02/10,9690
2011/02/11,9690
2011/02/12,9690
2011/02/13,9690
2011/02/14,8795
2011/02/15,7560
2011/02/16,7560
2011/02/17,7560
2011/02/18,15653
2011/02/19,18022
2011/02/20,18022
2011/02/21,18022
2011/02/22,18022
2011/02/23,18022
2011/02/24,18022
2011/02/25,18022
2011/02/26,15922
2011/02/27,22836
2011/02/28,33577
2011/03/01,33577
