Date,mining_profitability3var
2010/07/17,0
2010/07/18,0
2010/07/19,19406616437
2010/07/20,1078498012
2010/07/21,414508659
2010/07/22,2910643234
2010/07/23,4004639819
2010/07/24,38564013
2010/07/25,19590478
2010/07/26,294332250
2010/07/27,2699162122
2010/07/28,1387985588
2010/07/29,1070020578
2010/07/30,266203437
2010/07/31,97201432
2010/08/01,122599327
2010/08/02,402919290
2010/08/03,255180727
2010/08/04,149152473
2010/08/05,555811067
2010/08/06,2463825597
2010/08/07,680881394
2010/08/08,410764353
2010/08/09,28323881
2010/08/10,46370990
2010/08/11,56787805
2010/08/12,5260615
2010/08/13,53610628
2010/08/14,308052298
2010/08/15,1807811194
2010/08/16,2195956848
2010/08/17,13149144
2010/08/18,39148921
2010/08/19,36505660
2010/08/20,95609348
2010/08/21,182920112
2010/08/22,171699739
2010/08/23,49674373
2010/08/24,26466685
2010/08/25,2232254
2010/08/26,3730069
2010/08/27,205302459
2010/08/28,168637923
2010/08/29,13471542
2010/08/30,3502818
2010/08/31,4901686
2010/09/01,44500874
2010/09/02,42612508
2010/09/03,17098076
2010/09/04,3534963
2010/09/05,12558715
2010/09/06,15191679
2010/09/07,9677745
2010/09/08,17819941
2010/09/09,119802789
2010/09/10,76309188
2010/09/11,68409376
2010/09/12,23967853
2010/09/13,4405018
2010/09/14,19451825
2010/09/15,41155855
2010/09/16,62877200
2010/09/17,72989484
2010/09/18,55515111
2010/09/19,103881605
2010/09/20,128413330
2010/09/21,2522645
2010/09/22,7348361
2010/09/23,49907729
2010/09/24,34249446
2010/09/25,50223908
2010/09/26,4713857
2010/09/27,8346611
2010/09/28,17685380
2010/09/29,156547322
2010/09/30,72872368
2010/10/01,8303213
2010/10/02,18444767
2010/10/03,33845441
2010/10/04,43780000
2010/10/05,14861435
2010/10/06,24233238
2010/10/07,24029419
2010/10/08,16061779
2010/10/09,74732567
2010/10/10,72545145
2010/10/11,20495396
2010/10/12,22320822
2010/10/13,18738922
2010/10/14,39135997
2010/10/15,32445010
2010/10/16,65618752
2010/10/17,70464922
2010/10/18,57556203
2010/10/19,6921522
2010/10/20,5609355
2010/10/21,288410196
