Date,sentbyaddress3rsi
2011/05/02,33.911
2011/05/03,36.489
2011/05/04,38.494
2011/05/05,65.447
2011/05/06,64.8
2011/05/07,76.185
2011/05/08,32.625
2011/05/09,61.142
2011/05/10,46.598
2011/05/11,43.856
2011/05/12,53.911
2011/05/13,83.787
2011/05/14,88.071
2011/05/15,55.126
2011/05/16,79.266
2011/05/17,78.816
2011/05/18,90.636
2011/05/19,57.562
2011/05/20,59.525
2011/05/21,64.79
2011/05/22,73.24
2011/05/23,83.379
2011/05/24,89.703
2011/05/25,94.026
2011/05/26,96.025
2011/05/27,26.542
2011/05/28,36.683
2011/05/29,31.388
2011/05/30,60.414
2011/05/31,71.493
2011/06/01,80.124
2011/06/02,86.971
2011/06/03,93.769
2011/06/04,95.623
2011/06/05,76.601
2011/06/06,88.372
2011/06/07,57.174
2011/06/08,84.506
2011/06/09,87.385
2011/06/10,63.071
2011/06/11,55.767
2011/06/12,76.757
2011/06/13,54.076
2011/06/14,78.925
2011/06/15,56.665
2011/06/16,61.716
2011/06/17,36.457
2011/06/18,35.502
2011/06/19,50.911
2011/06/20,33.906
2011/06/21,20.727
2011/06/22,58.923
2011/06/23,37.483
2011/06/24,46.603
2011/06/25,28.268
2011/06/26,27.813
2011/06/27,76.474
2011/06/28,51.045
2011/06/29,36.342
2011/06/30,32.862
2011/07/01,41.092
2011/07/02,16.061
2011/07/03,33.162
2011/07/04,58.389
2011/07/05,50.167
2011/07/06,71.155
2011/07/07,35.371
2011/07/08,35.849
2011/07/09,21.529
2011/07/10,33.479
2011/07/11,72.769
2011/07/12,40.622
2011/07/13,57.65
2011/07/14,53.396
2011/07/15,33.45
2011/07/16,51.762
2011/07/17,38.249
2011/07/18,58.442
2011/07/19,58.219
2011/07/20,54.166
2011/07/21,26.882
2011/07/22,60.323
2011/07/23,28.904
2011/07/24,45.428
2011/07/25,69.736
2011/07/26,47.281
2011/07/27,41.229
2011/07/28,48.657
2011/07/29,27.482
2011/07/30,13.043
2011/07/31,60.017
2011/08/01,58.631
2011/08/02,70.459
2011/08/03,38.692
2011/08/04,48.462
2011/08/05,36.291
2011/08/06,21.465
2011/08/07,33.325
2011/08/08,51.605
2011/08/09,82.082
2011/08/10,61.839
2011/08/11,43.61
2011/08/12,31.615
2011/08/13,48.908
2011/08/14,54.912
2011/08/15,66.794
2011/08/16,83.328
2011/08/17,36.189
2011/08/18,43.746
2011/08/19,36.641
2011/08/20,29.93
2011/08/21,47.339
2011/08/22,63.521
2011/08/23,37.564
2011/08/24,37.854
2011/08/25,29.739
2011/08/26,39.471
2011/08/27,13.005
2011/08/28,6.65
2011/08/29,66.363
2011/08/30,69.431
2011/08/31,56.565
2011/09/01,46.208
2011/09/02,38.801
2011/09/03,18.661
2011/09/04,60.6
2011/09/05,53.145
2011/09/06,75.879
2011/09/07,45.449
2011/09/08,33.741
2011/09/09,54.459
2011/09/10,30.699
2011/09/11,43.522
2011/09/12,50.933
2011/09/13,36.133
2011/09/14,30.414
2011/09/15,53.246
2011/09/16,31.765
2011/09/17,19.132
2011/09/18,51.434
2011/09/19,66.425
2011/09/20,81.682
2011/09/21,65.124
2011/09/22,30.282
2011/09/23,35.744
2011/09/24,25.471
2011/09/25,20.457
2011/09/26,33.377
2011/09/27,54.47
2011/09/28,56.683
2011/09/29,28.684
2011/09/30,49.783
2011/10/01,28.184
2011/10/02,18.439
2011/10/03,70.066
2011/10/04,48.49
2011/10/05,58.172
2011/10/06,61.969
2011/10/07,50.261
2011/10/08,25.446
2011/10/09,29.832
2011/10/10,61.656
2011/10/11,69.301
2011/10/12,58.225
2011/10/13,19.093
2011/10/14,62.139
2011/10/15,49.362
2011/10/16,29.064
2011/10/17,59.189
2011/10/18,36.109
2011/10/19,42.898
2011/10/20,30.05
2011/10/21,51.975
2011/10/22,50.489
2011/10/23,69.38
2011/10/24,78.779
2011/10/25,50.653
2011/10/26,37.234
2011/10/27,21.585
2011/10/28,45.117
2011/10/29,66.125
2011/10/30,35.472
2011/10/31,52.776
2011/11/01,64.133
2011/11/02,69.462
2011/11/03,69.661
2011/11/04,90.353
2011/11/05,48.13
2011/11/06,28.51
2011/11/07,41.862
2011/11/08,63.573
2011/11/09,72.93
2011/11/10,73.301
2011/11/11,25.749
2011/11/12,31.816
2011/11/13,33.244
2011/11/14,65.23
2011/11/15,73.388
2011/11/16,50.34
2011/11/17,24.521
2011/11/18,42.475
2011/11/19,17.384
2011/11/20,29.137
2011/11/21,23.129
2011/11/22,51.453
2011/11/23,50.43
2011/11/24,32.84
2011/11/25,60.62
2011/11/26,33.046
2011/11/27,48.494
2011/11/28,75.831
2011/11/29,85.349
2011/11/30,81.487
2011/12/01,60.709
2011/12/02,55.16
2011/12/03,27.165
2011/12/04,21.76
2011/12/05,58.446
2011/12/06,84.327
2011/12/07,41.782
2011/12/08,37.1
2011/12/09,34.876
2011/12/10,38.571
2011/12/11,25.089
2011/12/12,20.4
2011/12/13,34.034
2011/12/14,63.762
2011/12/15,25.107
2011/12/16,40.909
