Date,activeaddresses90ema
2010/07/17,642.104
2010/07/18,648.146
2010/07/19,655.263
2010/07/20,660.774
2010/07/21,664.032
2010/07/22,662.602
2010/07/23,662.369
2010/07/24,668.999
2010/07/25,701.153
2010/07/26,712.951
2010/07/27,714.227
2010/07/28,713.343
2010/07/29,709.27
2010/07/30,706.494
2010/07/31,701.407
2010/08/01,699.617
2010/08/02,698.021
2010/08/03,704.087
2010/08/04,704.678
2010/08/05,707.191
2010/08/06,705.67
2010/08/07,701.458
2010/08/08,698.876
2010/08/09,700.615
2010/08/10,698.184
2010/08/11,698.246
2010/08/12,695.625
2010/08/13,698.952
2010/08/14,695.964
2010/08/15,690.009
2010/08/16,691.811
2010/08/17,687.463
2010/08/18,688.31
2010/08/19,683.512
2010/08/20,682.908
2010/08/21,679.503
2010/08/22,677.448
2010/08/23,676.911
2010/08/24,675.924
2010/08/25,672.035
2010/08/26,671.595
2010/08/27,667.758
2010/08/28,664.664
2010/08/29,658.628
2010/08/30,655.625
2010/08/31,657.347
2010/09/01,656.153
2010/09/02,653.666
2010/09/03,650.289
2010/09/04,645.909
2010/09/05,643.757
2010/09/06,640.839
2010/09/07,635.612
2010/09/08,633.62
2010/09/09,630.991
2010/09/10,629.014
2010/09/11,624.706
2010/09/12,626.602
2010/09/13,628.611
2010/09/14,629.389
2010/09/15,630.105
2010/09/16,631.312
2010/09/17,639.481
2010/09/18,637.778
2010/09/19,638.135
2010/09/20,639.604
2010/09/21,652.272
2010/09/22,660.772
2010/09/23,669.304
2010/09/24,672.33
2010/09/25,675.686
2010/09/26,674.528
2010/09/27,687.593
2010/09/28,709.822
2010/09/29,720.551
2010/09/30,718.737
2010/10/01,721.556
2010/10/02,722.84
2010/10/03,721.723
2010/10/04,724.059
2010/10/05,723.618
2010/10/06,722.923
2010/10/07,721.254
2010/10/08,723.271
2010/10/09,723.858
2010/10/10,721.641
2010/10/11,719.649
2010/10/12,718.031
2010/10/13,722.601
2010/10/14,720.654
2010/10/15,717.585
2010/10/16,722.319
2010/10/17,722.972
2010/10/18,727.895
2010/10/19,742.843
2010/10/20,752.516
2010/10/21,757.824
2010/10/22,762.531
2010/10/23,764.124
2010/10/24,766.033
2010/10/25,765.725
2010/10/26,767.928
2010/10/27,775.6
2010/10/28,780.488
2010/10/29,781.972
2010/10/30,779.269
2010/10/31,774.714
2010/11/01,770.808
2010/11/02,763.933
2010/11/03,759.759
2010/11/04,756.402
2010/11/05,758.129
2010/11/06,754.566
2010/11/07,753.147
2010/11/08,771.122
2010/11/09,768.416
2010/11/10,765.835
2010/11/11,762.212
2010/11/12,755.482
2010/11/13,751.604
2010/11/14,754.887
2010/11/15,834.911
2010/11/16,890.518
2010/11/17,885.781
2010/11/18,880.204
2010/11/19,874.946
2010/11/20,872.947
2010/11/21,870.421
2010/11/22,865.005
2010/11/23,860.5
2010/11/24,862.752
2010/11/25,863.835
2010/11/26,871.157
2010/11/27,870.077
2010/11/28,866.471
2010/11/29,867.208
2010/11/30,865.665
2010/12/01,871.013
2010/12/02,869.716
2010/12/03,869.964
2010/12/04,866.866
2010/12/05,863.088
2010/12/06,860.251
2010/12/07,866.443
2010/12/08,867.247
2010/12/09,866.538
2010/12/10,861.471
2010/12/11,866.054
2010/12/12,873.262
2010/12/13,890.905
2010/12/14,896.313
2010/12/15,900.46
2010/12/16,901.527
2010/12/17,899.208
2010/12/18,898.302
2010/12/19,902.471
2010/12/20,914.747
2010/12/21,918.576
2010/12/22,924.981
2010/12/23,927.026
2010/12/24,925.355
2010/12/25,928.666
2010/12/26,930.849
2010/12/27,935.446
2010/12/28,937.524
2010/12/29,938.677
2010/12/30,942.025
2010/12/31,941.057
2011/01/01,944.045
2011/01/02,946.396
2011/01/03,956.321
