Date,mediantransactionvalue30wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,2.217
2010/08/16,2.393
2010/08/17,2.481
2010/08/18,2.567
2010/08/19,2.641
2010/08/20,2.715
2010/08/21,2.79
2010/08/22,2.858
2010/08/23,2.92
2010/08/24,2.976
2010/08/25,3.027
2010/08/26,2.885
2010/08/27,2.931
2010/08/28,2.804
2010/08/29,2.656
2010/08/30,2.503
2010/08/31,2.536
2010/09/01,2.413
2010/09/02,2.453
2010/09/03,2.684
2010/09/04,2.908
2010/09/05,2.928
2010/09/06,2.942
2010/09/07,2.949
2010/09/08,2.76
2010/09/09,2.768
2010/09/10,2.6
2010/09/11,2.434
2010/09/12,2.264
2010/09/13,2.144
2010/09/14,2.181
2010/09/15,2.157
2010/09/16,2.2
2010/09/17,2.237
2010/09/18,2.275
2010/09/19,2.444
2010/09/20,2.334
2010/09/21,2.191
2010/09/22,2.048
2010/09/23,1.977
2010/09/24,1.92
2010/09/25,1.793
2010/09/26,1.68
2010/09/27,1.566
2010/09/28,1.601
2010/09/29,1.891
2010/09/30,1.829
2010/10/01,1.743
2010/10/02,1.615
2010/10/03,1.822
2010/10/04,2.818
2010/10/05,3.624
2010/10/06,3.648
2010/10/07,4.291
2010/10/08,4.906
2010/10/09,5.466
2010/10/10,5.843
2010/10/11,5.985
2010/10/12,5.974
2010/10/13,6.006
2010/10/14,11.707
2010/10/15,15.237
2010/10/16,22.268
2010/10/17,23.048
2010/10/18,23.128
2010/10/19,22.442
2010/10/20,21.825
2010/10/21,21.207
2010/10/22,20.322
2010/10/23,19.502
2010/10/24,18.629
2010/10/25,23.097
2010/10/26,28.204
