Date,size30var
2010/07/17,227260
2010/07/18,228390
2010/07/19,230471
2010/07/20,235153
2010/07/21,233658
2010/07/22,232025
2010/07/23,229916
2010/07/24,253396
2010/07/25,459180
2010/07/26,453122
2010/07/27,445563
2010/07/28,658525
2010/07/29,727276
2010/07/30,728983
2010/07/31,724924
2010/08/01,731375
2010/08/02,727840
2010/08/03,720769
2010/08/04,716286
2010/08/05,701148
2010/08/06,692231
2010/08/07,682275
2010/08/08,673704
2010/08/09,667286
2010/08/10,668331
2010/08/11,677730
2010/08/12,679934
2010/08/13,567292
2010/08/14,574371
2010/08/15,580523
2010/08/16,579174
2010/08/17,581396
2010/08/18,616333
2010/08/19,620465
2010/08/20,621142
2010/08/21,622079
2010/08/22,623837
2010/08/23,620306
2010/08/24,440023
2010/08/25,445559
2010/08/26,447868
2010/08/27,218644
2010/08/28,117217
2010/08/29,119322
2010/08/30,117998
2010/08/31,118797
2010/09/01,117787
2010/09/02,117595
2010/09/03,117351
2010/09/04,118140
2010/09/05,118530
2010/09/06,119432
2010/09/07,120135
2010/09/08,92715
2010/09/09,92005
2010/09/10,91508
2010/09/11,91007
2010/09/12,89878
2010/09/13,89629
2010/09/14,87627
2010/09/15,82837
2010/09/16,83116
2010/09/17,19850
2010/09/18,20553
2010/09/19,20799
2010/09/20,20995
2010/09/21,49638
2010/09/22,60622
2010/09/23,60593
2010/09/24,58623
2010/09/25,58613
2010/09/26,57538
2010/09/27,59847
2010/09/28,66035
2010/09/29,136742
2010/09/30,135232
2010/10/01,138549
2010/10/02,172823
2010/10/03,170187
2010/10/04,164517
2010/10/05,162320
2010/10/06,158925
2010/10/07,154968
2010/10/08,151739
2010/10/09,150844
2010/10/10,149508
2010/10/11,146417
2010/10/12,146438
2010/10/13,146010
2010/10/14,146620
2010/10/15,150384
2010/10/16,150007
2010/10/17,154384
2010/10/18,148954
2010/10/19,146294
2010/10/20,144750
2010/10/21,130800
2010/10/22,131246
2010/10/23,131112
2010/10/24,128773
2010/10/25,130256
2010/10/26,129285
2010/10/27,129181
2010/10/28,126444
2010/10/29,67069
2010/10/30,71055
2010/10/31,70790
2010/11/01,36773
2010/11/02,38841
2010/11/03,39510
2010/11/04,38555
2010/11/05,38559
2010/11/06,39667
2010/11/07,39962
2010/11/08,39271
2010/11/09,39898
2010/11/10,40575
2010/11/11,41677
