Date,sentinusd30stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,5591
2010/08/16,5590
2010/08/17,5593
2010/08/18,5576
2010/08/19,5598
2010/08/20,5601
2010/08/21,5601
2010/08/22,5595
2010/08/23,5625
2010/08/24,5646
2010/08/25,5630
2010/08/26,5656
2010/08/27,5635
2010/08/28,5640
2010/08/29,5668
2010/08/30,5673
2010/08/31,2239
2010/09/01,2123
2010/09/02,2117
2010/09/03,2117
2010/09/04,2107
2010/09/05,3162
2010/09/06,3285
2010/09/07,3257
2010/09/08,3108
2010/09/09,3107
2010/09/10,3094
2010/09/11,3116
2010/09/12,3129
2010/09/13,3643
2010/09/14,3624
2010/09/15,3536
2010/09/16,3506
2010/09/17,3609
2010/09/18,3601
2010/09/19,3616
2010/09/20,3616
2010/09/21,3606
2010/09/22,3587
2010/09/23,4087
2010/09/24,4080
2010/09/25,4044
2010/09/26,4058
2010/09/27,4025
2010/09/28,4048
2010/09/29,4136
2010/09/30,4135
2010/10/01,4122
2010/10/02,8103
2010/10/03,8082
2010/10/04,13524
2010/10/05,13702
2010/10/06,13734
2010/10/07,13705
2010/10/08,13810
2010/10/09,14274
2010/10/10,14253
2010/10/11,14101
2010/10/12,13959
2010/10/13,14050
2010/10/14,14503
2010/10/15,14625
2010/10/16,15081
2010/10/17,15035
2010/10/18,15629
2010/10/19,16568
2010/10/20,16682
2010/10/21,16600
2010/10/22,16315
2010/10/23,16456
2010/10/24,16004
2010/10/25,15648
2010/10/26,15808
2010/10/27,16962
2010/10/28,17960
2010/10/29,17619
2010/10/30,17032
2010/10/31,16471
2010/11/01,16536
2010/11/02,16086
