Date,sentinusd90wmaUSD
2011/04/30,440327
2011/05/01,444769
2011/05/02,445723
2011/05/03,451981
2011/05/04,465617
2011/05/05,469618
2011/05/06,482684
2011/05/07,491843
2011/05/08,527298
2011/05/09,531451
2011/05/10,582617
2011/05/11,595022
2011/05/12,612287
2011/05/13,674620
2011/05/14,964777
2011/05/15,998695
2011/05/16,1030128
2011/05/17,1050968
2011/05/18,1063595
2011/05/19,1074913
2011/05/20,1106044
2011/05/21,1175303
2011/05/22,1281884
2011/05/23,1332940
2011/05/24,1370344
2011/05/25,1417116
2011/05/26,1473896
2011/05/27,1553846
2011/05/28,1573010
2011/05/29,1598921
2011/05/30,1626511
2011/05/31,1656737
2011/06/01,1687555
2011/06/02,1741727
2011/06/03,1883727
2011/06/04,2029408
2011/06/05,2215984
2011/06/06,2505265
2011/06/07,2714216
2011/06/08,3140704
2011/06/09,3596817
2011/06/10,4084168
2011/06/11,4655818
2011/06/12,5264045
2011/06/13,5730593
2011/06/14,6316390
2011/06/15,8036620
2011/06/16,11449478
2011/06/17,11871862
2011/06/18,12179186
2011/06/19,13750340
2011/06/20,14077264
2011/06/21,15138088
2011/06/22,15442078
2011/06/23,15853042
2011/06/24,17434996
2011/06/25,21217703
2011/06/26,22460642
2011/06/27,22859357
2011/06/28,25110556
2011/06/29,25823075
2011/06/30,26034593
2011/07/01,26081717
2011/07/02,26034242
2011/07/03,25883810
2011/07/04,25974223
2011/07/05,25743554
2011/07/06,25564768
2011/07/07,25361727
2011/07/08,25103621
2011/07/09,25401565
2011/07/10,25817687
2011/07/11,25766644
2011/07/12,25721325
2011/07/13,25779743
2011/07/14,25986657
2011/07/15,25777975
2011/07/16,25762541
2011/07/17,25531840
2011/07/18,26099707
2011/07/19,26512033
2011/07/20,26260192
2011/07/21,26242324
2011/07/22,26284999
2011/07/23,26039081
2011/07/24,25774097
2011/07/25,25784102
2011/07/26,25709699
2011/07/27,25657209
2011/07/28,26233529
2011/07/29,25982805
2011/07/30,25622042
2011/07/31,25339506
2011/08/01,25036702
2011/08/02,24684991
2011/08/03,24317944
2011/08/04,23924606
2011/08/05,23571893
2011/08/06,23174729
2011/08/07,22767187
2011/08/08,22480122
2011/08/09,22497844
2011/08/10,22275505
2011/08/11,21904594
2011/08/12,21499851
2011/08/13,21092764
2011/08/14,20723124
2011/08/15,20329597
2011/08/16,19942507
2011/08/17,19545467
2011/08/18,19166145
2011/08/19,18827710
2011/08/20,18408292
2011/08/21,17993335
2011/08/22,17584633
2011/08/23,17214705
2011/08/24,16872778
2011/08/25,16480423
2011/08/26,16058478
2011/08/27,16080553
2011/08/28,15634643
2011/08/29,15200335
2011/08/30,14765254
2011/08/31,14333378
2011/09/01,13911830
2011/09/02,13479188
2011/09/03,13043060
2011/09/04,12884682
2011/09/05,12799869
2011/09/06,12822649
2011/09/07,12441446
2011/09/08,12026167
2011/09/09,11608455
2011/09/10,11174789
2011/09/11,10838213
2011/09/12,10469724
2011/09/13,10071375
2011/09/14,9683891
2011/09/15,9331448
2011/09/16,9022361
2011/09/17,8683145
2011/09/18,8357895
2011/09/19,8044388
2011/09/20,7749904
2011/09/21,7466487
2011/09/22,7176032
2011/09/23,6908862
2011/09/24,6672229
2011/09/25,6458933
2011/09/26,6249878
2011/09/27,6083023
2011/09/28,5918917
2011/09/29,5757517
2011/09/30,5596722
2011/10/01,5453892
2011/10/02,5301465
2011/10/03,5162889
2011/10/04,5026202
2011/10/05,4888770
2011/10/06,4764919
2011/10/07,4623106
2011/10/08,4476267
2011/10/09,4339005
2011/10/10,4206506
2011/10/11,4078201
2011/10/12,3953630
2011/10/13,3834275
2011/10/14,3713538
2011/10/15,3605183
2011/10/16,3486797
2011/10/17,3390400
2011/10/18,3288892
2011/10/19,3186153
2011/10/20,3086956
2011/10/21,3008318
2011/10/22,2936520
2011/10/23,2869439
2011/10/24,2790695
2011/10/25,2714844
2011/10/26,2647032
2011/10/27,2596702
2011/10/28,2546791
2011/10/29,2499101
2011/10/30,2436377
2011/10/31,2387020
2011/11/01,2348552
2011/11/02,2301542
2011/11/03,2251355
2011/11/04,2204666
2011/11/05,2150318
2011/11/06,2091895
2011/11/07,2038041
2011/11/08,2046118
2011/11/09,2046627
2011/11/10,2005969
2011/11/11,1962645
2011/11/12,1917760
2011/11/13,1872509
2011/11/14,1831940
2011/11/15,1789607
2011/11/16,1839155
2011/11/17,1953137
2011/11/18,2133603
2011/11/19,2260363
2011/11/20,2269233
2011/11/21,2287191
2011/11/22,2403956
2011/11/23,2418474
2011/11/24,2432247
2011/11/25,2425100
2011/11/26,2450570
2011/11/27,2486328
2011/11/28,2646149
2011/11/29,2811981
2011/11/30,3157616
2011/12/01,3228091
2011/12/02,3528682
2011/12/03,3680157
2011/12/04,3788076
2011/12/05,3902042
2011/12/06,4281362
2011/12/07,4579706
2011/12/08,4804520
2011/12/09,4856838
2011/12/10,4851101
2011/12/11,4831917
2011/12/12,4804776
2011/12/13,4750733
2011/12/14,4696289
2011/12/15,4648845
2011/12/16,4604451
2011/12/17,4551047
2011/12/18,4495141
2011/12/19,4451654
2011/12/20,4416096
2011/12/21,4387213
2011/12/22,4345953
2011/12/23,4291037
2011/12/24,4239648
2011/12/25,4187640
2011/12/26,4171559
2011/12/27,4152343
2011/12/28,4098246
2011/12/29,4066135
2011/12/30,4013453
2011/12/31,3960363
2012/01/01,3918459
2012/01/02,3869507
2012/01/03,3819657
2012/01/04,3786904
2012/01/05,3800535
2012/01/06,3800138
2012/01/07,3759398
2012/01/08,3727649
2012/01/09,3705491
2012/01/10,3674223
2012/01/11,3645248
2012/01/12,3611558
2012/01/13,3584858
2012/01/14,3549752
2012/01/15,3507359
2012/01/16,3485394
2012/01/17,3456880
2012/01/18,3418982
2012/01/19,3385006
2012/01/20,3347975
2012/01/21,3299742
2012/01/22,3248084
2012/01/23,3199953
2012/01/24,3164774
2012/01/25,3132991
2012/01/26,3098740
2012/01/27,3056013
2012/01/28,3001145
2012/01/29,2956568
2012/01/30,2908737
2012/01/31,2862561
2012/02/01,2831837
2012/02/02,2795002
2012/02/03,2757997
2012/02/04,2718122
2012/02/05,2676933
2012/02/06,2630540
2012/02/07,2584001
2012/02/08,2535426
2012/02/09,2482926
2012/02/10,2438969
2012/02/11,2410573
2012/02/12,2363826
2012/02/13,2328498
2012/02/14,2387751
2012/02/15,2433110
2012/02/16,2500129
2012/02/17,2509170
2012/02/18,2492890
2012/02/19,2447443
2012/02/20,2408307
2012/02/21,2365956
