Date,mining_profitability7roc
2011/04/18,27.963
2011/04/19,40.544
2011/04/20,8.649
2011/04/21,10.206
2011/04/22,36.892
2011/04/23,25.037
2011/04/24,29.546
2011/04/25,61.584
2011/04/26,29.904
2011/04/27,58.898
2011/04/28,84.887
2011/04/29,86.778
2011/04/30,75.09
2011/05/01,62.91
2011/05/02,54.164
2011/05/03,67.906
2011/05/04,66.69
2011/05/05,43.398
2011/05/06,10.478
2011/05/07,7.111
2011/05/08,23.499
2011/05/09,13.522
2011/05/10,-12.179
2011/05/11,15.674
2011/05/12,12.095
2011/05/13,59.894
2011/05/14,60.498
2011/05/15,17.793
2011/05/16,53.035
2011/05/17,86.585
2011/05/18,23.661
2011/05/19,-37.646
2011/05/20,-46.978
2011/05/21,-50.178
2011/05/22,-36.633
2011/05/23,-39.026
2011/05/24,-37.38
2011/05/25,-27.374
2011/05/26,30.327
2011/05/27,-45.985
2011/05/28,-27.763
2011/05/29,-21.187
2011/05/30,-40.021
2011/05/31,-35.942
2011/06/01,-28.279
2011/06/02,-21.489
2011/06/03,100.398
2011/06/04,122.215
2011/06/05,91.061
2011/06/06,91.026
2011/06/07,75.199
2011/06/08,105.33
2011/06/09,142.813
2011/06/10,61.292
2011/06/11,-6.993
2011/06/12,-30.13
2011/06/13,-6.841
2011/06/14,4.972
2011/06/15,-41.084
2011/06/16,-70.07
2011/06/17,-59.979
2011/06/18,-48.304
2011/06/19,-27.097
2011/06/20,-40.639
2011/06/21,-43.217
2011/06/22,-32.851
2011/06/23,15.052
2011/06/24,-26.198
2011/06/25,-44.109
2011/06/26,-40.883
2011/06/27,-34.171
2011/06/28,-39.278
2011/06/29,-35.524
2011/06/30,-33.494
2011/07/01,-23.456
2011/07/02,-0.58
2011/07/03,-8.856
2011/07/04,-14.894
2011/07/05,-30.989
2011/07/06,-17.983
2011/07/07,-32.587
2011/07/08,2.33
2011/07/09,-21.249
2011/07/10,-19.78
2011/07/11,-12.402
2011/07/12,1.781
2011/07/13,-0.263
2011/07/14,-8.449
2011/07/15,-15.236
2011/07/16,-2.617
2011/07/17,4.28
2011/07/18,-8.876
2011/07/19,-15.919
2011/07/20,-14.136
2011/07/21,2.316
2011/07/22,-11.141
2011/07/23,-4.581
2011/07/24,-8.104
2011/07/25,-5.873
2011/07/26,18.848
2011/07/27,-10.077
2011/07/28,-6.903
2011/07/29,0.948
2011/07/30,0.34
2011/07/31,-2.099
2011/08/01,-17.574
2011/08/02,-24.441
2011/08/03,-26.927
2011/08/04,-36.202
2011/08/05,-30.519
2011/08/06,-49.698
2011/08/07,-53.839
2011/08/08,-36.522
2011/08/09,-24.669
2011/08/10,-11.921
2011/08/11,7.249
2011/08/12,-13.495
2011/08/13,23.33
2011/08/14,54.549
2011/08/15,24.303
2011/08/16,36.709
2011/08/17,16.885
2011/08/18,14.846
2011/08/19,19.469
2011/08/20,40.241
2011/08/21,13.853
2011/08/22,10.259
2011/08/23,-17.739
2011/08/24,-3.999
2011/08/25,-1.744
2011/08/26,-16.414
2011/08/27,-37.018
2011/08/28,-28.906
2011/08/29,-8.571
2011/08/30,-11.106
2011/08/31,-14.935
2011/09/01,-24.892
2011/09/02,1.841
2011/09/03,8.042
2011/09/04,-3.181
2011/09/05,-13.206
2011/09/06,-17.965
2011/09/07,-25.83
2011/09/08,-10.966
2011/09/09,-28.468
2011/09/10,-47.042
2011/09/11,-41.204
2011/09/12,-23.899
2011/09/13,-16.697
2011/09/14,-8.664
2011/09/15,-17.384
2011/09/16,-32.863
2011/09/17,19.034
2011/09/18,4.479
2011/09/19,-24.176
2011/09/20,4.852
2011/09/21,1.956
2011/09/22,-1.195
2011/09/23,20.627
2011/09/24,8.053
2011/09/25,5.638
2011/09/26,9.102
2011/09/27,-24.502
2011/09/28,-8.188
2011/09/29,-17.895
2011/09/30,-5.042
2011/10/01,8.049
2011/10/02,-12.858
2011/10/03,8.498
2011/10/04,-7.793
2011/10/05,9.836
2011/10/06,-0.926
2011/10/07,4.134
2011/10/08,-36.581
2011/10/09,-3.158
2011/10/10,-25.356
2011/10/11,-19.895
2011/10/12,-24.169
2011/10/13,-4.014
2011/10/14,5.183
2011/10/15,13.963
2011/10/16,-6.821
2011/10/17,-13.267
2011/10/18,-15.901
2011/10/19,-34.321
2011/10/20,-38.509
2011/10/21,-48.005
2011/10/22,-28.061
2011/10/23,-5.485
2011/10/24,4
2011/10/25,6.753
2011/10/26,8.289
2011/10/27,16.639
2011/10/28,38.548
2011/10/29,24.295
2011/10/30,12.685
2011/10/31,25.67
2011/11/01,61.345
2011/11/02,50.715
2011/11/03,33.258
2011/11/04,31.046
2011/11/05,7.669
2011/11/06,-4.657
2011/11/07,-9.311
2011/11/08,-6.662
2011/11/09,-7.072
2011/11/10,-6.779
2011/11/11,-20.064
2011/11/12,14.681
2011/11/13,2.963
2011/11/14,-11.865
2011/11/15,-26.048
2011/11/16,-24.597
2011/11/17,-8.061
2011/11/18,-21.33
2011/11/19,-43.398
2011/11/20,-11.599
2011/11/21,-26.818
2011/11/22,2.381
2011/11/23,0.125
2011/11/24,-7.382
2011/11/25,25.625
2011/11/26,26.699
2011/11/27,-10.116
2011/11/28,38.535
2011/11/29,14.999
2011/11/30,54.819
2011/12/01,53.476
2011/12/02,4.946
2011/12/03,46.509
2011/12/04,22.442
2011/12/05,21.974
2011/12/06,21.823
2011/12/07,-16.919
2011/12/08,6.709
2011/12/09,11.501
2011/12/10,-13.738
2011/12/11,32.014
2011/12/12,-3.108
2011/12/13,1.007
2011/12/14,18.842
2011/12/15,-23.673
2011/12/16,2.435
2011/12/17,24.989
2011/12/18,-17.2
2011/12/19,19.41
2011/12/20,3.399
2011/12/21,17.244
2011/12/22,50.777
2011/12/23,17.602
2011/12/24,13.141
2011/12/25,49.045
2011/12/26,11.016
2011/12/27,1.906
2011/12/28,8.516
2011/12/29,-6.62
2011/12/30,27.446
2011/12/31,6.576
2012/01/01,11.748
2012/01/02,30.653
2012/01/03,41.732
2012/01/04,13.591
2012/01/05,71.764
2012/01/06,47.592
2012/01/07,59.847
2012/01/08,29.541
2012/01/09,18.753
2012/01/10,9.257
2012/01/11,31.074
2012/01/12,-8.754
2012/01/13,-9.483
2012/01/14,-12.205
2012/01/15,-11.13
2012/01/16,16.814
2012/01/17,-1.372
2012/01/18,-27.654
2012/01/19,6.468
2012/01/20,-1.851
2012/01/21,-5.236
2012/01/22,-13.675
2012/01/23,-17.42
2012/01/24,0.635
2012/01/25,12.252
2012/01/26,-20.013
2012/01/27,-23.832
2012/01/28,-18.325
2012/01/29,5.86
2012/01/30,-18.837
2012/01/31,-18.341
2012/02/01,-3.328
2012/02/02,14.548
2012/02/03,5.725
2012/02/04,9.846
2012/02/05,-13.316
2012/02/06,-4.954
2012/02/07,2.399
2012/02/08,-1.542
2012/02/09,-14.64
2012/02/10,-8.238
2012/02/11,-0.498
2012/02/12,0.841
2012/02/13,-12.74
2012/02/14,-5.267
2012/02/15,-25.306
2012/02/16,-29.051
2012/02/17,-13.266
2012/02/18,-27.164
2012/02/19,-28.046
2012/02/20,-17.218
2012/02/21,-14.752
2012/02/22,5.226
2012/02/23,14.824
2012/02/24,8.49
2012/02/25,7.63
2012/02/26,13.733
2012/02/27,24.559
2012/02/28,17.319
2012/02/29,6.439
2012/03/01,-3.33
2012/03/02,-17.697
2012/03/03,-12.653
2012/03/04,2.045
2012/03/05,-4.384
2012/03/06,-15.583
2012/03/07,-0.954
2012/03/08,-3.865
2012/03/09,13.27
2012/03/10,-0.702
2012/03/11,-6.969
2012/03/12,0.09
2012/03/13,8.368
2012/03/14,-7.502
2012/03/15,6.327
2012/03/16,13.614
2012/03/17,20.678
2012/03/18,7.89
2012/03/19,-12.178
2012/03/20,-0.245
2012/03/21,-4.847
2012/03/22,-8.186
2012/03/23,-24.943
2012/03/24,-2.11
2012/03/25,-18.504
2012/03/26,-0.994
2012/03/27,-4.259
2012/03/28,0.128
2012/03/29,-8.913
2012/03/30,6.022
2012/03/31,-12.986
2012/04/01,2.324
2012/04/02,-13.679
2012/04/03,-1.246
2012/04/04,-4.676
2012/04/05,0.343
2012/04/06,6.839
2012/04/07,-8.448
