Date,price7rocUSD
2011/04/25,38.643
2011/04/26,42.942
2011/04/27,58.452
2011/04/28,73.96
2011/04/29,94.386
2011/04/30,107.978
2011/05/01,90.414
2011/05/02,97.455
2011/05/03,95.968
2011/05/04,86.935
2011/05/05,64.585
2011/05/06,33.274
2011/05/07,10.297
2011/05/08,14.905
2011/05/09,21.763
2011/05/10,45.537
2011/05/11,64.218
2011/05/12,75.074
2011/05/13,113.973
2011/05/14,116.017
2011/05/15,86.351
2011/05/16,95.887
2011/05/17,58.42
2011/05/18,24.523
2011/05/19,14.603
2011/05/20,-14.62
2011/05/21,-22.185
2011/05/22,-8.286
2011/05/23,-7.88
2011/05/24,-4.397
2011/05/25,12.924
2011/05/26,26.174
2011/05/27,38.763
2011/05/28,41.365
2011/05/29,30.163
2011/05/30,24.627
2011/05/31,20.392
2011/06/01,15.239
2011/06/02,18.488
2011/06/03,44.707
2011/06/04,95.85
2011/06/05,113.568
2011/06/06,104.367
2011/06/07,140.487
2011/06/08,192.72
2011/06/09,191.233
2011/06/10,112.408
2011/06/11,16.969
2011/06/12,-6.644
2011/06/13,8.902
2011/06/14,-7.358
2011/06/15,-27.667
2011/06/16,-37.956
2011/06/17,-38.185
2011/06/18,-14.795
2011/06/19,3.194
2011/06/20,-11.43
2011/06/21,-12.999
2011/06/22,-12.304
2011/06/23,-6.849
2011/06/24,4.036
2011/06/25,3.375
2011/06/26,-1.164
2011/06/27,-2.353
2011/06/28,-0.883
2011/06/29,-0.589
2011/06/30,-3.097
2011/07/01,-7.437
2011/07/02,-9.499
2011/07/03,-9.186
2011/07/04,-11.745
2011/07/05,-20.519
2011/07/06,-18.027
2011/07/07,-10.54
2011/07/08,-7.567
2011/07/09,-6.748
2011/07/10,-5.076
2011/07/11,-0.654
2011/07/12,5.352
2011/07/13,0.981
2011/07/14,-5.104
2011/07/15,-4.4
2011/07/16,-4.06
2011/07/17,-8.184
2011/07/18,-8.482
2011/07/19,-3.182
2011/07/20,-1.449
2011/07/21,-2.289
2011/07/22,-1.814
2011/07/23,-0.541
2011/07/24,2.944
2011/07/25,5.209
2011/07/26,2.164
2011/07/27,0.9
2011/07/28,0.188
2011/07/29,-1.161
2011/07/30,-1.272
2011/07/31,-2.833
2011/08/01,-5.648
2011/08/02,-9.908
2011/08/03,-23.405
2011/08/04,-26.822
2011/08/05,-24.003
2011/08/06,-39.737
2011/08/07,-46.311
2011/08/08,-40.632
2011/08/09,-29.254
2011/08/10,-6.383
2011/08/11,-2.427
2011/08/12,-7.739
2011/08/13,20.325
2011/08/14,44.966
2011/08/15,39.758
2011/08/16,24.334
2011/08/17,9.62
2011/08/18,11.546
2011/08/19,18.796
2011/08/20,17.898
2011/08/21,8.785
2011/08/22,1.205
2011/08/23,-1.22
2011/08/24,-0.358
2011/08/25,-5.963
2011/08/26,-20.657
2011/08/27,-27.434
2011/08/28,-22.417
2011/08/29,-18.765
2011/08/30,-18.713
2011/08/31,-22.033
2011/09/01,-19.983
2011/09/02,-5.317
2011/09/03,1.845
2011/09/04,-5.776
2011/09/05,-12.842
2011/09/06,-18.505
2011/09/07,-17.307
2011/09/08,-16.343
2011/09/09,-31.55
2011/09/10,-42.655
2011/09/11,-36.073
2011/09/12,-23.562
2011/09/13,-18.128
2011/09/14,-18.577
2011/09/15,-23.81
2011/09/16,-16.435
2011/09/17,-2.082
2011/09/18,-6.372
2011/09/19,-11.283
2011/09/20,-2.33
2011/09/21,2.712
2011/09/22,5.85
2011/09/23,13.605
2011/09/24,14.843
2011/09/25,7.927
2011/09/26,-4.336
2011/09/27,-15.454
2011/09/28,-17.544
2011/09/29,-13.657
2011/09/30,-9.818
2011/10/01,-7.391
2011/10/02,-6.424
2011/10/03,-1.457
2011/10/04,2.031
2011/10/05,1.465
2011/10/06,0.473
2011/10/07,-8.863
2011/10/08,-18.521
2011/10/09,-19.375
2011/10/10,-18.416
2011/10/11,-19.956
2011/10/12,-17.804
2011/10/13,-14.559
2011/10/14,-10.813
2011/10/15,-5.787
2011/10/16,-8.765
2011/10/17,-25.401
2011/10/18,-37.932
2011/10/19,-41.966
2011/10/20,-43.969
2011/10/21,-38.839
2011/10/22,-26.575
2011/10/23,-15.581
2011/10/24,-7.283
2011/10/25,6.731
2011/10/26,17.868
2011/10/27,26.424
2011/10/28,26.626
2011/10/29,17.436
2011/10/30,9.676
2011/10/31,15.012
2011/11/01,21.004
2011/11/02,15.878
2011/11/03,10.174
2011/11/04,0.778
2011/11/05,-9.955
2011/11/06,-13.45
2011/11/07,-8.541
2011/11/08,-5.673
2011/11/09,-5.986
2011/11/10,-9.141
2011/11/11,-5.708
2011/11/12,0.301
2011/11/13,1.657
2011/11/14,-12.574
2011/11/15,-24.722
2011/11/16,-18.779
2011/11/17,-17.198
2011/11/18,-27.096
2011/11/19,-30.877
2011/11/20,-27.006
2011/11/21,-13.885
2011/11/22,1.495
2011/11/23,-4.69
2011/11/24,-1.234
2011/11/25,14.555
2011/11/26,17.117
2011/11/27,12.5
2011/11/28,11.987
2011/11/29,14.8
2011/11/30,22.668
2011/12/01,27.253
2011/12/02,24.852
2011/12/03,19.791
2011/12/04,13.557
2011/12/05,13.478
2011/12/06,11.506
2011/12/07,5.254
2011/12/08,-1.403
2011/12/09,-3.612
2011/12/10,1.809
2011/12/11,12.275
2011/12/12,11.881
2011/12/13,8.682
2011/12/14,5.991
2011/12/15,6.171
2011/12/16,7.494
2011/12/17,6.314
2011/12/18,1.011
2011/12/19,5.124
2011/12/20,16.302
2011/12/21,22.444
2011/12/22,22.498
2011/12/23,22.53
2011/12/24,23.229
2011/12/25,28.08
2011/12/26,22.788
2011/12/27,8.325
2011/12/28,5.704
2011/12/29,7.734
2011/12/30,7.364
2011/12/31,13.736
2012/01/01,22.081
2012/01/02,27.115
2012/01/03,24.772
2012/01/04,26.638
2012/01/05,49.673
2012/01/06,62.164
2012/01/07,50.576
2012/01/08,39.45
2012/01/09,27.975
2012/01/10,25.674
2012/01/11,27.685
2012/01/12,9.411
2012/01/13,-3.327
2012/01/14,-2.494
2012/01/15,-1.068
2012/01/16,2.046
2012/01/17,-3.317
2012/01/18,-14.074
2012/01/19,-10.366
2012/01/20,-2.644
2012/01/21,-3.737
2012/01/22,-9.147
2012/01/23,-7.437
2012/01/24,3.08
2012/01/25,4.963
2012/01/26,-9.282
2012/01/27,-17.208
2012/01/28,-13.876
2012/01/29,-11.903
2012/01/30,-14.176
2012/01/31,-13.214
2012/02/01,-3.569
2012/02/02,9.165
2012/02/03,13.426
2012/02/04,8.378
2012/02/05,5.049
2012/02/06,2.226
2012/02/07,1.806
2012/02/08,-2.755
2012/02/09,-6.011
2012/02/10,-2.628
2012/02/11,-2.757
2012/02/12,-3.612
2012/02/13,-3.04
2012/02/14,-12.978
2012/02/15,-22.16
