Date,transactions3wma
2011/05/21,4646
2011/05/22,4859
2011/05/23,5197
2011/05/24,5441
2011/05/25,5741
2011/05/26,6247
2011/05/27,5559
2011/05/28,5103
2011/05/29,4687
2011/05/30,4926
2011/05/31,5446
2011/06/01,6011
2011/06/02,6576
2011/06/03,7494
2011/06/04,8198
2011/06/05,8428
2011/06/06,8961
2011/06/07,8970
2011/06/08,10337
2011/06/09,11326
2011/06/10,11446
2011/06/11,10997
2011/06/12,11493
2011/06/13,11353
2011/06/14,12663
2011/06/15,12637
2011/06/16,12710
2011/06/17,11798
2011/06/18,11481
2011/06/19,11265
2011/06/20,11140
2011/06/21,10264
2011/06/22,10612
2011/06/23,10417
2011/06/24,10622
2011/06/25,10040
2011/06/26,9886
2011/06/27,10661
2011/06/28,10780
2011/06/29,10365
2011/06/30,9759
2011/07/01,10002
2011/07/02,8975
2011/07/03,8454
2011/07/04,8758
2011/07/05,8924
2011/07/06,9695
2011/07/07,9450
2011/07/08,8925
2011/07/09,8147
2011/07/10,8089
2011/07/11,9218
2011/07/12,8834
2011/07/13,8897
2011/07/14,8621
2011/07/15,8276
2011/07/16,8400
2011/07/17,8317
2011/07/18,8593
2011/07/19,8825
2011/07/20,8839
2011/07/21,8417
2011/07/22,8543
2011/07/23,7916
2011/07/24,7923
2011/07/25,8556
2011/07/26,8546
2011/07/27,8195
2011/07/28,7955
2011/07/29,7534
2011/07/30,6740
2011/07/31,7173
2011/08/01,7666
2011/08/02,8329
2011/08/03,8016
2011/08/04,8060
2011/08/05,7599
2011/08/06,7126
2011/08/07,6733
2011/08/08,6879
2011/08/09,8011
2011/08/10,8304
2011/08/11,7969
2011/08/12,7367
2011/08/13,7222
2011/08/14,7265
2011/08/15,7783
2011/08/16,8720
2011/08/17,8332
2011/08/18,7746
2011/08/19,7430
2011/08/20,7226
2011/08/21,7347
2011/08/22,7499
2011/08/23,7361
2011/08/24,7265
2011/08/25,7151
2011/08/26,7211
2011/08/27,6729
2011/08/28,6029
2011/08/29,6842
2011/08/30,7393
2011/08/31,7447
2011/09/01,7192
2011/09/02,6983
2011/09/03,6359
2011/09/04,6634
2011/09/05,6780
2011/09/06,7321
2011/09/07,7184
2011/09/08,6782
2011/09/09,6893
2011/09/10,6399
2011/09/11,6316
2011/09/12,6304
2011/09/13,6389
2011/09/14,6226
2011/09/15,6240
2011/09/16,6160
2011/09/17,5743
2011/09/18,5702
2011/09/19,6092
2011/09/20,7149
2011/09/21,7525
2011/09/22,6842
2011/09/23,6351
2011/09/24,5863
2011/09/25,5691
2011/09/26,5547
2011/09/27,5750
2011/09/28,5842
2011/09/29,5683
2011/09/30,5671
2011/10/01,5441
2011/10/02,5158
2011/10/03,5698
2011/10/04,5793
2011/10/05,5775
2011/10/06,5717
2011/10/07,5634
2011/10/08,5451
2011/10/09,5349
2011/10/10,5537
2011/10/11,5727
2011/10/12,5820
2011/10/13,5359
2011/10/14,5587
2011/10/15,5528
2011/10/16,5241
2011/10/17,5360
2011/10/18,5070
2011/10/19,5023
2011/10/20,4723
2011/10/21,4887
2011/10/22,4959
2011/10/23,5270
2011/10/24,5573
2011/10/25,5401
2011/10/26,5244
2011/10/27,4856
2011/10/28,4891
2011/10/29,5175
2011/10/30,5098
