Date,mediantransactionvalue14rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,53.48
2010/08/01,58.366
2010/08/02,58.394
2010/08/03,50.545
2010/08/04,56.601
2010/08/05,56.578
2010/08/06,47.805
2010/08/07,51.333
2010/08/08,47.563
2010/08/09,56.671
2010/08/10,56.301
2010/08/11,55.409
2010/08/12,56.157
2010/08/13,55.519
2010/08/14,55.635
2010/08/15,55.613
2010/08/16,59.822
2010/08/17,54.593
2010/08/18,54.811
2010/08/19,54.428
2010/08/20,54.139
2010/08/21,54.101
2010/08/22,53.977
2010/08/23,53.963
2010/08/24,53.804
2010/08/25,53.993
2010/08/26,38.454
2010/08/27,52.808
2010/08/28,43.186
2010/08/29,42.234
2010/08/30,41.895
2010/08/31,53.304
2010/09/01,45.211
2010/09/02,52.956
2010/09/03,60.48
2010/09/04,60.488
2010/09/05,50.972
2010/09/06,50.985
2010/09/07,50.856
2010/09/08,42.77
2010/09/09,51.113
2010/09/10,44.584
2010/09/11,44.445
2010/09/12,44.052
2010/09/13,46.112
2010/09/14,52.734
2010/09/15,50.046
2010/09/16,52.634
2010/09/17,52.334
2010/09/18,52.342
2010/09/19,58.055
2010/09/20,45.582
2010/09/21,44.171
2010/09/22,43.874
2010/09/23,47.141
2010/09/24,47.597
2010/09/25,44.271
2010/09/26,44.941
2010/09/27,44.634
2010/09/28,52.753
2010/09/29,62.939
2010/09/30,48.269
2010/10/01,47.286
2010/10/02,45.792
2010/10/03,57.243
2010/10/04,72.348
2010/10/05,66.962
2010/10/06,49.083
2010/10/07,58.793
2010/10/08,58.625
2010/10/09,58.065
2010/10/10,54.669
2010/10/11,50.483
2010/10/12,47.918
2010/10/13,48.961
2010/10/14,84.735
2010/10/15,67.099
2010/10/16,76.691
2010/10/17,50.48
2010/10/18,48.541
2010/10/19,46.363
2010/10/20,46.596
2010/10/21,46.628
2010/10/22,45.741
2010/10/23,46.031
