Date,top100cap90std
2010/07/17,3.904
2010/07/18,3.855
2010/07/19,3.807
2010/07/20,3.76
2010/07/21,3.707
2010/07/22,3.649
2010/07/23,3.586
2010/07/24,3.524
2010/07/25,3.458
2010/07/26,3.404
2010/07/27,3.35
2010/07/28,3.29
2010/07/29,3.227
2010/07/30,3.157
2010/07/31,3.077
2010/08/01,2.996
2010/08/02,2.916
2010/08/03,2.842
2010/08/04,2.778
2010/08/05,2.715
2010/08/06,2.665
2010/08/07,2.612
2010/08/08,2.562
2010/08/09,2.511
2010/08/10,2.464
2010/08/11,2.422
2010/08/12,2.377
2010/08/13,2.334
2010/08/14,2.285
2010/08/15,2.241
2010/08/16,2.2
2010/08/17,2.163
2010/08/18,2.121
2010/08/19,2.082
2010/08/20,2.044
2010/08/21,2.005
2010/08/22,1.966
2010/08/23,1.925
2010/08/24,1.883
2010/08/25,1.84
2010/08/26,1.793
2010/08/27,1.747
2010/08/28,1.696
2010/08/29,1.64
2010/08/30,1.581
2010/08/31,1.518
2010/09/01,1.457
2010/09/02,1.393
2010/09/03,1.323
2010/09/04,1.25
2010/09/05,1.198
2010/09/06,1.143
2010/09/07,1.109
2010/09/08,1.074
2010/09/09,1.035
2010/09/10,0.994
2010/09/11,0.953
2010/09/12,0.917
2010/09/13,0.881
2010/09/14,0.844
2010/09/15,0.802
2010/09/16,0.763
2010/09/17,0.759
2010/09/18,0.756
2010/09/19,0.756
2010/09/20,0.76
2010/09/21,0.761
2010/09/22,0.759
2010/09/23,0.764
2010/09/24,0.767
2010/09/25,0.773
2010/09/26,0.78
2010/09/27,0.817
2010/09/28,0.96
2010/09/29,1.08
2010/09/30,1.179
2010/10/01,1.266
2010/10/02,1.392
2010/10/03,1.506
2010/10/04,1.588
2010/10/05,1.669
2010/10/06,1.741
2010/10/07,1.84
2010/10/08,1.945
2010/10/09,2.058
2010/10/10,2.171
2010/10/11,2.263
2010/10/12,2.343
2010/10/13,2.428
2010/10/14,2.517
2010/10/15,2.596
2010/10/16,2.68
2010/10/17,2.757
2010/10/18,2.835
2010/10/19,2.897
2010/10/20,2.956
2010/10/21,3.007
2010/10/22,3.055
2010/10/23,3.098
2010/10/24,3.154
2010/10/25,3.206
2010/10/26,3.262
2010/10/27,3.318
2010/10/28,3.367
2010/10/29,3.408
2010/10/30,3.444
2010/10/31,3.479
2010/11/01,3.512
2010/11/02,3.54
2010/11/03,3.565
2010/11/04,3.586
2010/11/05,3.606
2010/11/06,3.625
2010/11/07,3.642
2010/11/08,3.677
2010/11/09,3.712
2010/11/10,3.734
2010/11/11,3.754
2010/11/12,3.768
2010/11/13,3.776
2010/11/14,3.786
2010/11/15,3.796
2010/11/16,3.801
2010/11/17,3.805
2010/11/18,3.807
2010/11/19,3.804
2010/11/20,3.803
2010/11/21,3.798
