Date,difficulty90mom
2010/07/17,173.723
2010/07/18,173.723
2010/07/19,173.723
2010/07/20,173.557
2010/07/21,170.079
2010/07/22,170.079
2010/07/23,170.079
2010/07/24,170.079
2010/07/25,170.079
2010/07/26,170.079
2010/07/27,227.841
2010/07/28,232.749
2010/07/29,232.749
2010/07/30,232.749
2010/07/31,232.749
2010/08/01,232.749
2010/08/02,231.965
2010/08/03,231.364
2010/08/04,231.364
2010/08/05,246.219
2010/08/06,339.312
2010/08/07,339.312
2010/08/08,339.312
2010/08/09,339.312
2010/08/10,339.312
2010/08/11,339.312
2010/08/12,339.312
2010/08/13,339.312
2010/08/14,339.312
2010/08/15,377.095
2010/08/16,498.924
2010/08/17,499.365
2010/08/18,499.927
2010/08/19,499.927
2010/08/20,499.927
2010/08/21,499.927
2010/08/22,499.927
2010/08/23,499.927
2010/08/24,499.927
2010/08/25,499.927
2010/08/26,504.711
2010/08/27,609.958
2010/08/28,606.768
2010/08/29,606.768
2010/08/30,606.768
2010/08/31,606.768
2010/09/01,606.768
2010/09/02,606.768
2010/09/03,606.768
2010/09/04,606.768
2010/09/05,606.768
2010/09/06,606.768
2010/09/07,606.768
2010/09/08,679.993
2010/09/09,696.261
2010/09/10,695.503
2010/09/11,695.503
2010/09/12,695.503
2010/09/13,695.503
2010/09/14,695.503
2010/09/15,695.503
2010/09/16,695.503
2010/09/17,695.503
2010/09/18,695.503
2010/09/19,875.934
2010/09/20,900.449
2010/09/21,900.449
2010/09/22,899.539
2010/09/23,898.426
2010/09/24,898.426
2010/09/25,898.426
2010/09/26,898.426
2010/09/27,898.426
2010/09/28,958.93
2010/09/29,1299
2010/09/30,1299
2010/10/01,1299
2010/10/02,1299
2010/10/03,1299
2010/10/04,1296
2010/10/05,1295
2010/10/06,1295
2010/10/07,1295
2010/10/08,1295
2010/10/09,1295
2010/10/10,1295
2010/10/11,1283
2010/10/12,1318
2010/10/13,1333
2010/10/14,1316
2010/10/15,1196
2010/10/16,1196
2010/10/17,1196
2010/10/18,1196
2010/10/19,1196
2010/10/20,1196
2010/10/21,1781
2010/10/22,1967
2010/10/23,1967
2010/10/24,1967
2010/10/25,1910
2010/10/26,1905
2010/10/27,1905
2010/10/28,1905
2010/10/29,1905
2010/10/30,1942
2010/10/31,2848
2010/11/01,2848
2010/11/02,2848
2010/11/03,2833
2010/11/04,2740
2010/11/05,2740
2010/11/06,2740
2010/11/07,2740
2010/11/08,2740
2010/11/09,3319
2010/11/10,4184
2010/11/11,4184
2010/11/12,4184
2010/11/13,4146
2010/11/14,4025
2010/11/15,4025
2010/11/16,4025
2010/11/17,4025
2010/11/18,4405
2010/11/19,6355
2010/11/20,6355
2010/11/21,6355
2010/11/22,6355
2010/11/23,6355
2010/11/24,6350
2010/11/25,6244
2010/11/26,6244
2010/11/27,6244
2010/11/28,6244
2010/11/29,6244
2010/11/30,6543
2010/12/01,7455
2010/12/02,7455
2010/12/03,7455
2010/12/04,7455
2010/12/05,7455
2010/12/06,7455
2010/12/07,7382
2010/12/08,7365
2010/12/09,7515
2010/12/10,11539
2010/12/11,11539
2010/12/12,11539
2010/12/13,11539
2010/12/14,11539
2010/12/15,11539
2010/12/16,11539
2010/12/17,11539
2010/12/18,11359
2010/12/19,11334
2010/12/20,11334
2010/12/21,11689
2010/12/22,13566
2010/12/23,13566
2010/12/24,13566
2010/12/25,13566
2010/12/26,13566
2010/12/27,13506
2010/12/28,13165
2010/12/29,13165
2010/12/30,13165
2010/12/31,13165
2011/01/01,13165
2011/01/02,13165
2011/01/03,14591
2011/01/04,14989
2011/01/05,14989
2011/01/06,14989
2011/01/07,14989
2011/01/08,14989
2011/01/09,14989
2011/01/10,14944
2011/01/11,14929
2011/01/12,14929
2011/01/13,14929
2011/01/14,14929
2011/01/15,15825
2011/01/16,17060
2011/01/17,17060
2011/01/18,17060
2011/01/19,16475
2011/01/20,16289
2011/01/21,16289
2011/01/22,16289
2011/01/23,16289
2011/01/24,16289
2011/01/25,16289
2011/01/26,16289
2011/01/27,18389
2011/01/28,19826
2011/01/29,18921
2011/01/30,18921
2011/01/31,18921
2011/02/01,18921
2011/02/02,18921
2011/02/03,18921
2011/02/04,18921
2011/02/05,18921
2011/02/06,18921
2011/02/07,18341
2011/02/08,20465
2011/02/09,21462
2011/02/10,21462
2011/02/11,21462
2011/02/12,21462
2011/02/13,21462
2011/02/14,21462
2011/02/15,21462
2011/02/16,21081
2011/02/17,19131
2011/02/18,27224
2011/02/19,29593
2011/02/20,29593
2011/02/21,29593
2011/02/22,29593
2011/02/23,29593
2011/02/24,29593
2011/02/25,29593
2011/02/26,29593
2011/02/27,37982
2011/02/28,48423
