Date,activeaddresses7var
2010/07/17,3845794
2010/07/18,3679676
2010/07/19,3747257
2010/07/20,3946625
2010/07/21,207027
2010/07/22,106409
2010/07/23,16631
2010/07/24,19563
2010/07/25,230080
2010/07/26,236247
2010/07/27,243757
2010/07/28,254265
2010/07/29,263104
2010/07/30,270432
2010/07/31,302547
2010/08/01,56492
2010/08/02,8011
2010/08/03,22328
2010/08/04,23278
2010/08/05,23646
2010/08/06,22337
2010/08/07,20042
2010/08/08,21057
2010/08/09,20780
2010/08/10,10937
2010/08/11,10480
2010/08/12,6669
2010/08/13,12718
2010/08/14,11022
2010/08/15,17713
2010/08/16,17481
2010/08/17,19969
2010/08/18,20583
2010/08/19,23608
2010/08/20,15352
2010/08/21,15738
2010/08/22,11709
2010/08/23,7751
2010/08/24,6393
2010/08/25,5004
2010/08/26,3607
2010/08/27,4198
2010/08/28,4212
2010/08/29,8468
2010/08/30,6714
2010/08/31,10923
2010/09/01,10855
2010/09/02,9467
2010/09/03,9427
2010/09/04,10538
2010/09/05,7062
2010/09/06,7187
2010/09/07,3742
2010/09/08,2587
2010/09/09,2335
2010/09/10,2588
2010/09/11,2889
2010/09/12,8411
2010/09/13,12973
2010/09/14,10193
2010/09/15,10384
2010/09/16,9463
2010/09/17,23775
2010/09/18,16098
2010/09/19,16561
2010/09/20,16541
2010/09/21,47385
2010/09/22,51663
2010/09/23,52004
2010/09/24,50364
2010/09/25,36313
2010/09/26,38603
2010/09/27,46959
2010/09/28,108724
2010/09/29,111573
2010/09/30,134388
2010/10/01,132282
2010/10/02,134962
2010/10/03,129870
2010/10/04,121644
2010/10/05,30429
2010/10/06,5624
2010/10/07,5379
2010/10/08,4467
2010/10/09,4181
2010/10/10,5279
2010/10/11,4088
2010/10/12,4339
2010/10/13,11445
2010/10/14,11735
2010/10/15,12000
2010/10/16,19529
2010/10/17,18339
2010/10/18,21719
2010/10/19,64919
2010/10/20,76164
2010/10/21,62646
2010/10/22,37782
2010/10/23,41590
2010/10/24,35407
2010/10/25,44528
2010/10/26,17207
2010/10/27,12816
2010/10/28,12911
2010/10/29,12704
2010/10/30,19528
2010/10/31,30586
2010/11/01,36995
2010/11/02,50634
2010/11/03,29778
2010/11/04,12111
2010/11/05,11272
2010/11/06,10958
2010/11/07,11531
2010/11/08,120619
2010/11/09,108560
2010/11/10,104562
2010/11/11,104897
2010/11/12,118572
2010/11/13,119330
2010/11/14,121629
2010/11/15,1743410
2010/11/16,2237460
2010/11/17,2231269
2010/11/18,2222826
2010/11/19,2168028
2010/11/20,2113464
2010/11/21,2145660
2010/11/22,882425
2010/11/23,3465
2010/11/24,13046
2010/11/25,15354
2010/11/26,33805
2010/11/27,33345
2010/11/28,35014
2010/11/29,27263
2010/11/30,20950
2010/12/01,26206
2010/12/02,27671
2010/12/03,13638
2010/12/04,15734
2010/12/05,16194
2010/12/06,17014
2010/12/07,29082
2010/12/08,20312
2010/12/09,20178
2010/12/10,25048
2010/12/11,31339
2010/12/12,38406
2010/12/13,94157
2010/12/14,94051
2010/12/15,89712
2010/12/16,82984
2010/12/17,64600
2010/12/18,73712
2010/12/19,72219
2010/12/20,41523
2010/12/21,40659
2010/12/22,43944
2010/12/23,42252
2010/12/24,38249
2010/12/25,30107
2010/12/26,30982
2010/12/27,10922
2010/12/28,10841
2010/12/29,6737
2010/12/30,7369
2010/12/31,5243
2011/01/01,5254
2011/01/02,5265
2011/01/03,20819
2011/01/04,20464
2011/01/05,42846
2011/01/06,42028
2011/01/07,29692
2011/01/08,32407
2011/01/09,24250
2011/01/10,25230
2011/01/11,18304
2011/01/12,16619
2011/01/13,21183
2011/01/14,17999
2011/01/15,18526
2011/01/16,17152
2011/01/17,19771
2011/01/18,19593
2011/01/19,12676
2011/01/20,6992
2011/01/21,36662
2011/01/22,86798
2011/01/23,94508
2011/01/24,86017
2011/01/25,82975
2011/01/26,80197
2011/01/27,64948
2011/01/28,63729
2011/01/29,51805
2011/01/30,304023
2011/01/31,312483
2011/02/01,267305
2011/02/02,281156
2011/02/03,341860
2011/02/04,360913
2011/02/05,378983
2011/02/06,96224
2011/02/07,35781
2011/02/08,6880
2011/02/09,60969
2011/02/10,536672
2011/02/11,1231434
2011/02/12,1253893
2011/02/13,1093733
2011/02/14,938916
2011/02/15,443652
2011/02/16,197637
2011/02/17,198247
2011/02/18,106930
2011/02/19,145215
2011/02/20,149473
2011/02/21,59691
2011/02/22,91961
2011/02/23,95258
2011/02/24,102445
2011/02/25,98864
2011/02/26,50493
2011/02/27,29778
2011/02/28,61209
2011/03/01,395312
2011/03/02,395169
2011/03/03,550774
2011/03/04,572633
2011/03/05,570047
2011/03/06,607414
2011/03/07,534138
2011/03/08,266300
2011/03/09,280917
2011/03/10,74546
2011/03/11,88916
2011/03/12,79813
2011/03/13,100963
2011/03/14,109461
2011/03/15,36919
2011/03/16,24764
2011/03/17,23142
2011/03/18,22599
2011/03/19,21120
2011/03/20,222194
2011/03/21,382877
2011/03/22,376466
2011/03/23,1528430
2011/03/24,1373775
2011/03/25,1127876
2011/03/26,833011
2011/03/27,818496
2011/03/28,848648
2011/03/29,693257
2011/03/30,244846
2011/03/31,261483
2011/04/01,445611
2011/04/02,536740
2011/04/03,499273
2011/04/04,289501
2011/04/05,229647
2011/04/06,223723
2011/04/07,231443
2011/04/08,195757
2011/04/09,161039
2011/04/10,170559
2011/04/11,86524
2011/04/12,90227
2011/04/13,189686
2011/04/14,638915
2011/04/15,582651
2011/04/16,601551
2011/04/17,432372
2011/04/18,430379
2011/04/19,594372
2011/04/20,549371
2011/04/21,635608
2011/04/22,611471
2011/04/23,593868
2011/04/24,550019
2011/04/25,507813
2011/04/26,432861
2011/04/27,1249552
2011/04/28,1094532
2011/04/29,937554
2011/04/30,1324600
2011/05/01,932143
2011/05/02,594221
2011/05/03,615997
2011/05/04,573551
2011/05/05,543122
2011/05/06,541601
2011/05/07,309904
2011/05/08,219367
2011/05/09,258527
2011/05/10,171238
2011/05/11,113471
2011/05/12,116891
2011/05/13,773218
2011/05/14,1040859
2011/05/15,781164
2011/05/16,2461161
2011/05/17,2482649
2011/05/18,3398262
2011/05/19,2567288
2011/05/20,2449400
2011/05/21,1871353
2011/05/22,625798
2011/05/23,664436
2011/05/24,753414
2011/05/25,1549810
2011/05/26,2194798
2011/05/27,2473685
2011/05/28,2164535
2011/05/29,2006762
2011/05/30,1970613
2011/05/31,2190466
2011/06/01,1936534
2011/06/02,2598903
2011/06/03,4528597
2011/06/04,7026128
2011/06/05,5296493
2011/06/06,6133111
2011/06/07,4823117
2011/06/08,12068654
2011/06/09,13414626
2011/06/10,12145726
2011/06/11,11088635
2011/06/12,8548584
2011/06/13,7131479
2011/06/14,3558445
2011/06/15,3632763
2011/06/16,4412527
2011/06/17,3462595
2011/06/18,1987829
2011/06/19,1993231
2011/06/20,1926159
2011/06/21,1532278
2011/06/22,1432188
2011/06/23,1055457
2011/06/24,1130138
2011/06/25,2388162
2011/06/26,1700627
2011/06/27,5243580
2011/06/28,5286059
2011/06/29,5164410
2011/06/30,5481795
2011/07/01,8748816
2011/07/02,11379372
2011/07/03,12920311
2011/07/04,12269662
2011/07/05,13164376
2011/07/06,13032542
2011/07/07,13439860
2011/07/08,10399988
2011/07/09,2134617
2011/07/10,4444584
2011/07/11,4348226
2011/07/12,4480721
2011/07/13,4630674
2011/07/14,5398416
2011/07/15,5470929
2011/07/16,4543095
2011/07/17,3432016
2011/07/18,4176309
2011/07/19,3174220
2011/07/20,2942832
2011/07/21,1411875
2011/07/22,1406587
2011/07/23,2751209
2011/07/24,3150522
2011/07/25,2446152
2011/07/26,2521487
2011/07/27,2296310
2011/07/28,2489576
2011/07/29,2969808
2011/07/30,4775654
2011/07/31,4773834
2011/08/01,3096116
2011/08/02,3328208
2011/08/03,5772087
2011/08/04,4466326
2011/08/05,4336895
2011/08/06,4173294
2011/08/07,2839699
2011/08/08,3702700
2011/08/09,4689852
2011/08/10,3909693
2011/08/11,4407422
2011/08/12,6318309
2011/08/13,6542111
2011/08/14,6665581
2011/08/15,4003521
2011/08/16,1934372
2011/08/17,2038346
2011/08/18,1892715
2011/08/19,1087476
2011/08/20,764822
2011/08/21,1196420
2011/08/22,2443118
2011/08/23,2351974
2011/08/24,1831184
2011/08/25,1354431
2011/08/26,1517387
2011/08/27,1638052
2011/08/28,3704309
2011/08/29,2809435
2011/08/30,3718859
2011/08/31,4329402
2011/09/01,2836427
2011/09/02,2140935
2011/09/03,1893043
2011/09/04,1623301
2011/09/05,1312393
2011/09/06,1747043
2011/09/07,1751595
2011/09/08,1924552
2011/09/09,2176789
2011/09/10,1299548
2011/09/11,1758505
2011/09/12,1543891
2011/09/13,1271108
2011/09/14,1471887
2011/09/15,1506908
2011/09/16,453487
2011/09/17,976432
2011/09/18,980853
2011/09/19,724263
2011/09/20,7046577
2011/09/21,7392874
2011/09/22,7481210
2011/09/23,8087489
2011/09/24,5478910
2011/09/25,3072364
