Date,transactions14roc
2010/07/17,217.568
2010/07/18,327.586
2010/07/19,384.932
2010/07/20,958.974
2010/07/21,312.903
2010/07/22,206.944
2010/07/23,214.493
2010/07/24,1579
2010/07/25,814.943
2010/07/26,-86.35
2010/07/27,-66.963
2010/07/28,-67.735
2010/07/29,138.952
2010/07/30,-78.846
2010/07/31,-60.851
2010/08/01,-49.597
2010/08/02,-55.932
2010/08/03,1.937
2010/08/04,-23.437
2010/08/05,34.389
2010/08/06,-2.304
2010/08/07,-83.262
2010/08/08,-87.94
2010/08/09,4.464
2010/08/10,-42.692
2010/08/11,-90.011
2010/08/12,-89.627
2010/08/13,110.49
2010/08/14,66.304
2010/08/15,-13.6
2010/08/16,96.154
2010/08/17,-55.107
2010/08/18,24.49
2010/08/19,-36.027
2010/08/20,8.491
2010/08/21,43.22
2010/08/22,-19.792
2010/08/23,-33.333
2010/08/24,10.067
2010/08/25,-16.76
2010/08/26,-9.714
2010/08/27,-59.136
2010/08/28,10.458
2010/08/29,-9.259
2010/08/30,-41.176
2010/08/31,35.979
2010/09/01,-8.607
2010/09/02,-13.158
2010/09/03,-32.609
2010/09/04,-44.97
2010/09/05,-5.195
2010/09/06,-23.077
2010/09/07,-25.61
2010/09/08,16.779
2010/09/09,19.62
2010/09/10,48.78
2010/09/11,-14.201
2010/09/12,106.122
2010/09/13,47.222
2010/09/14,-14.008
2010/09/15,17.04
2010/09/16,32.727
2010/09/17,-1.29
2010/09/18,74.194
2010/09/19,0
2010/09/20,118.333
2010/09/21,422.951
2010/09/22,186.782
2010/09/23,122.751
2010/09/24,49.18
2010/09/25,124.138
2010/09/26,-3.465
2010/09/27,41.132
2010/09/28,26.244
2010/09/29,210.728
2010/09/30,0
2010/10/01,181.046
2010/10/02,147.531
2010/10/03,74.658
2010/10/04,-3.053
2010/10/05,-61.599
2010/10/06,-52.705
2010/10/07,-57.245
2010/10/08,-23.443
2010/10/09,-25.231
2010/10/10,-5.128
2010/10/11,-51.07
2010/10/12,-29.391
