Date,hashrate30std
2010/07/17,1253758594
2010/07/18,1309380777
2010/07/19,1356010840
2010/07/20,1403524410
2010/07/21,1451089581
2010/07/22,1487226950
2010/07/23,1516848013
2010/07/24,1535961862
2010/07/25,1567226000
2010/07/26,1619260534
2010/07/27,1679995665
2010/07/28,1683940263
2010/07/29,1689532484
2010/07/30,1693194004
2010/07/31,1694223496
2010/08/01,1719135777
2010/08/02,1760952449
2010/08/03,1774234689
2010/08/04,1751830033
2010/08/05,1755184748
2010/08/06,1739577865
2010/08/07,1652452599
2010/08/08,1587630992
2010/08/09,1531621880
2010/08/10,1426604231
2010/08/11,1384575975
2010/08/12,1448178204
2010/08/13,1493737728
2010/08/14,1558130958
2010/08/15,1917500511
2010/08/16,1952145324
2010/08/17,1922346726
2010/08/18,1873472044
2010/08/19,1828685718
2010/08/20,1822170822
2010/08/21,1849838122
2010/08/22,1893974802
2010/08/23,1963323039
2010/08/24,2028327049
2010/08/25,2121837708
2010/08/26,2182869888
2010/08/27,2221873172
2010/08/28,2214557723
2010/08/29,2155096255
2010/08/30,2069004269
2010/08/31,2044948253
2010/09/01,2037818822
2010/09/02,1985726065
2010/09/03,1908988227
2010/09/04,1881838176
2010/09/05,1847095116
2010/09/06,1711709143
2010/09/07,1620091604
2010/09/08,1580143153
2010/09/09,1507058193
2010/09/10,1483582787
2010/09/11,1485909144
2010/09/12,1495318982
2010/09/13,1524451587
2010/09/14,1595750180
2010/09/15,1579177920
2010/09/16,1566162978
2010/09/17,1624614180
2010/09/18,1679383806
2010/09/19,2206693166
2010/09/20,2528285158
2010/09/21,2674081809
2010/09/22,2732183212
2010/09/23,2914600248
2010/09/24,3307334455
2010/09/25,3531112484
2010/09/26,3638412588
2010/09/27,3804991690
2010/09/28,3989570171
2010/09/29,4351797088
2010/09/30,4359708455
2010/10/01,4403675839
2010/10/02,4284087361
2010/10/03,4160745598
2010/10/04,4081446425
2010/10/05,3977529017
2010/10/06,3856117799
2010/10/07,3762702529
2010/10/08,3670866998
2010/10/09,3517316327
2010/10/10,3403993577
2010/10/11,3301090560
2010/10/12,3167091783
2010/10/13,3044826286
2010/10/14,3083805759
2010/10/15,3103879725
2010/10/16,3367460723
2010/10/17,4570236642
2010/10/18,5170233977
2010/10/19,5514998354
2010/10/20,5932045236
2010/10/21,7289460270
2010/10/22,7394301111
2010/10/23,7612563000
2010/10/24,7958607246
2010/10/25,8619553210
2010/10/26,9361738257
2010/10/27,10061088105
2010/10/28,10427872810
2010/10/29,10994233874
2010/10/30,11462801213
2010/10/31,12939606516
2010/11/01,13156141120
2010/11/02,13162119995
2010/11/03,13405460066
2010/11/04,13590009567
2010/11/05,13974739134
2010/11/06,14310008680
2010/11/07,15008334871
2010/11/08,15738622155
2010/11/09,17542747852
2010/11/10,18365656051
2010/11/11,19961426368
2010/11/12,20128068994
2010/11/13,20331200375
2010/11/14,21746454717
2010/11/15,22301223213
2010/11/16,22362151628
2010/11/17,22998733421
2010/11/18,24796579897
2010/11/19,26992890798
2010/11/20,26708240834
2010/11/21,25966038747
2010/11/22,25513343436
2010/11/23,24897361683
2010/11/24,24784048266
2010/11/25,24498127028
2010/11/26,25353056391
2010/11/27,25466034169
2010/11/28,24768161866
2010/11/29,24683189021
2010/11/30,26377052033
2010/12/01,26574760248
2010/12/02,27093793294
2010/12/03,27179703651
2010/12/04,28174500307
2010/12/05,30044371130
2010/12/06,31832533588
2010/12/07,32873374161
2010/12/08,34176919258
2010/12/09,36354708677
2010/12/10,38096762439
2010/12/11,39309804160
2010/12/12,40531574591
2010/12/13,40429922119
2010/12/14,40633633597
2010/12/15,41639359470
2010/12/16,41980000137
2010/12/17,42068404303
2010/12/18,42117787270
2010/12/19,42597047765
2010/12/20,40928921010
2010/12/21,39498028052
2010/12/22,40160627909
2010/12/23,37957468730
2010/12/24,36121082270
2010/12/25,33935615654
2010/12/26,32741469950
2010/12/27,31249318795
2010/12/28,29125016580
2010/12/29,27326548653
2010/12/30,26289165487
2010/12/31,24485066817
2011/01/01,23557801075
2011/01/02,22292539677
2011/01/03,22978014665
2011/01/04,22350447989
2011/01/05,22008030094
2011/01/06,21584020001
2011/01/07,20882818489
2011/01/08,23094457393
2011/01/09,23199343707
2011/01/10,23920854334
2011/01/11,24315080234
2011/01/12,24181284672
2011/01/13,24154567184
2011/01/14,25433000256
2011/01/15,27388593100
2011/01/16,29254530384
2011/01/17,30235850312
2011/01/18,29933939264
2011/01/19,29806226031
2011/01/20,30873990723
2011/01/21,34523864459
2011/01/22,33299264669
2011/01/23,33092360675
2011/01/24,33213866312
2011/01/25,31879507588
2011/01/26,32026920978
2011/01/27,34005948991
2011/01/28,35039586446
2011/01/29,34657950551
2011/01/30,35370687409
2011/01/31,35089936164
2011/02/01,38055539180
2011/02/02,38745960243
2011/02/03,37189753612
2011/02/04,37724664995
2011/02/05,40650852748
2011/02/06,39765081433
2011/02/07,42279353455
2011/02/08,47466410713
2011/02/09,51453957281
2011/02/10,55529458297
2011/02/11,58836155906
2011/02/12,63134768006
2011/02/13,66853223481
2011/02/14,70262394873
2011/02/15,74864618960
2011/02/16,81324978250
2011/02/17,90269989130
2011/02/18,106150699692
2011/02/19,113071162395
2011/02/20,119705262868
2011/02/21,125072920612
2011/02/22,133231248676
2011/02/23,143689299534
2011/02/24,151192634784
2011/02/25,157137201980
2011/02/26,168253738723
