Date,transactions30ema
2011/05/13,2934
2011/05/14,3014
2011/05/15,3048
2011/05/16,3116
2011/05/17,3187
2011/05/18,3323
2011/05/19,3398
2011/05/20,3474
2011/05/21,3556
2011/05/22,3651
2011/05/23,3768
2011/05/24,3884
2011/05/25,4017
2011/05/26,4188
2011/05/27,4220
2011/05/28,4261
2011/05/29,4282
2011/05/30,4340
2011/05/31,4441
2011/06/01,4565
2011/06/02,4718
2011/06/03,4945
2011/06/04,5180
2011/06/05,5387
2011/06/06,5650
2011/06/07,5856
2011/06/08,6228
2011/06/09,6598
2011/06/10,6885
2011/06/11,7127
2011/06/12,7455
2011/06/13,7685
2011/06/14,8087
2011/06/15,8360
2011/06/16,8631
2011/06/17,8791
2011/06/18,8957
2011/06/19,9105
2011/06/20,9227
2011/06/21,9241
2011/06/22,9372
2011/06/23,9424
2011/06/24,9506
2011/06/25,9509
2011/06/26,9530
2011/06/27,9663
2011/06/28,9720
2011/06/29,9728
2011/06/30,9709
2011/07/01,9756
2011/07/02,9633
2011/07/03,9540
2011/07/04,9533
2011/07/05,9488
2011/07/06,9544
2011/07/07,9512
2011/07/08,9438
2011/07/09,9326
2011/07/10,9257
2011/07/11,9329
2011/07/12,9243
2011/07/13,9228
2011/07/14,9185
2011/07/15,9098
2011/07/16,9074
2011/07/17,9018
2011/07/18,9004
2011/07/19,9007
2011/07/20,8988
2011/07/21,8925
2011/07/22,8919
2011/07/23,8813
2011/07/24,8764
2011/07/25,8800
2011/07/26,8761
2011/07/27,8700
2011/07/28,8653
2011/07/29,8556
2011/07/30,8395
2011/07/31,8364
2011/08/01,8343
2011/08/02,8363
2011/08/03,8313
2011/08/04,8304
2011/08/05,8234
2011/08/06,8136
2011/08/07,8036
2011/08/08,7977
2011/08/09,8048
2011/08/10,8057
2011/08/11,8018
2011/08/12,7955
2011/08/13,7910
2011/08/14,7874
2011/08/15,7898
2011/08/16,8001
2011/08/17,7974
2011/08/18,7929
2011/08/19,7900
2011/08/20,7844
2011/08/21,7823
2011/08/22,7811
2011/08/23,7767
2011/08/24,7732
2011/08/25,7692
2011/08/26,7665
2011/08/27,7573
2011/08/28,7437
2011/08/29,7471
2011/08/30,7483
2011/08/31,7461
2011/09/01,7436
2011/09/02,7399
2011/09/03,7295
2011/09/04,7284
2011/09/05,7258
2011/09/06,7285
2011/09/07,7264
2011/09/08,7206
2011/09/09,7207
2011/09/10,7120
2011/09/11,7068
2011/09/12,7028
2011/09/13,6986
2011/09/14,6926
2011/09/15,6887
2011/09/16,6835
2011/09/17,6737
2011/09/18,6679
2011/09/19,6669
2011/09/20,6755
2011/09/21,6806
2011/09/22,6753
2011/09/23,6717
2011/09/24,6645
2011/09/25,6577
2011/09/26,6507
2011/09/27,6473
2011/09/28,6434
2011/09/29,6371
2011/09/30,6331
2011/10/01,6260
2011/10/02,6173
2011/10/03,6186
2011/10/04,6154
2011/10/05,6120
2011/10/06,6099
2011/10/07,6062
2011/10/08,6012
2011/10/09,5968
2011/10/10,5955
2011/10/11,5947
2011/10/12,5939
2011/10/13,5871
2011/10/14,5878
2011/10/15,5850
2011/10/16,5786
2011/10/17,5778
2011/10/18,5712
2011/10/19,5665
2011/10/20,5592
2011/10/21,5560
2011/10/22,5525
2011/10/23,5523
2011/10/24,5541
2011/10/25,5513
2011/10/26,5490
2011/10/27,5431
2011/10/28,5404
2011/10/29,5409
2011/10/30,5374
2011/10/31,5353
2011/11/01,5371
