Date,fee_to_reward3rocUSD
2011/05/12,-7.796
2011/05/13,24.045
2011/05/14,42.13
2011/05/15,59.471
2011/05/16,7.001
2011/05/17,-10.246
2011/05/18,0.065
2011/05/19,56.544
2011/05/20,45.928
2011/05/21,39.335
2011/05/22,-20.328
2011/05/23,-20.752
2011/05/24,-25.804
2011/05/25,-8.956
2011/05/26,13.635
2011/05/27,15.331
2011/05/28,30.03
2011/05/29,6.484
2011/05/30,45.553
2011/05/31,46.736
2011/06/01,65.434
2011/06/02,2.417
2011/06/03,-2.338
2011/06/04,11.676
2011/06/05,-8.845
2011/06/06,-3.251
2011/06/07,18.176
2011/06/08,108.397
2011/06/09,54.071
2011/06/10,0.809
2011/06/11,-40.964
2011/06/12,-2.509
2011/06/13,-6.455
2011/06/14,3.911
2011/06/15,-24.142
2011/06/16,9.309
2011/06/17,13.197
2011/06/18,-0.388
2011/06/19,-34.018
2011/06/20,-47.561
2011/06/21,-50.288
2011/06/22,-41.066
2011/06/23,-29.863
2011/06/24,6.649
2011/06/25,137.937
2011/06/26,176.729
2011/06/27,105.254
2011/06/28,-24.167
2011/06/29,-31.226
2011/06/30,-40.557
2011/07/01,-12.876
2011/07/02,-24.601
2011/07/03,-12.693
2011/07/04,-12.612
2011/07/05,54.143
2011/07/06,33.181
2011/07/07,13.233
2011/07/08,-40.458
2011/07/09,-19.272
2011/07/10,-14.44
2011/07/11,17.581
2011/07/12,3.991
2011/07/13,-13.913
2011/07/14,-1.625
2011/07/15,11.232
2011/07/16,-9.492
2011/07/17,-22.936
2011/07/18,-24.409
2011/07/19,46.804
2011/07/20,-0.919
2011/07/21,-22.18
2011/07/22,-14.102
2011/07/23,-25.354
2011/07/24,3.956
2011/07/25,-18.1
2011/07/26,-15.564
2011/07/27,-16.732
2011/07/28,-33.558
2011/07/29,-2.398
2011/07/30,-26.213
2011/07/31,-19.895
2011/08/01,7.262
2011/08/02,27.424
2011/08/03,34.117
2011/08/04,28.63
2011/08/05,-5.425
2011/08/06,276.326
2011/08/07,-13.627
2011/08/08,28.171
2011/08/09,-59.455
2011/08/10,36.106
2011/08/11,-11.197
2011/08/12,-41.826
2011/08/13,-25.032
2011/08/14,50.431
2011/08/15,62.134
2011/08/16,27.077
2011/08/17,-36.552
2011/08/18,-45.325
2011/08/19,-12.044
2011/08/20,-27.816
2011/08/21,-13.379
2011/08/22,-24.274
2011/08/23,26.083
2011/08/24,81.949
2011/08/25,-0.883
2011/08/26,-29.104
2011/08/27,-36.391
2011/08/28,-12.227
2011/08/29,21.282
2011/08/30,63.077
2011/08/31,-1.863
2011/09/01,12.192
2011/09/02,-34.605
2011/09/03,-30.547
2011/09/04,69.373
2011/09/05,4.89
2011/09/06,62.682
2011/09/07,-18.687
2011/09/08,-21.439
2011/09/09,15.494
2011/09/10,-32.365
2011/09/11,12.611
2011/09/12,-18.941
2011/09/13,-27.426
2011/09/14,-36.205
2011/09/15,16.578
2011/09/16,42.176
2011/09/17,48.742
2011/09/18,-27.275
2011/09/19,11.768
2011/09/20,20.989
