Date,sentbyaddress14roc
2010/07/17,66.667
2010/07/18,135.556
2010/07/19,176.5
2010/07/20,276.19
2010/07/21,136.559
2010/07/22,117.989
2010/07/23,87.5
2010/07/24,241.27
2010/07/25,392.582
2010/07/26,-84.125
2010/07/27,-70.596
2010/07/28,-94.359
2010/07/29,-69.644
2010/07/30,-73.388
2010/07/31,-32.564
2010/08/01,-21.934
2010/08/02,-39.421
2010/08/03,-5.696
2010/08/04,5.682
2010/08/05,32.039
2010/08/06,-8.889
2010/08/07,-62.016
2010/08/08,-78.416
2010/08/09,8.333
2010/08/10,-28.64
2010/08/11,5.539
2010/08/12,-3.815
2010/08/13,80.546
2010/08/14,34.981
2010/08/15,-31.722
2010/08/16,34.03
2010/08/17,-46.309
2010/08/18,-16.774
2010/08/19,-44.669
2010/08/20,4.336
2010/08/21,35.51
2010/08/22,-16.279
2010/08/23,-20.362
2010/08/24,12.375
2010/08/25,-6.63
2010/08/26,-11.048
2010/08/27,-52.174
2010/08/28,-12.394
2010/08/29,6.637
2010/08/30,-29.621
2010/08/31,20.937
2010/09/01,-5.685
2010/09/02,-13.953
2010/09/03,-18.182
2010/09/04,-27.108
2010/09/05,-8.642
2010/09/06,-26.136
2010/09/07,-27.083
2010/09/08,-9.467
2010/09/09,-0.318
2010/09/10,23.32
2010/09/11,-9.968
2010/09/12,54.772
2010/09/13,44.62
2010/09/14,0.258
2010/09/15,17.808
2010/09/16,40.154
2010/09/17,1.27
2010/09/18,39.669
2010/09/19,5.068
2010/09/20,76.154
2010/09/21,266.939
2010/09/22,155.556
2010/09/23,111.821
2010/09/24,69.872
2010/09/25,101.071
2010/09/26,3.753
2010/09/27,42.013
2010/09/28,10.567
2010/09/29,112.093
2010/09/30,4.683
2010/10/01,92.163
2010/10/02,65.976
2010/10/03,46.302
2010/10/04,-0.437
2010/10/05,-49.499
2010/10/06,-44.373
2010/10/07,-47.662
2010/10/08,-26.038
2010/10/09,-21.847
2010/10/10,2.326
2010/10/11,-42.681
2010/10/12,-7.692
2010/10/13,-55.263
2010/10/14,2.105
2010/10/15,-39.315
2010/10/16,-18.895
2010/10/17,5.275
2010/10/18,41.228
2010/10/19,145.154
2010/10/20,93.563
2010/10/21,84.15
2010/10/22,81.122
2010/10/23,40.455
2010/10/24,58.081
2010/10/25,24.194
2010/10/26,56.566
2010/10/27,70.343
2010/10/28,52.835
2010/10/29,32.796
2010/10/30,-8.352
2010/10/31,-37.37
2010/11/01,-45.031
2010/11/02,-75.202
2010/11/03,-57.957
2010/11/04,-47.418
2010/11/05,-37.465
2010/11/06,-33.819
2010/11/07,-30.032
2010/11/08,5.411
2010/11/09,-36.613
2010/11/10,-41.007
2010/11/11,-36.088
2010/11/12,-45.142
2010/11/13,-19.904
2010/11/14,33.333
2010/11/15,1064
2010/11/16,989.13
2010/11/17,27.966
2010/11/18,22.619
2010/11/19,-19.595
2010/11/20,49.144
2010/11/21,20.548
2010/11/22,-24.025
2010/11/23,-6.107
2010/11/24,32.683
2010/11/25,61.214
2010/11/26,221.033
2010/11/27,41.916
2010/11/28,20
2010/11/29,-88.619
2010/11/30,-83.433
2010/12/01,30.022
2010/12/02,15.777
2010/12/03,14.846
2010/12/04,-24.754
2010/12/05,-14.015
2010/12/06,33.243
2010/12/07,74.526
2010/12/08,5.699
2010/12/09,-14.239
2010/12/10,-50.575
2010/12/11,49.367
2010/12/12,55.625
2010/12/13,63.326
2010/12/14,59.438
2010/12/15,31.07
2010/12/16,27.044
2010/12/17,25.366
2010/12/18,28.322
2010/12/19,36.564
2010/12/20,108.316
2010/12/21,18.323
2010/12/22,38.957
2010/12/23,35.115
2010/12/24,45.581
2010/12/25,17.373
2010/12/26,3.481
2010/12/27,-18.016
2010/12/28,-0.63
2010/12/29,-19.301
2010/12/30,18.482
2010/12/31,29.961
2011/01/01,39.728
2011/01/02,10.484
2011/01/03,-6.913
2011/01/04,10.892
2011/01/05,29.537
2011/01/06,9.463
2011/01/07,49.361
2011/01/08,44.284
2011/01/09,38.292
2011/01/10,79.299
2011/01/11,48.796
2011/01/12,56.34
2011/01/13,50.836
2011/01/14,55.838
2011/01/15,34.508
2011/01/16,64.964
2011/01/17,7.218
2011/01/18,24.734
2011/01/19,11.787
2011/01/20,46.71
2011/01/21,50.909
2011/01/22,32.944
2011/01/23,23.293
2011/01/24,40.764
2011/01/25,-8.433
2011/01/26,20.226
2011/01/27,-2.308
2011/01/28,28.626
2011/01/29,45.89
2011/01/30,147.965
2011/01/31,63.122
2011/02/01,20.114
2011/02/02,-7.001
2011/02/03,-16.183
2011/02/04,-20.482
2011/02/05,-36.7
2011/02/06,-19.803
2011/02/07,-34.006
2011/02/08,-3.442
2011/02/09,35.611
2011/02/10,148.11
2011/02/11,121.359
2011/02/12,52.012
2011/02/13,-17.523
2011/02/14,50.478
2011/02/15,111.769
2011/02/16,123.699
2011/02/17,188.877
2011/02/18,135.294
2011/02/19,101.189
2011/02/20,130.937
2011/02/21,141.109
2011/02/22,170.039
2011/02/23,82.935
2011/02/24,4.648
2011/02/25,-12.348
2011/02/26,-0.937
2011/02/27,19.515
2011/02/28,-12.719
2011/03/01,35.062
2011/03/02,6.938
2011/03/03,42.753
2011/03/04,-5
2011/03/05,29.163
2011/03/06,5.08
2011/03/07,0.357
2011/03/08,16.126
2011/03/09,-8.399
2011/03/10,-14.379
2011/03/11,-7.39
2011/03/12,5.099
2011/03/13,-15.677
2011/03/14,-8.652
2011/03/15,-25.822
2011/03/16,-6.449
2011/03/17,-33.41
2011/03/18,-3.589
2011/03/19,-0.076
2011/03/20,51.891
2011/03/21,43.501
2011/03/22,-7.435
2011/03/23,92.672
2011/03/24,35.799
2011/03/25,27.93
2011/03/26,50
2011/03/27,64.234
2011/03/28,95.414
2011/03/29,38.086
2011/03/30,17.608
2011/03/31,27.016
2011/04/01,2.688
2011/04/02,3.244
2011/04/03,-28.362
2011/04/04,-4.488
2011/04/05,7.567
2011/04/06,-42.813
2011/04/07,-18.848
2011/04/08,-11.079
2011/04/09,-27.986
2011/04/10,-29.83
2011/04/11,-24.056
2011/04/12,-15.098
2011/04/13,21.363
2011/04/14,50.752
2011/04/15,22.151
2011/04/16,16.229
2011/04/17,22.25
2011/04/18,23.407
2011/04/19,53.595
2011/04/20,39.052
2011/04/21,19.522
2011/04/22,17.318
2011/04/23,30.75
2011/04/24,27.347
2011/04/25,32.314
2011/04/26,54.239
2011/04/27,75.124
2011/04/28,-6.446
2011/04/29,73.656
2011/04/30,105.693
2011/05/01,70.692
2011/05/02,7.779
2011/05/03,-5.725
2011/05/04,16.188
2011/05/05,76.307
2011/05/06,69.76
2011/05/07,60.831
2011/05/08,41.281
2011/05/09,43.818
2011/05/10,8.174
2011/05/11,-13.906
2011/05/12,14.334
2011/05/13,24.948
2011/05/14,8.737
2011/05/15,9.066
2011/05/16,68.249
2011/05/17,65.203
2011/05/18,94.912
2011/05/19,50.439
2011/05/20,52.394
2011/05/21,46.417
2011/05/22,82.543
2011/05/23,64.996
2011/05/24,88.847
2011/05/25,105.538
2011/05/26,109.571
2011/05/27,24.556
2011/05/28,22.938
2011/05/29,30.353
2011/05/30,22.581
2011/05/31,32.504
2011/06/01,19.744
2011/06/02,45.576
2011/06/03,67.028
2011/06/04,75.391
2011/06/05,62.609
2011/06/06,74.259
2011/06/07,49.919
2011/06/08,83.851
2011/06/09,84.314
2011/06/10,133.646
2011/06/11,115.905
2011/06/12,156.002
2011/06/13,107.072
2011/06/14,130.449
2011/06/15,96.753
2011/06/16,86.858
2011/06/17,43.986
2011/06/18,33.293
2011/06/19,44.447
2011/06/20,19.978
2011/06/21,21.452
2011/06/22,4.279
2011/06/23,-10.37
2011/06/24,-0.063
2011/06/25,-6.713
2011/06/26,-18.083
2011/06/27,8.947
2011/06/28,-17.859
2011/06/29,-18.145
2011/06/30,-22.137
2011/07/01,-10.927
2011/07/02,-27.136
2011/07/03,-25.578
2011/07/04,-11.729
2011/07/05,-7.467
2011/07/06,-9.143
2011/07/07,-15.865
2011/07/08,-18.276
2011/07/09,-20.164
2011/07/10,-16.937
2011/07/11,-17.459
2011/07/12,-24.02
2011/07/13,-6.986
2011/07/14,-6.74
2011/07/15,-18.809
2011/07/16,8.114
2011/07/17,-5.107
2011/07/18,-7.797
2011/07/19,-4.917
2011/07/20,-15.033
2011/07/21,-7.186
