Date,size3roc
2010/07/17,-76.513
2010/07/18,-3.287
2010/07/19,42.429
2010/07/20,51.574
2010/07/21,-29.114
2010/07/22,-34.937
2010/07/23,-54.59
2010/07/24,166.469
2010/07/25,539.284
2010/07/26,105.38
2010/07/27,-53.01
2010/07/28,6.328
2010/07/29,158.097
2010/07/30,-20.758
2010/07/31,-88.345
2010/08/01,-85.19
2010/08/02,-33.79
2010/08/03,90.888
2010/08/04,16.241
2010/08/05,137.636
2010/08/06,-9.111
2010/08/07,37.233
2010/08/08,-47.079
2010/08/09,119.363
2010/08/10,-29.494
2010/08/11,-7.216
2010/08/12,-74.46
2010/08/13,91.568
2010/08/14,-1.117
2010/08/15,-14.745
2010/08/16,28.1
2010/08/17,44.58
2010/08/18,495.911
2010/08/19,-43.992
2010/08/20,-13.404
2010/08/21,-76.18
2010/08/22,-27.844
2010/08/23,-20.924
2010/08/24,64.723
2010/08/25,-14.582
2010/08/26,18.285
2010/08/27,-47.824
2010/08/28,57.408
2010/08/29,-30.912
2010/08/30,49.871
2010/08/31,70.166
2010/09/01,144.549
2010/09/02,-10.755
2010/09/03,-52.429
2010/09/04,-59.634
2010/09/05,-11.734
2010/09/06,-0.303
2010/09/07,17.772
2010/09/08,3.153
2010/09/09,49.154
2010/09/10,24.154
2010/09/11,-11.485
2010/09/12,-2.257
2010/09/13,44.904
2010/09/14,21.808
2010/09/15,10.856
2010/09/16,-32.373
2010/09/17,24.785
2010/09/18,-45.883
2010/09/19,-8.902
2010/09/20,-5.29
2010/09/21,296.782
2010/09/22,171.244
2010/09/23,23.102
2010/09/24,-63.906
2010/09/25,-40.122
2010/09/26,-32.949
2010/09/27,64.727
2010/09/28,63.877
2010/09/29,319.917
2010/09/30,-23.351
2010/10/01,-10.245
2010/10/02,-18.086
2010/10/03,27.606
2010/10/04,-18.797
2010/10/05,-46.996
2010/10/06,-26.565
2010/10/07,-29.352
2010/10/08,-14.853
2010/10/09,30.85
2010/10/10,-6.454
2010/10/11,-26.528
2010/10/12,-25.024
2010/10/13,43.506
2010/10/14,-15.249
2010/10/15,-27.033
2010/10/16,-38.129
2010/10/17,-16.669
2010/10/18,45.022
2010/10/19,122.045
2010/10/20,93.766
2010/10/21,36.29
2010/10/22,9.041
2010/10/23,4.301
2010/10/24,-20.623
2010/10/25,-51.249
2010/10/26,-32.465
2010/10/27,17.133
2010/10/28,12.358
2010/10/29,16.943
2010/10/30,-52.34
2010/10/31,-28.902
2010/11/01,-22.896
2010/11/02,-6.698
2010/11/03,-4.277
2010/11/04,-13.504
2010/11/05,69.582
2010/11/06,1.634
2010/11/07,3.346
2010/11/08,22.24
2010/11/09,3.994
2010/11/10,4.658
2010/11/11,-43.769
2010/11/12,-16.902
2010/11/13,-22.076
2010/11/14,11.787
2010/11/15,2150
2010/11/16,2881
2010/11/17,-11.66
2010/11/18,-85.132
2010/11/19,33.364
2010/11/20,4374
2010/11/21,1163
2010/11/22,-96.229
2010/11/23,-96.455
2010/11/24,-66.858
2010/11/25,1626
2010/11/26,172.531
2010/11/27,-87.743
2010/11/28,-93.279
2010/11/29,-66.662
2010/11/30,-14.998
2010/12/01,24.319
2010/12/02,0.749
2010/12/03,7.074
2010/12/04,-36.771
2010/12/05,-33.697
2010/12/06,-30.206
2010/12/07,34.802
2010/12/08,32.908
2010/12/09,35.059
2010/12/10,-7.25
2010/12/11,62.57
2010/12/12,70.738
2010/12/13,168.333
2010/12/14,8.123
2010/12/15,-13.894
2010/12/16,-51.913
2010/12/17,-5.065
2010/12/18,-5.626
2010/12/19,18.429
2010/12/20,77.614
2010/12/21,7.767
2010/12/22,20.415
2010/12/23,-35.463
2010/12/24,7.95
2010/12/25,-20.202
2010/12/26,2.645
2010/12/27,11.391
2010/12/28,12.873
2010/12/29,-15.54
2010/12/30,-5.158
2010/12/31,-15.76
2011/01/01,14.381
2011/01/02,-2.998
2011/01/03,175.932
2011/01/04,64.955
2011/01/05,152.101
2011/01/06,-39.168
2011/01/07,-5.982
2011/01/08,-7.521
2011/01/09,41.237
2011/01/10,38.327
2011/01/11,1.235
2011/01/12,-10.854
2011/01/13,-12.169
2011/01/14,-11.629
2011/01/15,-0.19
2011/01/16,-17.011
2011/01/17,-36.199
2011/01/18,-3.804
2011/01/19,0.275
2011/01/20,6.875
2011/01/21,19.204
2011/01/22,90.262
2011/01/23,59.251
2011/01/24,5.994
2011/01/25,-48.714
2011/01/26,-24.784
2011/01/27,-19.935
2011/01/28,27.983
2011/01/29,82.533
2011/01/30,255.286
2011/01/31,46.695
2011/02/01,-14.722
2011/02/02,-71.441
2011/02/03,-51.207
2011/02/04,-42.223
2011/02/05,-18.167
2011/02/06,16.139
2011/02/07,-14.122
2011/02/08,0.012
2011/02/09,11.124
2011/02/10,190.05
2011/02/11,153.634
2011/02/12,59.983
2011/02/13,-25.974
2011/02/14,-1.974
2011/02/15,-3.223
2011/02/16,-5.727
2011/02/17,-23.019
2011/02/18,11.999
2011/02/19,19.837
2011/02/20,-1.57
2011/02/21,-13.237
2011/02/22,4.13
2011/02/23,-0.592
2011/02/24,11.361
2011/02/25,-13.073
2011/02/26,-22.495
2011/02/27,-8.206
2011/02/28,34.781
2011/03/01,210.855
2011/03/02,30.865
2011/03/03,35.425
2011/03/04,-54.352
2011/03/05,-21.089
2011/03/06,-54.242
2011/03/07,-3.93
2011/03/08,48.272
2011/03/09,70.386
2011/03/10,65.306
2011/03/11,8.107
2011/03/12,55.82
2011/03/13,38.378
