Date,fee_to_reward3trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-33.415
2010/07/25,187.235
2010/07/26,100.353
2010/07/27,32.557
2010/07/28,12.741
2010/07/29,1.706
2010/07/30,-6.42
2010/07/31,-8.035
2010/08/01,-9.248
2010/08/02,-12.64
2010/08/03,-20.085
2010/08/04,-25.945
2010/08/05,-30.154
2010/08/06,-33.213
2010/08/07,288.813
2010/08/08,35.524
2010/08/09,70.562
2010/08/10,11.435
2010/08/11,-10.727
2010/08/12,-21.447
2010/08/13,-27.652
2010/08/14,-31.671
2010/08/15,-34.477
2010/08/16,-8.631
2010/08/17,-11.206
2010/08/18,73.329
2010/08/19,14.851
2010/08/20,-9.023
2010/08/21,-20.475
2010/08/22,-27.033
2010/08/23,-31.244
2010/08/24,26.512
2010/08/25,5.087
2010/08/26,-11.967
2010/08/27,-21.683
2010/08/28,-27.635
2010/08/29,8.49
2010/08/30,40.098
2010/08/31,17.747
2010/09/01,-0.956
2010/09/02,-15.006
2010/09/03,-23.392
2010/09/04,-28.704
2010/09/05,-30.639
2010/09/06,-32.853
2010/09/07,-34.856
2010/09/08,-36.553
2010/09/09,55.862
2010/09/10,14.521
2010/09/11,-8.487
2010/09/12,45.358
2010/09/13,7.8
2010/09/14,-9.214
2010/09/15,-19.839
2010/09/16,-26.386
2010/09/17,-30.7
2010/09/18,98.507
2010/09/19,21.304
2010/09/20,-6.637
2010/09/21,-19.294
2010/09/22,-26.341
2010/09/23,-30.793
2010/09/24,-33.85
2010/09/25,-36.074
2010/09/26,-37.764
2010/09/27,1.803
2010/09/28,3405
2010/09/29,48.211
2010/09/30,-0.363
2010/10/01,10.406
2010/10/02,-6.084
2010/10/03,-17.303
2010/10/04,-24.598
2010/10/05,-29.42
2010/10/06,-32.775
2010/10/07,-35.22
2010/10/08,-37.073
2010/10/09,-38.522
2010/10/10,-39.683
2010/10/11,-40.632
2010/10/12,-41.424
2010/10/13,1274
2010/10/14,46.094
2010/10/15,-0.714
2010/10/16,-16.922
2010/10/17,-25.122
