Date,top100cap30trx
2010/07/17,0.316
2010/07/18,0.308
2010/07/19,0.3
2010/07/20,0.292
2010/07/21,0.284
2010/07/22,0.275
2010/07/23,0.267
2010/07/24,0.258
2010/07/25,0.249
2010/07/26,0.241
2010/07/27,0.234
2010/07/28,0.228
2010/07/29,0.222
2010/07/30,0.217
2010/07/31,0.212
2010/08/01,0.207
2010/08/02,0.202
2010/08/03,0.198
2010/08/04,0.193
2010/08/05,0.189
2010/08/06,0.184
2010/08/07,0.18
2010/08/08,0.176
2010/08/09,0.171
2010/08/10,0.167
2010/08/11,0.163
2010/08/12,0.16
2010/08/13,0.156
2010/08/14,0.152
2010/08/15,0.149
2010/08/16,0.145
2010/08/17,0.142
2010/08/18,0.139
2010/08/19,0.137
2010/08/20,0.134
2010/08/21,0.131
2010/08/22,0.129
2010/08/23,0.126
2010/08/24,0.124
2010/08/25,0.121
2010/08/26,0.119
2010/08/27,0.117
2010/08/28,0.114
2010/08/29,0.111
2010/08/30,0.109
2010/08/31,0.106
2010/09/01,0.103
2010/09/02,0.1
2010/09/03,0.097
2010/09/04,0.094
2010/09/05,0.091
2010/09/06,0.088
2010/09/07,0.085
2010/09/08,0.082
2010/09/09,0.079
2010/09/10,0.076
2010/09/11,0.072
2010/09/12,0.069
2010/09/13,0.066
2010/09/14,0.063
2010/09/15,0.059
2010/09/16,0.055
2010/09/17,0.052
2010/09/18,0.05
2010/09/19,0.048
2010/09/20,0.047
2010/09/21,0.047
2010/09/22,0.046
2010/09/23,0.046
2010/09/24,0.047
2010/09/25,0.047
2010/09/26,0.049
2010/09/27,0.051
2010/09/28,0.054
2010/09/29,0.059
2010/09/30,0.065
2010/10/01,0.072
2010/10/02,0.079
2010/10/03,0.087
2010/10/04,0.095
2010/10/05,0.104
2010/10/06,0.112
2010/10/07,0.12
2010/10/08,0.129
2010/10/09,0.138
2010/10/10,0.147
2010/10/11,0.156
2010/10/12,0.166
2010/10/13,0.175
2010/10/14,0.183
2010/10/15,0.192
2010/10/16,0.2
2010/10/17,0.208
2010/10/18,0.215
2010/10/19,0.222
2010/10/20,0.229
2010/10/21,0.234
2010/10/22,0.239
2010/10/23,0.244
2010/10/24,0.248
2010/10/25,0.251
2010/10/26,0.253
2010/10/27,0.255
2010/10/28,0.257
2010/10/29,0.258
2010/10/30,0.258
2010/10/31,0.258
2010/11/01,0.257
2010/11/02,0.256
2010/11/03,0.254
2010/11/04,0.252
2010/11/05,0.25
2010/11/06,0.247
2010/11/07,0.244
2010/11/08,0.241
2010/11/09,0.239
2010/11/10,0.236
2010/11/11,0.233
2010/11/12,0.23
2010/11/13,0.227
2010/11/14,0.224
2010/11/15,0.22
2010/11/16,0.216
2010/11/17,0.212
2010/11/18,0.208
2010/11/19,0.204
2010/11/20,0.2
2010/11/21,0.195
2010/11/22,0.191
2010/11/23,0.187
2010/11/24,0.182
2010/11/25,0.178
2010/11/26,0.174
2010/11/27,0.17
2010/11/28,0.167
